# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RASHI_NFKB1_TARGETS (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 1.88943e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1435      1  110453233  110473616     35       9  1000     -0.20132      0.56781   -4.8934e-07     -0.20132
_SET1_   2921      4   74902306   74904490      3       2  1000       3.1607   0.00076448   -4.8934e-07       3.1607
_SET1_   2920      4   74962752   74964997      1       1  1000       1.6982      0.04752   -4.8934e-07       1.6982
_SET1_   3659      5  131817301  131826465     36       2  1000       1.2346      0.10082   -4.8934e-07       1.2346
_SET1_   10318     5  150409504  150467221    163      28  1000     -0.72624      0.76252   -4.8934e-07     -0.72624
_SET1_   7128      6  138188325  138204451     22       4  1000      0.46046      0.30856   -4.8934e-07      0.46046
_SET1_   3934      9  130911732  130915734      4       2  1000      0.29128      0.38283   -4.8934e-07      0.29128
_SET1_   1326     10   30722950   30750762     42       5  1000       1.4892     0.063107   -4.8934e-07       1.4892
_SET1_   4791     10  104153867  104162286      8       4  1000       1.1914      0.11341   -4.8934e-07       1.1914
_SET1_   330      11  102188181  102210134     16       3  1000       2.0494     0.019135   -4.8934e-07       2.0494
_SET1_   80824    12   12626216   12715773    169      17  1000      0.68193      0.23632   -4.8934e-07      0.68193
_SET1_   4193     12   69201952   69239324     51       5  1000       1.0844      0.13061   -4.8934e-07       1.0844
_SET1_   1848     12   89741837   89746296     13       2  1000     -0.89522      0.80509   -4.8934e-07     -0.89522
_SET1_   4792     14   35870716   35873960     12       4  1000      0.19654      0.41454   -4.8934e-07      0.19654
_SET1_   4793     19   39390340   39399534     22       6  1000     0.044159       0.4742   -4.8934e-07     0.044159
_SET1_   5971     19   45504707   45541456     61      14  1000     -0.49579      0.68302   -4.8934e-07     -0.49579
_SET1_   84798    19   51300961   51307974     30       5  1000       2.0912     0.016774   -4.8934e-07       2.0912
