# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_AVB3_INTEGRIN_PATHWAY (set)
# _SET1_  NGENES = 71
# _SET1_  P-VALUE = 1.99633e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1307      1   32117848   32169768     73      12  1000       1.7037      0.04223   -2.6094e-06       1.7037
_SET1_   1296      1   36560840   36591305     65      10  1000       1.3114     0.089109   -2.6094e-06       1.3114
_SET1_   1298      1   40766162   40782939     49       9  1000      0.64964      0.24625   -2.6094e-06      0.64965
_SET1_   1301      1  103342023  103574052    682      27  1000     -0.35639      0.64149   -2.6094e-06     -0.35638
_SET1_   10451     1  108113782  108507545   1048      63  1000     -0.51799      0.71454   -2.6094e-06     -0.51799
_SET1_   1435      1  110453233  110473616     35       9  1000      0.85473       0.1883   -2.6094e-06      0.85473
_SET1_   5298      1  151264273  151300191     23       3  1000      0.28288      0.37992   -2.6094e-06      0.28288
_SET1_   50848     1  160965001  160991133     53       3  1000      0.17036      0.42351   -2.6094e-06      0.17036
_SET1_   6382      2   20400558   20425194     55       6  1000       0.7717      0.21356   -2.6094e-06       0.7717
_SET1_   3685      2  187454058  187545629    111      13  1000       1.0521      0.14163   -2.6094e-06       1.0521
_SET1_   1281      2  189839099  189877472     76      12  1000       1.2016      0.10931   -2.6094e-06       1.2016
_SET1_   1290      2  189896641  190044668    320      10  1000     0.028414      0.48102   -2.6094e-06     0.028417
_SET1_   841       2  202098166  202152434    119      18  1000      0.11845      0.44357   -2.6094e-06      0.11845
_SET1_   2335      2  216225177  216300890    207      19  1000      0.57829      0.27698   -2.6094e-06      0.57829
_SET1_   3667      2  227596033  227664545    133       9  1000    -0.034722      0.49822   -2.6094e-06     -0.03472
_SET1_   1286      2  227867427  228029275    404      33  1000      -1.0262      0.84863   -2.6094e-06      -1.0262
_SET1_   1285      2  228029281  228179508    660      54  1000      0.97222      0.17114   -2.6094e-06      0.97222
_SET1_   1293      2  238232655  238322850    177      29  1000    -0.035632      0.50905   -2.6094e-06    -0.035629
_SET1_   7048      3   30647994   30735634    246      37  1000      0.42213        0.335   -2.6094e-06      0.42213
_SET1_   1294      3   48601506   48632593     15       3  1000      0.13636      0.43144   -2.6094e-06      0.13636
_SET1_   387       3   49396569   49449526     72       6  1000     -0.78148      0.77612   -2.6094e-06     -0.78147
_SET1_   1295      3   99357440   99518061    272      21  1000      0.53926      0.29028   -2.6094e-06      0.53927
_SET1_   5290      3  178866311  178952500    126       9  1000        1.243      0.10205   -2.6094e-06        1.243
_SET1_   3791      4   55944426   55991762     98      19  1000      0.15998      0.42892   -2.6094e-06      0.15998
_SET1_   6696      4   88896802   88904563     19       5  1000       1.3221     0.088712   -2.6094e-06       1.3221
_SET1_   2247      4  123747568  123819390    185      26  1000     -0.63353      0.73037   -2.6094e-06     -0.63353
_SET1_   5295      5   67511584   67597649    151      25  1000       1.1994      0.11245   -2.6094e-06       1.1994
_SET1_   10085     5   83236414   83680685    762      62  1000       1.5316     0.067372   -2.6094e-06       1.5316
_SET1_   1436      5  149432854  149492935    157      28  1000      0.80875       0.2055   -2.6094e-06      0.80875
_SET1_   1302      6   33130469   33160245     80      11  1000    -0.066264      0.51692   -2.6094e-06    -0.066262
_SET1_   7422      6   43737946   43754224     39      10  1000       -1.019       0.8405   -2.6094e-06       -1.019
_SET1_   1297      6   70925743   71012786    296      24  1000       1.2417      0.10516   -2.6094e-06       1.2417
_SET1_   1303      6   75794042   75915623    166      25  1000       1.3251     0.088389   -2.6094e-06       1.3251
_SET1_   1300      6  116440085  116447296      7       2  1000     -0.10251      0.53196   -2.6094e-06     -0.10251
_SET1_   5879      7    6414126    6443598    109      14  1000     -0.67004      0.74034   -2.6094e-06     -0.67004
_SET1_   1278      7   94023873   94060544     92      16  1000      0.95173      0.16492   -2.6094e-06      0.95173
_SET1_   2185      8   27168999   27316908    339      17  1000     -0.68532      0.75091   -2.6094e-06     -0.68532
_SET1_   25960     8   37654401   37701504     74      18  1000    -0.031971      0.50289   -2.6094e-06    -0.031968
_SET1_   7373      8  121137347  121384273    453      33  1000      0.21362      0.41811   -2.6094e-06      0.21362
_SET1_   5747      8  141668481  142011412    444       9  1000     -0.77647      0.78018   -2.6094e-06     -0.77647
_SET1_   7094      9   35697334   35732392     27       5  1000      0.48309      0.30607   -2.6094e-06      0.48309
_SET1_   1306      9  101705995  101833074    285      29  1000       3.5888   0.00015997   -2.6094e-06       3.5888
_SET1_   1289      9  137533651  137736689    699      67  1000      0.92324      0.18728   -2.6094e-06      0.92325
_SET1_   1305     10   71561644   71718904    571      85  1000      -2.0424      0.98126   -2.6094e-06      -2.0424
_SET1_   7414     10   75757836   75879918    203      18  1000     -0.28253      0.60346   -2.6094e-06     -0.28253
_SET1_   1308     10  105791046  105845638     91      13  1000       2.2121     0.012585   -2.6094e-06       2.2121
_SET1_   3611     11    6624938    6632105     24       3  1000     -0.71812      0.75635   -2.6094e-06     -0.71812
_SET1_   5286     11   17108108   17229543    173      13  1000       3.6486   0.00012268   -2.6094e-06       3.6486
_SET1_   867      11  119076986  119178859    101       7  1000      0.86697      0.18711   -2.6094e-06      0.86697
_SET1_   1027     12   12870302   12875305      6       3  1000      0.39309      0.34064   -2.6094e-06      0.39309
_SET1_   1280     12   48366748   48398285     86      10  1000      0.28132      0.38091   -2.6094e-06      0.28133
_SET1_   5781     12  112856536  112947717     39       7  1000       -1.162      0.87023   -2.6094e-06       -1.162
_SET1_   5829     12  120648242  120703574     54       5  1000     -0.55269      0.69838   -2.6094e-06     -0.55269
_SET1_   1282     13  110801310  110959496    661      72  1000         1.74     0.044227   -2.6094e-06         1.74
_SET1_   3320     14  102547075  102606086     85       9  1000      0.15691      0.42397   -2.6094e-06      0.15691
_SET1_   207      14  105235686  105262080     65      15  1000       1.5897     0.053055   -2.6094e-06       1.5897
_SET1_   4240     15   89441914   89456685     56      11  1000     -0.41566      0.65229   -2.6094e-06     -0.41566
_SET1_   3480     15   99192272   99507759    702      74  1000    -0.036668      0.52922   -2.6094e-06    -0.036666
_SET1_   5595     16   30125426   30134630      7       3  1000       2.0498     0.019006   -2.6094e-06       2.0498
_SET1_   9564     16   75262928   75301951     90      14  1000     -0.19777      0.56905   -2.6094e-06     -0.19776
_SET1_   7448     17   26694298   26697373      6       2  1000     -0.31596      0.61481   -2.6094e-06     -0.31596
_SET1_   3690     17   45331208   45390077    170      18  1000      -1.1292      0.86614   -2.6094e-06      -1.1292
_SET1_   1277     17   48261457   48279003     34      10  1000     -0.22396      0.57771   -2.6094e-06     -0.22396
_SET1_   6198     17   57970407   58027787     78       8  1000     -0.30001      0.60855   -2.6094e-06     -0.30001
_SET1_   6093     18   18529701   18691812     78       4  1000     -0.69744      0.74615   -2.6094e-06     -0.69743
_SET1_   6714     20   35973088   36033835    102      14  1000     -0.44191      0.66013   -2.6094e-06      -0.4419
_SET1_   1299     20   61448414   61472511    104      20  1000       1.2385      0.10347   -2.6094e-06       1.2385
_SET1_   1291     21   47401663   47424963     84      15  1000       1.2695     0.098257   -2.6094e-06       1.2695
_SET1_   1292     21   47518033   47552763    120      14  1000      0.89678      0.17927   -2.6094e-06      0.89678
_SET1_   5297     22   21061979   21213100    302       7  1000    -0.038361       0.5105   -2.6094e-06    -0.038358
_SET1_   5594     22   22113946   22221970    175      13  1000       1.3899      0.07949   -2.6094e-06       1.3899
