# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY (set)
# _SET1_  NGENES = 77
# _SET1_  P-VALUE = 8.74996e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5293          1    9711789    9789172    108      20  1000      0.83241      0.19598    2.3162e-06      0.83241
_SET1_   30814         1   20246800   20250110     11       2  1000        0.161       0.4213    2.3162e-06        0.161
_SET1_   5320          1   20301924   20306932     11       4  1000     -0.65247      0.73245    2.3162e-06     -0.65248
_SET1_   5322          1   20386157   20418394    100      15  1000       1.5132      0.06105    2.3162e-06       1.5132
_SET1_   26279         1   20439143   20446059     18       7  1000     -0.43324      0.65621    2.3162e-06     -0.43324
_SET1_   64600         1   20465823   20476879     16       6  1000      0.55268      0.28378    2.3162e-06      0.55267
_SET1_   391013        1   20490484   20501687     29       5  1000      0.96498      0.15542    2.3162e-06      0.96497
_SET1_   8503          1   46505812   46642167    195      13  1000        -0.66      0.72512    2.3162e-06        -0.66
_SET1_   10451         1  108113782  108507545   1048      63  1000      0.40184      0.33643    2.3162e-06      0.40184
_SET1_   4893          1  115247085  115259515      6       2  1000      -1.3862      0.91001    2.3162e-06      -1.3862
_SET1_   2205          1  159253678  159278014     37       8  1000   -0.0028467      0.48712    2.3162e-06    -0.002849
_SET1_   2207          1  161185087  161189038      5       3  1000     -0.91479       0.8112    2.3162e-06     -0.91479
_SET1_   5321          1  186798032  186958113    361      33  1000      0.70927      0.23046    2.3162e-06      0.70927
_SET1_   10000         1  243651535  244014381    354      13  1000      0.83528      0.18371    2.3162e-06      0.83527
_SET1_   6654          2   39208690   39347686    248      10  1000       1.7648     0.035761    2.3162e-06       1.7648
_SET1_   5581          2   45878454   46415129   1547     152  1000     -0.59021      0.73182    2.3162e-06     -0.59021
_SET1_   5894          3   12625100   12705700    170      11  1000     0.075568      0.44606    2.3162e-06     0.075566
_SET1_   5580          3   53195223   53226733     62       9  1000      0.23517       0.3922    2.3162e-06      0.23517
_SET1_   5291          3  138371540  138553780    177       4  1000       0.2884      0.34869    2.3162e-06       0.2884
_SET1_   5290          3  178866311  178952500    126       9  1000     -0.74874      0.75803    2.3162e-06     -0.74874
_SET1_   5602          4   86933452   87374283    953      35  1000      0.48083       0.2957    2.3162e-06      0.48082
_SET1_   81579         4  110631145  110651242     21       4  1000       2.6967    0.0029565    2.3162e-06       2.6967
_SET1_   5295          5   67511584   67597649    151      25  1000       0.1385      0.43411    2.3162e-06       0.1385
