# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = UDAYAKUMAR_MED1_TARGETS_UP (set)
# _SET1_  NGENES = 131
# _SET1_  P-VALUE = 4.96963e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55229      1    2439975    2458061     36       5  1000     -0.11637      0.53079   -1.9096e-06     -0.11637
_SET1_   6146       1    6245080    6259679     30       5  1000     -0.17869      0.55568   -1.9096e-06     -0.17869
_SET1_   5792       1   43991708   44089343    213      15  1000       1.0851      0.13287   -1.9096e-06       1.0851
_SET1_   10327      1   46016455   46035723     27       3  1000     -0.73189      0.75264   -1.9096e-06     -0.73189
_SET1_   7804       1   53708036   53793821    159      21  1000         0.54      0.29172   -1.9096e-06         0.54
_SET1_   117178     1   85109390   85156440     89      10  1000      0.41294       0.3294   -1.9096e-06      0.41294
_SET1_   5586       1   89149876   89301938    299       8  1000       1.9187     0.024017   -1.9096e-06       1.9187
_SET1_   6566       1  113454469  113498975     42       6  1000     0.078523      0.45459   -1.9096e-06     0.078525
_SET1_   81611      1  150190717  150208504     20       4  1000    -0.001233      0.48446   -1.9096e-06   -0.0012311
_SET1_   10228      1  180942164  180992074     56       4  1000     -0.16881      0.54791   -1.9096e-06     -0.16881
_SET1_   6738       1  193028552  193060907     21       3  1000     -0.28409       0.5935   -1.9096e-06     -0.28409
_SET1_   23271      1  200708686  200829832    213      18  1000     -0.47888      0.67645   -1.9096e-06     -0.47887
_SET1_   3930       1  225589204  225616557     42       8  1000      0.36747      0.34642   -1.9096e-06      0.36747
_SET1_   6382       2   20400558   20425194     55       6  1000     -0.79344      0.77505   -1.9096e-06     -0.79343
_SET1_   5610       2   37332281   37384190     72      13  1000       1.8208     0.033052   -1.9096e-06       1.8208
_SET1_   27436      2   42396490   42559688    391      15  1000      0.71612      0.22351   -1.9096e-06      0.71612
_SET1_   23433      2   46769867   46811827     60       9  1000     -0.89755      0.80791   -1.9096e-06     -0.89754
_SET1_   64795      2   86947414   87005164     72       7  1000     -0.43522      0.65495   -1.9096e-06     -0.43521
_SET1_   1615       2  136664252  136743254     66       3  1000      0.44501      0.30772   -1.9096e-06      0.44501
_SET1_   151230     2  170590356  170608396     69       9  1000      -0.7633      0.76867   -1.9096e-06      -0.7633
_SET1_   79634      2  175260457  175294303    105       7  1000     -0.71473      0.74977   -1.9096e-06     -0.71473
_SET1_   220988     2  178076063  178088687     10       2  1000      0.31299      0.35736   -1.9096e-06        0.313
_SET1_   1385       2  208394616  208470284     79       6  1000     -0.64779      0.72762   -1.9096e-06     -0.64779
_SET1_   2181       2  223725732  223808119    126      10  1000       3.0073    0.0011827   -1.9096e-06       3.0073
_SET1_   5757       2  232573235  232578251     11       3  1000      0.10354      0.44156   -1.9096e-06      0.10354
_SET1_   9427       2  233344537  233352532     16       6  1000       2.0188     0.020323   -1.9096e-06       2.0188
_SET1_   1841       2  242615157  242626383     51       7  1000     -0.65714       0.7337   -1.9096e-06     -0.65714
_SET1_   4968       3    9791628    9829468     51       6  1000       1.2662     0.096188   -1.9096e-06       1.2662
_SET1_   25994      3   42824400   42846027     27       6  1000     -0.50272      0.68111   -1.9096e-06     -0.50271
_SET1_   327        3   49711427   49720936      6       2  1000      0.17518      0.41152   -1.9096e-06      0.17518
_SET1_   56954      3  100053483  100075844     51       8  1000     -0.12675      0.53875   -1.9096e-06     -0.12675
_SET1_   961        3  107761941  107809935     57       8  1000      0.51193      0.29387   -1.9096e-06      0.51193
_SET1_   6259       3  133875978  133969586    170      14  1000      0.88072      0.18215   -1.9096e-06      0.88072
_SET1_   80321      3  138213186  138313187    143       7  1000      0.94527      0.16095   -1.9096e-06      0.94527
_SET1_   4154       3  151962120  152183569    211      20  1000     -0.97987      0.83245   -1.9096e-06     -0.97987
_SET1_   1665       4   24529087   24586184     83      10  1000      0.47798      0.30656   -1.9096e-06      0.47798
_SET1_   54502      4   40425272   40632958    537      77  1000     -0.75901      0.79091   -1.9096e-06     -0.75901
_SET1_   2926       4   71681499   71705627     47       4  1000      0.33593       0.3478   -1.9096e-06      0.33594
_SET1_   65980      5     863850     892939     37       5  1000       2.4867    0.0057184   -1.9096e-06       2.4867
_SET1_   10923      5   32585605   32604185     31       6  1000       1.1024      0.12784   -1.9096e-06       1.1024
_SET1_   285672     5   64013975   64064496    140      11  1000        1.514     0.061039   -1.9096e-06        1.514
_SET1_   1719       5   79922045   79950800    128       4  1000     -0.62744      0.71526   -1.9096e-06     -0.62744
_SET1_   10622      5   89769876   89810474     69      10  1000      0.75829      0.21665   -1.9096e-06      0.75829
_SET1_   9867       5  108670410  108745675     97       7  1000      -0.3691      0.62898   -1.9096e-06     -0.36909
_SET1_   167227     5  112312399  112357892     74       7  1000      -0.1398      0.54112   -1.9096e-06     -0.13979
_SET1_   51014      5  114948905  114961876     20       5  1000      0.21528      0.40134   -1.9096e-06      0.21528
_SET1_   5307       5  134363424  134369964     18       2  1000      -1.8987       0.9673   -1.9096e-06      -1.8987
_SET1_   57472      5  179921412  180005358    232      11  1000      0.19353      0.40741   -1.9096e-06      0.19354
_SET1_   2030       6   44187242   44201888     17       7  1000       1.2141      0.10777   -1.9096e-06       1.2141
_SET1_   4199       6   83920108   84140938    432      17  1000       1.3354     0.084041   -1.9096e-06       1.3354
_SET1_   55274      6  170104001  170124106     26       5  1000     -0.28364      0.59747   -1.9096e-06     -0.28364
_SET1_   8379       7    1855428    2272583   1374      34  1000    -0.066099      0.49297   -1.9096e-06    -0.066097
_SET1_   7965       7    6048882    6063465     58      11  1000      -0.1735      0.56076   -1.9096e-06      -0.1735
_SET1_   55033      7   30050199   30066417     12       2  1000      -0.6969      0.74006   -1.9096e-06      -0.6969
_SET1_   2617       7   30634181   30673649     49       7  1000      0.30062      0.36932   -1.9096e-06      0.30062
_SET1_   5723       7   56078056   56119297     70      11  1000   -0.0016769      0.49173   -1.9096e-06    -0.001675
_SET1_   440        7   97481429   97501854     59      12  1000      0.32214      0.36698   -1.9096e-06      0.32214
_SET1_   858        7  116139655  116148595     29       5  1000     -0.03572      0.49937   -1.9096e-06    -0.035718
_SET1_   23554      7  120427374  120498420     74       6  1000      0.37107         0.34   -1.9096e-06      0.37107
_SET1_   669        7  134331531  134364568    106       5  1000      -1.2865      0.89187   -1.9096e-06      -1.2865
_SET1_   1978       8   37888020   37917883     25       4  1000      0.34249      0.35018   -1.9096e-06       0.3425
_SET1_   23259      8   38088861   38120351     18       1  1000      0.24293      0.37685   -1.9096e-06      0.24293
_SET1_   8439       8   59496063   59572404    166      15  1000       1.1946      0.11164   -1.9096e-06       1.1946
_SET1_   444        8   62413115   62627199    414      28  1000      0.65367      0.25075   -1.9096e-06      0.65367
_SET1_   92140      8   98656375   98742488    101       7  1000       1.0699      0.13335   -1.9096e-06       1.0699
_SET1_   51366      8  103264501  103424947    169      21  1000       1.3382     0.088836   -1.9096e-06       1.3382
_SET1_   23246      8  145486056  145515120     52       6  1000     -0.64118      0.72707   -1.9096e-06     -0.64118
_SET1_   9684       8  145743349  145750562     12       4  1000    -0.041292      0.50184   -1.9096e-06     -0.04129
_SET1_   9933       9    2804152    2844130     62       7  1000       1.7048     0.040969   -1.9096e-06       1.7048
_SET1_   29968      9   80911991   80945009    127      15  1000     -0.43192      0.66024   -1.9096e-06     -0.43192
_SET1_   23392      9  114122973  114247025    239      16  1000     -0.92101      0.81394   -1.9096e-06       -0.921
_SET1_   54542      9  125606835  125667562     52       4  1000     -0.36042      0.62241   -1.9096e-06     -0.36042
_SET1_   55684      9  139702374  139735639     33       3  1000      0.85432      0.18257   -1.9096e-06      0.85432
_SET1_   8721       9  139756566  139760788      3       1  1000       2.1955     0.012063   -1.9096e-06       2.1955
_SET1_   10771     10     180405     300577    159      12  1000     -0.25105      0.58723   -1.9096e-06     -0.25105
_SET1_   9317      10   16478942   16555744    244      18  1000     0.075804      0.46041   -1.9096e-06     0.075806
_SET1_   5552      10   70847828   70864567     41       6  1000      -0.7144      0.75143   -1.9096e-06      -0.7144
_SET1_   5532      10   75196563   75255782     52       5  1000      -1.5184      0.92945   -1.9096e-06      -1.5184
_SET1_   54619     10   97803159   97820627     25       6  1000     -0.30669      0.60833   -1.9096e-06     -0.30668
_SET1_   9748      10  105726943  105788991    134       7  1000     -0.22799      0.57269   -1.9096e-06     -0.22798
_SET1_   8661      10  120794541  120840959     67       8  1000      0.42392      0.32412   -1.9096e-06      0.42393
_SET1_   7106      11     842824     867116     35       7  1000     0.058475      0.46489   -1.9096e-06     0.058477
_SET1_   10527     11    9406169    9469674     74       5  1000     -0.28578      0.59488   -1.9096e-06     -0.28578
_SET1_   1500      11   57520756   57586652     67       7  1000      0.57659      0.27019   -1.9096e-06      0.57659
_SET1_   23086     11  108376158  108464492    181      23  1000      -0.5977      0.72276   -1.9096e-06      -0.5977
_SET1_   2230      11  110300661  110335608     95       7  1000     -0.11041      0.52817   -1.9096e-06     -0.11041
_SET1_   113251    12   50794592   50873788    105       6  1000    -0.034345      0.49433   -1.9096e-06    -0.034343
_SET1_   10102     12   58176528   58196639     20       2  1000      0.65899      0.23722   -1.9096e-06      0.65899
_SET1_   114882    12   76745577   76953589    282      10  1000     -0.39642      0.63598   -1.9096e-06     -0.39642
_SET1_   5074      12   79985745   80084877     90       7  1000      -1.6326      0.94426   -1.9096e-06      -1.6326
_SET1_   28977     12   93861266   93897548    114      10  1000      0.57376      0.27257   -1.9096e-06      0.57376
_SET1_   7112      12   98909351   98944157     71      10  1000      0.59402       0.2677   -1.9096e-06      0.59402
_SET1_   56994     12  102091417  102122852     75      13  1000      -1.0018       0.8375   -1.9096e-06      -1.0018
_SET1_   51433     12  121746048  121792012     63      10  1000      0.21845      0.40341   -1.9096e-06      0.21845
_SET1_   79070     13  103436631  103451404     29       4  1000      0.77546      0.20629   -1.9096e-06      0.77547
_SET1_   2643      14   55308723   55369603    145      13  1000      -1.2728      0.89366   -1.9096e-06      -1.2728
_SET1_   51109     14   68143517   68162510     26       6  1000      0.44676      0.31595   -1.9096e-06      0.44676
_SET1_   23405     14   95552565   95623759     69       9  1000      0.66047      0.24525   -1.9096e-06      0.66048
_SET1_   9768      15   64657193   64679914     28       4  1000      0.57462      0.26815   -1.9096e-06      0.57462
_SET1_   10116     15   68570141   68583640     21       3  1000      0.16139      0.41716   -1.9096e-06      0.16139
_SET1_   79006     16     765173     769655     15       3  1000     -0.26929      0.58845   -1.9096e-06     -0.26929
_SET1_   65990     16     770581     772655      8       1  1000      0.74253      0.20963   -1.9096e-06      0.74253
_SET1_   10300     16   57769623   57791162     68      14  1000       0.6899      0.24041   -1.9096e-06       0.6899
_SET1_   10328     16   85812230   85833161     54       5  1000     0.055789      0.46046   -1.9096e-06     0.055791
_SET1_   22980     16   89939994   89977795    154      10  1000      0.43435       0.3185   -1.9096e-06      0.43436
_SET1_   4763      17   29421945   29704695    297       6  1000    0.0021984       0.4732   -1.9096e-06    0.0022003
_SET1_   3980      17   33307517   33332088     17       4  1000     -0.26825      0.59057   -1.9096e-06     -0.26825
_SET1_   80179     17   34851599   34891305     56       7  1000       1.2827     0.093914   -1.9096e-06       1.2827
_SET1_   5469      17   37560538   37607527     54       3  1000      0.11829      0.43105   -1.9096e-06      0.11829
_SET1_   990       17   38444146   38459413      4       1  1000      -1.6864      0.94778   -1.9096e-06      -1.6864
_SET1_   4669      17   40687951   40696467     10       3  1000     -0.75345      0.76122   -1.9096e-06     -0.75344
_SET1_   5245      17   47481410   47492267     16       5  1000      0.92786      0.16824   -1.9096e-06      0.92786
_SET1_   80233     17   79506911   79519429     30       5  1000    -0.092551      0.52188   -1.9096e-06    -0.092549
_SET1_   6182      17   79670400   79674556     15       4  1000      0.55421      0.27655   -1.9096e-06      0.55421
_SET1_   64118     17   80015748   80023697     12       3  1000      -1.5361      0.93214   -1.9096e-06      -1.5361
_SET1_   9123      17   80186282   80197375     36       9  1000    -0.090538      0.52701   -1.9096e-06    -0.090536
_SET1_   4200      18   48405432   48476165     81       5  1000      0.40379      0.32616   -1.9096e-06      0.40379
_SET1_   2235      18   55212073   55253969    101      17  1000      0.14614       0.4377   -1.9096e-06      0.14614
_SET1_   10892     18   56338618   56417371    184      18  1000     -0.59321      0.71738   -1.9096e-06     -0.59321
_SET1_   8175      19    2236816    2248678     28       6  1000       1.1887      0.11063   -1.9096e-06       1.1887
_SET1_   7064      19    2785464    2813599     55       5  1000     -0.86945      0.79572   -1.9096e-06     -0.86945
_SET1_   79816     19    2977536    2995182     63      10  1000      0.64415      0.25191   -1.9096e-06      0.64415
_SET1_   10036     19    4402660    4443394     67       6  1000      0.42893      0.31963   -1.9096e-06      0.42893
_SET1_   9361      19    5691845    5720463     41       8  1000       1.0104      0.14968   -1.9096e-06       1.0104
_SET1_   51157     19   56146361   56154836     22       6  1000     -0.84374      0.79184   -1.9096e-06     -0.84374
_SET1_   6790      20   54944445   54967351     29       9  1000       1.2279      0.10582   -1.9096e-06       1.2279
_SET1_   875       21   44473301   44496472     74      13  1000       1.1796      0.11567   -1.9096e-06       1.1796
_SET1_   8209      21   45553476   45622835     44       5  1000      0.77093      0.20836   -1.9096e-06      0.77093
_SET1_   5211      21   45719925   45747261    102      10  1000       1.4714     0.066639   -1.9096e-06       1.4714
_SET1_   6573      21   46934629   46983045     60       3  1000      -1.0943      0.85044   -1.9096e-06      -1.0943
_SET1_   23753     22   21996542   21998588      3       1  1000     -0.70678      0.73936   -1.9096e-06     -0.70678
