# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZHENG_GLIOBLASTOMA_PLASTICITY_UP (set)
# _SET1_  NGENES = 233
# _SET1_  P-VALUE = 7.52698e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54587         1    1288071    1297183     26       5  1000      0.87277      0.18192   -3.1361e-06      0.87277
_SET1_   64856         1    1370903    1378262     16       4  1000      0.12714       0.4362   -3.1361e-06      0.12714
_SET1_   127281        1    2517899    2522908      6       2  1000      0.13038      0.43763   -3.1361e-06      0.13039
_SET1_   11332         1    6324332    6453826    324      17  1000      0.18716      0.41162   -3.1361e-06      0.18717
_SET1_   56998         1    9908334    9970316    100      10  1000      0.29874      0.36813   -3.1361e-06      0.29875
_SET1_   10630         1   13910252   13944452     86      20  1000     -0.20303      0.57621   -3.1361e-06     -0.20302
_SET1_   79180         1   15736391   15756839     46      12  1000      0.45607      0.31628   -3.1361e-06      0.45607
_SET1_   2048          1   23037263   23241823    507      53  1000       1.9733     0.026035   -3.1361e-06       1.9733
_SET1_   1104          1   28832455   28865708     60       6  1000      0.10825      0.44079   -3.1361e-06      0.10825
_SET1_   55223         1   33611000   33647671     60       2  1000      -0.3562      0.61839   -3.1361e-06      -0.3562
_SET1_   23154         1   36023311   36032380     12       3  1000        -1.33      0.90463   -3.1361e-06      -1.3299
_SET1_   63967         1   36185819   36235568     36       4  1000      -0.5921      0.70828   -3.1361e-06      -0.5921
_SET1_   55143         1   38158073   38175391     37       5  1000      0.63252      0.25179   -3.1361e-06      0.63252
_SET1_   10487         1   40505912   40538321    100       6  1000     -0.20639      0.56289   -3.1361e-06     -0.20638
_SET1_   1503          1   41445007   41478237     72      14  1000       1.1485      0.12076   -3.1361e-06       1.1485
_SET1_   991           1   43824626   43828874      3       2  1000      0.81823       0.2012   -3.1361e-06      0.81823
_SET1_   4678          1   46049660   46084578     35       3  1000      0.37115      0.33937   -3.1361e-06      0.37116
_SET1_   8503          1   46505812   46642167    195      13  1000       1.7037      0.04112   -3.1361e-06       1.7037
_SET1_   8438          1   46713367   46744145     19       5  1000     -0.71172      0.75239   -3.1361e-06     -0.71172
_SET1_   8613          1   56960419   57045257    224      32  1000      0.28133      0.38938   -3.1361e-06      0.28134
_SET1_   7398          1   62901975   62917475     23       2  1000     -0.37325      0.62971   -3.1361e-06     -0.37325
_SET1_   3491          1   86046444   86049650      3       1  1000      0.92273      0.17196   -3.1361e-06      0.92273
_SET1_   2152          1   94994732   95007413     18       4  1000      0.46994      0.30867   -3.1361e-06      0.46994
_SET1_   1163          1  154947118  154951725      2       1  1000    -0.020304      0.49867   -3.1361e-06    -0.020301
_SET1_   10763         1  156638555  156647189     16       3  1000    -0.074342       0.5166   -3.1361e-06    -0.074339
_SET1_   83540         1  163291723  163325553    116       9  1000     -0.44898      0.65959   -3.1361e-06     -0.44898
_SET1_   51377         1  192981496  193029237     20       2  1000      0.04997      0.46367   -3.1361e-06     0.049973
_SET1_   259266        1  197053257  197115824     80       5  1000     -0.22953      0.57233   -3.1361e-06     -0.22953
_SET1_   29089         1  202300785  202311094     10       2  1000      -1.0052      0.83526   -3.1361e-06      -1.0052
_SET1_   8934          1  205737114  205744615     23       5  1000     -0.28663      0.60001   -3.1361e-06     -0.28663
_SET1_   84886         1  230972865  231005335    125      18  1000       1.3224     0.089529   -3.1361e-06       1.3224
_SET1_   7107          1  236305832  236415314    420      22  1000      0.81848      0.19893   -3.1361e-06      0.81848
_SET1_   9156          1  242011491  242053241    174      15  1000       1.1922      0.11101   -3.1361e-06       1.1922
_SET1_   6241          2   10262695   10271546     11       2  1000     -0.99078      0.83049   -3.1361e-06     -0.99078
_SET1_   28951         2   12856998   12882860     52       8  1000      0.60086      0.26372   -3.1361e-06      0.60087
_SET1_   9027          2   73867850   73869537      2       1  1000      0.48828      0.30423   -3.1361e-06      0.48828
_SET1_   10797         2   74425690   74442425     28       6  1000     -0.83876      0.79063   -3.1361e-06     -0.83876
_SET1_   84417         2  106682113  106694611     29       8  1000      0.23477      0.39779   -3.1361e-06      0.23477
_SET1_   84620         2  107418056  107503563    255      16  1000     0.057165      0.46363   -3.1361e-06     0.057168
_SET1_   699           2  111395275  111435684     17       1  1000     -0.45154      0.66157   -3.1361e-06     -0.45153
_SET1_   4175          2  136597196  136634047     52       5  1000      0.96367      0.15768   -3.1361e-06      0.96367
_SET1_   390           2  151324707  151344209     19       4  1000      0.18261        0.415   -3.1361e-06      0.18261
_SET1_   2820          2  157291965  157442915    188      11  1000     -0.72391      0.75336   -3.1361e-06     -0.72391
_SET1_   9936          2  160625139  160655115     70       8  1000        1.403      0.07522   -3.1361e-06        1.403
_SET1_   57405         2  169727401  169747277     47       9  1000     -0.19106      0.56453   -3.1361e-06     -0.19105
_SET1_   4430          2  192110107  192290115    342      13  1000    -0.017957      0.49035   -3.1361e-06    -0.017954
_SET1_   23671         2  192770615  193059645    541      57  1000     -0.20963      0.59756   -3.1361e-06     -0.20962
_SET1_   151246        2  201390865  201448818    105      12  1000       2.1559      0.01437   -3.1361e-06       2.1559
_SET1_   7277          2  220114433  220119330      5       1  1000       1.3061     0.089676   -3.1361e-06       1.3061
_SET1_   2181          2  223725732  223808119    126      10  1000     -0.46258      0.66487   -3.1361e-06     -0.46258
_SET1_   23677         2  235860628  235964358    275      35  1000     -0.20587       0.5829   -3.1361e-06     -0.20586
_SET1_   9208          2  238536224  238690290    507      36  1000       0.6772      0.24861   -3.1361e-06      0.67721
_SET1_   10752         3     238279     451100    716      59  1000       -0.309       0.6357   -3.1361e-06     -0.30899
_SET1_   6538          3   10857917   10980146    277      27  1000     -0.99448      0.83729   -3.1361e-06     -0.99448
_SET1_   7079          3   12194568   12200851     12       4  1000       1.2426      0.10145   -3.1361e-06       1.2426
_SET1_   2199          3   13573824   13679922    375      41  1000      -0.2984      0.62191   -3.1361e-06      -0.2984
_SET1_   7476          3   13860082   13921618    179      27  1000     0.099813      0.45803   -3.1361e-06     0.099817
