# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KUNINGER_IGF1_VS_PDGFB_TARGETS_DN (set)
# _SET1_  NGENES = 43
# _SET1_  P-VALUE = 3.84436e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54206      1    8071779    8086393     24       5  1000       -1.062      0.84853   -2.5917e-06       -1.062
_SET1_   2152       1   94994732   95007413     18       4  1000       1.5906     0.051035   -2.5917e-06       1.5906
_SET1_   963        1  111413821  111442558     72       8  1000     -0.69325      0.74093   -2.5917e-06     -0.69325
_SET1_   6698       1  152956564  152958290      5       1  1000      0.71134      0.22305   -2.5917e-06      0.71134
_SET1_   81606      2   30454397   30482899     84      11  1000       1.3974     0.075689   -2.5917e-06       1.3974
_SET1_   10678      2   62423262   62451866     39       7  1000     0.086759      0.45553   -2.5917e-06     0.086761
_SET1_   3554       2  102686836  102796334    267      18  1000     0.091031      0.44765   -2.5917e-06     0.091033
_SET1_   150468     2  113495444  113522254     26       2  1000      0.42312      0.31336   -2.5917e-06      0.42312
_SET1_   57552      3  172348435  172429207    240      40  1000       1.2741       0.1011   -2.5917e-06       1.2741
_SET1_   5593       4   82008643   82136271    323      20  1000       1.1007      0.13291   -2.5917e-06       1.1007
_SET1_   64946      5   68485375   68506184     43       5  1000     -0.93517      0.81192   -2.5917e-06     -0.93517
_SET1_   2149       5   76011868   76031595     17       3  1000     -0.65749      0.72979   -2.5917e-06     -0.65749
_SET1_   23338      5  133860003  133918918    136      21  1000      0.62681      0.25834   -2.5917e-06      0.62681
_SET1_   54438      6   13363587   13487869    323      30  1000     -0.89274      0.80973   -2.5917e-06     -0.89274
_SET1_   5617       6   22287473   22303082     26       6  1000      0.19446      0.40934   -2.5917e-06      0.19447
_SET1_   10231      6   46188467   46459804    393      17  1000       1.2037      0.10446   -2.5917e-06       1.2037
_SET1_   7058       6  169615875  169654137    170      28  1000        1.963     0.023994   -2.5917e-06        1.963
_SET1_   54443      7   36429415   36493400    138      18  1000      -0.8569      0.79648   -2.5917e-06      -0.8569
_SET1_   858        7  116139655  116148595     29       5  1000     -0.27005      0.59029   -2.5917e-06     -0.27005
_SET1_   79974      7  120628751  120937498    622      26  1000      0.69219      0.23216   -2.5917e-06      0.69219
_SET1_   84255      7  140033552  140104024    214      20  1000      -0.6512      0.73093   -2.5917e-06     -0.65119
_SET1_   1846       8   29190579   29208267     37       8  1000       1.2054      0.10933   -2.5917e-06       1.2054
_SET1_   11030      8   30242017   30429778    290      16  1000       0.7942      0.20054   -2.5917e-06      0.79421
_SET1_   114907     8  124510127  124553493     88      20  1000      0.89425      0.18233   -2.5917e-06      0.89425
_SET1_   90865      9    6215149    6257983    120      15  1000      -1.2481      0.88803   -2.5917e-06      -1.2481
_SET1_   5742       9  125132809  125157982     95      11  1000      0.94094      0.17193   -2.5917e-06      0.94094
_SET1_   728113    10   47157983   47174180      3       1  1000       1.1263      0.12376   -2.5917e-06       1.1263
_SET1_   84890     10   64564516   64568239      7       2  1000     -0.19828      0.56693   -2.5917e-06     -0.19827
_SET1_   4256      12   15034115   15038853      6       1  1000      0.45984      0.30645   -2.5917e-06      0.45984
_SET1_   2059      12   15773075   15942510    162      16  1000     0.087274      0.46625   -2.5917e-06     0.087276
_SET1_   8091      12   66218240   66360071    149      20  1000        3.625    0.0001368   -2.5917e-06        3.625
_SET1_   1848      12   89741837   89746296     13       2  1000      0.10026      0.44949   -2.5917e-06      0.10026
_SET1_   122616    14  105452125  105466056     41       7  1000      0.89162      0.18057   -2.5917e-06      0.89162
_SET1_   26585     15   33010175   33026870     51       8  1000      0.99623      0.15094   -2.5917e-06      0.99624
_SET1_   10615     17   26904583   26926056      5       3  1000       1.0369      0.14969   -2.5917e-06       1.0369
_SET1_   57125     17   37219556   37308946    245      25  1000      0.24617      0.39262   -2.5917e-06      0.24618
_SET1_   1747      17   48067369   48072588     19       4  1000      0.84529      0.19427   -2.5917e-06      0.84529
_SET1_   23531     17   53469974   53499341     52       7  1000       1.0731      0.13178   -2.5917e-06       1.0731
_SET1_   1032      19   10677138   10679655      1       1  1000     -0.14368       0.5545   -2.5917e-06     -0.14368
_SET1_   478       19   42470628   42498428     11       4  1000      -0.3408      0.62477   -2.5917e-06      -0.3408
_SET1_   7056      20   23026270   23030301      4       2  1000        2.286      0.01047   -2.5917e-06        2.286
_SET1_   22974     20   30326904   30389605     75       5  1000       1.1287      0.11932   -2.5917e-06       1.1287
_SET1_   1439      22   37309639   37336491     94       8  1000       1.2652     0.092718   -2.5917e-06       1.2652
