# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_DN (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 6.37351e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10903     1  149900543  149908791      3       2  1000       1.0885      0.13117    6.2092e-07       1.0885
_SET1_   913       1  158323486  158327343      2       1  1000      0.79027      0.20434    6.2092e-07      0.79027
_SET1_   926       2   87042460   87089047    121      14  1000      0.44126      0.31981    6.2092e-07      0.44126
_SET1_   8626      3  189348942  189615068    798      96  1000      0.89547      0.20816    6.2092e-07      0.89547
_SET1_   5196      4   74846542   74847841      2       1  1000      0.82139      0.20596    6.2092e-07      0.82139
_SET1_   5562      5   40759481   40798297     53       7  1000       1.3805     0.078145    6.2092e-07       1.3805
_SET1_   51351     7   64434830   64451414     55       5  1000     -0.85421      0.79283    6.2092e-07     -0.85421
_SET1_   5294      7  106505723  106547592     54      11  1000       1.8143     0.033656    6.2092e-07       1.8143
_SET1_   5727      9   98205264   98279247    118      10  1000     -0.27447      0.60073    6.2092e-07     -0.27447
_SET1_   5553     11   57154834   57171420     23       4  1000     0.024191      0.47576    6.2092e-07      0.02419
_SET1_   50846    12   49483204   49488602      1       1  1000     -0.20488       0.5642    6.2092e-07     -0.20488
_SET1_   6773     12   56735381   56754058     11       4  1000     -0.83864      0.80133    6.2092e-07     -0.83864
_SET1_   8445     12   68042512   68056444     27       6  1000      0.59893      0.26401    6.2092e-07      0.59893
_SET1_   2835     13   27329337   27334922      6       2  1000     -0.39953      0.64262    6.2092e-07     -0.39953
_SET1_   3131     17   53342321   53402426    106      20  1000      0.79547      0.21073    6.2092e-07      0.79547
_SET1_   566      19     827831     832017     16       4  1000       0.4192      0.32292    6.2092e-07       0.4192
_SET1_   1178     19   40221893   40228669     50       3  1000     -0.71093      0.74612    6.2092e-07     -0.71093
_SET1_   3454     21   34696748   34732129     68      10  1000       1.0697      0.13627    6.2092e-07       1.0697
_SET1_   7380     22   45680868   45691755     37       7  1000      0.44153      0.32233    6.2092e-07      0.44152
