# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_DN (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 6.95044e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5876      1   76251879   76260775     10       3  1000       2.2159     0.012402   -2.9452e-06       2.2159
_SET1_   5496      2   27604066   27632550     34       3  1000       2.8698    0.0018633   -2.9452e-06       2.8698
_SET1_   8886      2  118572255  118589953     35       7  1000         1.93     0.025298   -2.9452e-06         1.93
_SET1_   1977      4   99799607   99851786     88       9  1000     0.085997      0.45644   -2.9452e-06        0.086
_SET1_   6059      4  146019156  146050676      8       2  1000    -0.051561      0.50917   -2.9452e-06    -0.051558
_SET1_   8662      7    2394474    2420380     76       8  1000       1.4537     0.069112   -2.9452e-06       1.4537
_SET1_   2887      7   50657760   50861159    572      25  1000      0.89609      0.18629   -2.9452e-06      0.89609
_SET1_   1978      8   37888020   37917883     25       4  1000      0.24729       0.3938   -2.9452e-06       0.2473
_SET1_   4609      8  128748315  128753680     11       3  1000      0.30329      0.37834   -2.9452e-06      0.30329
_SET1_   1662     11  108535816  108811650    399      14  1000       1.3474     0.087238   -2.9452e-06       1.3474
_SET1_   8663     16   28699879   28747051      9       4  1000       1.5157     0.061974   -2.9452e-06       1.5157
_SET1_   8883     16   66836781   66864880     34       5  1000     -0.84471       0.7925   -2.9452e-06      -0.8447
_SET1_   10856    19   49496738   49519183     60       6  1000     -0.14667      0.54833   -2.9452e-06     -0.14667
_SET1_   3276     19   50180409   50191707      8       5  1000      0.58452      0.27286   -2.9452e-06      0.58453
_SET1_   1434     20   47662783   47713497     93       7  1000     -0.33286      0.61946   -2.9452e-06     -0.33286
