# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GHO_ATF5_TARGETS_UP (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 1.64256e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55183      2  152266397  152333860    112      12  1000       1.8112     0.033949   -3.8198e-06       1.8112
_SET1_   4703       2  152341853  152591001    317      24  1000       1.6086     0.054375   -3.8198e-06       1.6086
_SET1_   129831     2  178977149  178994383     17       5  1000       1.3885     0.079529   -3.8198e-06       1.3885
_SET1_   51602      2  203130515  203168384     63       5  1000      0.21075      0.40628   -3.8198e-06      0.21075
_SET1_   3913       3   49158547   49170599      3       1  1000      0.18559      0.41731   -3.8198e-06      0.18559
_SET1_   3699       3   52828784   52843025     29       5  1000       2.0531     0.018903   -3.8198e-06       2.0531
_SET1_   23200      3  182511291  182639423    218      10  1000     -0.33635      0.62519   -3.8198e-06     -0.33635
_SET1_   23118      6  149639436  149732747    224      13  1000       1.5535     0.058695   -3.8198e-06       1.5535
_SET1_   26149      9   40771188   40792112     23       5  1000      0.82029      0.20012   -3.8198e-06      0.82029
_SET1_   9886      10   62629196   62761198    200      19  1000      0.61295      0.26872   -3.8198e-06      0.61295
_SET1_   1982      11   10818593   10830582     17       3  1000       2.0074     0.021143   -3.8198e-06       2.0074
_SET1_   8100      13   21140585   21265576    235      12  1000       1.5756     0.056014   -3.8198e-06       1.5756
_SET1_   84706     16   46918308   46965201     17       2  1000      0.50576      0.29681   -3.8198e-06      0.50577
