# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZWANG_EGF_INTERVAL_UP (set)
# _SET1_  NGENES = 83
# _SET1_  P-VALUE = 9.88915e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1185       1   11866153   11903201    127       8  1000      0.11376      0.43096   -2.3858e-06      0.11376
_SET1_   8643       1   45285516   45309226     41       5  1000       0.9266       0.1635   -2.3858e-06       0.9266
_SET1_   374977     1   55107427   55175939    201      31  1000     -0.52673      0.69452   -2.3858e-06     -0.52673
_SET1_   29957      1  108677344  108742980    175      12  1000       1.9204     0.022275   -2.3858e-06       1.9204
_SET1_   3744       1  111059839  111061797      5       2  1000      0.16333      0.42336   -2.3858e-06      0.16333
_SET1_   6675       1  162531296  162570379     53       8  1000      0.45129      0.30575   -2.3858e-06       0.4513
_SET1_   85465      2   26568954   26618759     88       7  1000      0.32997      0.33734   -2.3858e-06      0.32997
_SET1_   150763     2   96687694   96701722      8       3  1000      -1.2321      0.88491   -2.3858e-06      -1.2321
_SET1_   4175       2  136597196  136634047     52       5  1000       0.9024      0.16336   -2.3858e-06       0.9024
_SET1_   57574      2  217122585  217236750    270      27  1000      0.10656      0.44142   -2.3858e-06      0.10656
_SET1_   84289      2  242641456  242668896    110      13  1000       3.2209   0.00053065   -2.3858e-06       3.2209
_SET1_   55349      3   53850324   53880420     75      15  1000    -0.084335       0.5224   -2.3858e-06    -0.084332
_SET1_   22989      3  108099216  108248169    305      24  1000     -0.57385      0.70292   -2.3858e-06     -0.57385
_SET1_   9197       3  155544300  155572248     74       8  1000      0.71372      0.22613   -2.3858e-06      0.71373
_SET1_   79572      3  194123403  194188968    115      12  1000     -0.15289      0.54834   -2.3858e-06     -0.15289
_SET1_   200958     3  195416293  195467004    216      30  1000      0.20208      0.40908   -2.3858e-06      0.20209
_SET1_   57654      4    1341043    1381837    141      14  1000       0.3358      0.34474   -2.3858e-06       0.3358
_SET1_   80008      4   38968052   39034041    251      31  1000       1.7317     0.038707   -2.3858e-06       1.7317
_SET1_   339977     4   52859806   52886477     14       3  1000      0.38514      0.32635   -2.3858e-06      0.38514
_SET1_   84803      4   84456886   84527028    168      12  1000      -0.8848      0.78892   -2.3858e-06      -0.8848
_SET1_   64116      4  103172198  103266655    222      28  1000         2.83    0.0021008   -2.3858e-06         2.83
_SET1_   23657      4  139085248  139163572    158      15  1000      0.73209      0.20971   -2.3858e-06       0.7321
_SET1_   79844      5     795720     859088    186      16  1000      0.42227       0.3271   -2.3858e-06      0.42227
_SET1_   9180       5   38845960   38935743    243      34  1000     -0.54056      0.70375   -2.3858e-06     -0.54056
_SET1_   6569       5  176811432  176825849     14       2  1000      -1.1929      0.86912   -2.3858e-06      -1.1929
_SET1_   387032     6   28212404   28227030     22       6  1000        2.244     0.011604   -2.3858e-06        2.244
_SET1_   7180       6   49660071   49681911     42       9  1000       1.1047      0.12485   -2.3858e-06       1.1047
_SET1_   352999     6  127898319  127912963     17       5  1000       1.6027     0.047973   -2.3858e-06       1.6027
_SET1_   221935     7    3341080    4308632   3175      93  1000       1.2484      0.10759   -2.3858e-06       1.2484
_SET1_   10842      7   31726631   31748069     36       7  1000     -0.87058      0.79402   -2.3858e-06     -0.87058
_SET1_   285955     7   44038552   44049723     12       3  1000     -0.75677       0.7578   -2.3858e-06     -0.75677
_SET1_   375593     7   75021234   75034896      2       1  1000      0.36259      0.34392   -2.3858e-06       0.3626
_SET1_   6369       7   75440766   75452674     52      10  1000     -0.31919      0.60773   -2.3858e-06     -0.31919
_SET1_   24146      7  100875373  100882101      8       2  1000     0.099966      0.44113   -2.3858e-06     0.099969
_SET1_   4189       7  108210189  108215294      6       2  1000       1.6264       0.0445   -2.3858e-06       1.6264
_SET1_   55281      7  134832766  134850967     47       3  1000       1.1588       0.1027   -2.3858e-06       1.1588
_SET1_   6718       7  137761178  137803050    100      10  1000     -0.35396      0.61391   -2.3858e-06     -0.35396
_SET1_   3638       7  155089486  155101945     39       7  1000      0.88272      0.17336   -2.3858e-06      0.88272
_SET1_   377630     8   11994677   11996269      9       3  1000       1.9142     0.024708   -2.3858e-06       1.9142
_SET1_   63898      8   19171081   19253729    197      28  1000      0.69956      0.23907   -2.3858e-06      0.69956
_SET1_   203102     8   38965050   39142436    381      16  1000       1.0991      0.11824   -2.3858e-06       1.0991
_SET1_   767        8   61101423   61193954    269      19  1000     -0.61528      0.70483   -2.3858e-06     -0.61528
_SET1_   347051     8   82605891   82607207      3       1  1000    -0.025626      0.49924   -2.3858e-06    -0.025623
_SET1_   389677     8   94742798   94753268     11       2  1000      0.77732      0.19678   -2.3858e-06      0.77732
_SET1_   114788     8  113235157  114449242   2083      42  1000      0.55734      0.24606   -2.3858e-06      0.55734
_SET1_   56169      8  130760442  130799134     94      14  1000     0.087865      0.44798   -2.3858e-06     0.087868
_SET1_   3786       8  133133105  133493004    846      72  1000    -0.030881      0.52131   -2.3858e-06    -0.030879
_SET1_   1936       8  144661867  144679845     68       7  1000      0.42364      0.32169   -2.3858e-06      0.42364
_SET1_   203286     9  101494291  101558794     82       7  1000       1.2597     0.094479   -2.3858e-06       1.2597
_SET1_   169611     9  127539435  127577161     47      10  1000  -0.00019124      0.48022   -2.3858e-06  -0.00018886
_SET1_   2219       9  137797711  137809849     24       3  1000      0.52731      0.27184   -2.3858e-06      0.52731
_SET1_   54932      9  140201346  140317714    270      42  1000       0.9946      0.16167   -2.3858e-06       0.9946
_SET1_   53354     10   91339254   91405329    235      24  1000     -0.74263      0.75665   -2.3858e-06     -0.74263
_SET1_   144132    11    6517994    6593255    166      17  1000     -0.19695      0.55233   -2.3858e-06     -0.19695
_SET1_   7003      11   12695969   12966284    428      36  1000     -0.71958      0.75337   -2.3858e-06     -0.71958
_SET1_   79081     11   62430289   62439241     10       1  1000    -0.068507      0.49465   -2.3858e-06    -0.068505
_SET1_   387273    11   71276609   71277666      5       2  1000     -0.26239      0.58036   -2.3858e-06     -0.26238
_SET1_   84959     11  122526398  122685187    456      63  1000     -0.84726      0.81122   -2.3858e-06     -0.84725
_SET1_   7753      11  123594997  123612383     51       4  1000      0.98858      0.14121   -2.3858e-06      0.98859
_SET1_   79684     11  124636388  124670868     46       8  1000     -0.48144      0.66899   -2.3858e-06     -0.48143
_SET1_   4978      11  132284875  133402403   2944     236  1000     -0.01845      0.53739   -2.3858e-06    -0.018448
_SET1_   2784      12    6949375    6956564      2       1  1000      0.43063      0.31404   -2.3858e-06      0.43063
_SET1_   5555      12   11081834   11087444      5       2  1000     -0.32638      0.61814   -2.3858e-06     -0.32637
_SET1_   3887      12   52679697   52685299     14       3  1000      0.53882       0.2722   -2.3858e-06      0.53883
_SET1_   253512    13   45960520   45992549     40       5  1000     -0.90027      0.79441   -2.3858e-06     -0.90027
_SET1_   342035    15   51633713   51700210    246      27  1000     -0.60151      0.71741   -2.3858e-06     -0.60151
_SET1_   84465     15   66187634   66546075    810      88  1000     -0.91505      0.83755   -2.3858e-06     -0.91504
_SET1_   23049     16   18816175   18937748    284      12  1000       2.4979    0.0048697   -2.3858e-06       2.4979
_SET1_   3801      16   57792129   57896957    308      33  1000     -0.47946      0.68049   -2.3858e-06     -0.47945
_SET1_   201140    17    9674751    9694894     55       6  1000       0.5228      0.28063   -2.3858e-06       0.5228
_SET1_   339263    17   21343211   21454941     32      13  1000        1.001      0.15548   -2.3858e-06        1.001
_SET1_   124923    17   26934799   26941377      1       1  1000      0.98897       0.1667   -2.3858e-06      0.98897
_SET1_   162394    17   33570086   33594768     76      12  1000      0.78316      0.19923   -2.3858e-06      0.78316
_SET1_   3211      17   46606807   46608272      3       1  1000       1.2357      0.10122   -2.3858e-06       1.2357
_SET1_   57508     17   59942728   60005377    100      12  1000      0.23506      0.39251   -2.3858e-06      0.23507
_SET1_   9331      18   29202209   29306560    100      12  1000      -1.8551      0.96285   -2.3858e-06      -1.8551
_SET1_   92126     18   65173819   65183967     12       4  1000      0.89732      0.17477   -2.3858e-06      0.89732
_SET1_   54922     19   49223842   49244136     39       5  1000      0.44091      0.30099   -2.3858e-06      0.44091
_SET1_   3811      19   55327893   55342233     95      10  1000       0.3743      0.32777   -2.3858e-06       0.3743
_SET1_   3812      19   55361898   55378670     42       8  1000       1.3532     0.079307   -2.3858e-06       1.3532
_SET1_   79149     19   56732672   56826208    325      55  1000     -0.73292      0.77592   -2.3858e-06     -0.73292
_SET1_   7693      19   58125830   58133636     15       3  1000      -1.4725      0.92767   -2.3858e-06      -1.4725
_SET1_   284756    20   58630980   58648008     38       6  1000      0.55771      0.27356   -2.3858e-06      0.55772
