# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LEONARD_HYPOXIA (set)
# _SET1_  NGENES = 41
# _SET1_  P-VALUE = 6.43139e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1912       1   33789224   33841194    109      10  1000     -0.80881      0.78383   -1.8268e-06     -0.80881
_SET1_   6513       1   43391046   43424847    114      14  1000      -1.3892      0.91639   -1.8268e-06      -1.3892
_SET1_   205        1   65613232   65697828    164      13  1000   -0.0044138      0.49255   -1.8268e-06    -0.004412
_SET1_   2152       1   94994732   95007413     18       4  1000       2.8329     0.002237   -1.8268e-06       2.8329
_SET1_   1942       1  155100349  155107386      7       2  1000      -1.4168      0.92087   -1.8268e-06      -1.4168
_SET1_   4582       1  155158300  155162768      2       1  1000      -1.1996      0.88602   -1.8268e-06      -1.1996
_SET1_   2355       2   28615704   28637516     25       4  1000    -0.079256      0.52469   -1.8268e-06    -0.079254
_SET1_   7039       2   70674412   70781147    291      30  1000    -0.048325      0.52286   -1.8268e-06    -0.048323
_SET1_   55818      2   86668271   86719839     72       7  1000   -0.0089271      0.49413   -1.8268e-06   -0.0089253
_SET1_   8553       3    5021097    5026866     11       2  1000       1.1819      0.11622   -1.8268e-06       1.1819
_SET1_   5210       3   48555117   48598607     32       5  1000       1.4237     0.076192   -1.8268e-06       1.4237
_SET1_   901        4   78078357   78091213     16       4  1000        1.826     0.033535   -1.8268e-06        1.826
_SET1_   8819       4  174292093  174298683      5       2  1000       0.2979      0.39694   -1.8268e-06       0.2979
_SET1_   8974       5  131528299  131563556     52       7  1000       1.9943     0.022123   -1.8268e-06       1.9943
_SET1_   1843       5  172195093  172198203      3       2  1000       0.2632      0.40389   -1.8268e-06       0.2632
_SET1_   8614       5  172741726  172756506     20       5  1000        1.025      0.15173   -1.8268e-06        1.025
_SET1_   7422       6   43737946   43754224     39      10  1000       1.3578     0.087683   -1.8268e-06       1.3578
_SET1_   3201       7   27168126   27170399      3       1  1000     -0.89851      0.81759   -1.8268e-06     -0.89851
_SET1_   3202       7   27180671   27192309     30       6  1000     -0.91665      0.81886   -1.8268e-06     -0.91664
_SET1_   5054       7  100770370  100782547     32       6  1000      0.45149      0.32193   -1.8268e-06      0.45149
_SET1_   123        9   19115759   19127604     18       4  1000       1.4282     0.075345   -1.8268e-06       1.4282
_SET1_   4783       9   94171327   94186908     22       3  1000      0.91063      0.17587   -1.8268e-06      0.91063
_SET1_   5214      10    3109667    3178997    479      58  1000      0.36487      0.38091   -1.8268e-06      0.36487
_SET1_   11067     10   45471709   45474330      6       2  1000  -0.00036856      0.50011   -1.8268e-06  -0.00036673
_SET1_   54541     10   74033677   74035797      3       1  1000      -1.0069      0.84279   -1.8268e-06      -1.0069
_SET1_   5033      10   74766975   74856732    215      10  1000      0.26587      0.38514   -1.8268e-06      0.26588
_SET1_   5507      10   93388197   93392858      2       1  1000     0.062259      0.48093   -1.8268e-06      0.06226
_SET1_   664       10  133781204  133795435     20       3  1000       1.1873       0.1141   -1.8268e-06       1.1873
_SET1_   1028      11    2904448    2907063      1       1  1000      0.45142       0.3343   -1.8268e-06      0.45142
_SET1_   1027      12   12870302   12875305      6       3  1000      -1.2871      0.90214   -1.8268e-06      -1.2871
_SET1_   3178      12   54674480   54680871      3       1  1000      0.21961      0.41299   -1.8268e-06      0.21961
_SET1_   1649      12   57910371   57914300      3       1  1000     -0.13225        0.553   -1.8268e-06     -0.13224
_SET1_   10125     15   38780302   38857661    101      22  1000      0.87818      0.19579   -1.8268e-06      0.87818
_SET1_   226       16   30064411   30081741     11       4  1000     -0.50708      0.69491   -1.8268e-06     -0.50708
_SET1_   8140      16   87863629   87903100    168      23  1000     0.092965      0.46624   -1.8268e-06     0.092967
_SET1_   136       17   15848231   15879210     80      13  1000      -1.0117      0.84567   -1.8268e-06      -1.0117
_SET1_   23210     17   74708914   74722881     20       6  1000       1.3645     0.086306   -1.8268e-06       1.3645
_SET1_   9123      17   80186282   80197375     36       9  1000       1.7926     0.036677   -1.8268e-06       1.7926
_SET1_   3726      19   12902310   12904125      1       1  1000       2.2111      0.01504   -1.8268e-06       2.2111
_SET1_   150094    21   44834395   44847002     48       6  1000     -0.55495      0.70499   -1.8268e-06     -0.55495
_SET1_   5155      22   39619685   39640957     55       5  1000       2.7341    0.0028517   -1.8268e-06       2.7341
