# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SYNTHESIS_OF_PE (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.97158e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10390      1  111682249  111727724     49       8  1000     -0.34314      0.61517    -1.463e-06     -0.34314
_SET1_   55224      1  204100190  204121307     40      13  1000      0.83175      0.19408    -1.463e-06      0.83175
_SET1_   23175      2   11817705   11967535    367      40  1000      0.27087      0.39079    -1.463e-06      0.27087
_SET1_   85465      2   26568954   26618759     88       7  1000       1.3065     0.083006    -1.463e-06       1.3065
_SET1_   64850      4  109663196  109684235     56       4  1000     -0.17388      0.56108    -1.463e-06     -0.17388
_SET1_   1119      11   67820326   67888858     47       3  1000        1.088      0.11759    -1.463e-06        1.088
_SET1_   55500     12   22778076   22843608     81       7  1000       1.3183     0.082935    -1.463e-06       1.3183
_SET1_   162466    17   47300728   47309009     12       4  1000       0.7989      0.19659    -1.463e-06       0.7989
_SET1_   5833      17   79860777   79869340      6       2  1000     -0.23326      0.58649    -1.463e-06     -0.23325
_SET1_   9663      18    2916992    3013313    222      20  1000     -0.52605      0.69259    -1.463e-06     -0.52604
_SET1_   64900     20   39969495   39989222     36       7  1000       2.7149    0.0030274    -1.463e-06       2.7149
_SET1_   23761     22   32014477   32058550     68      11  1000      0.81802      0.20016    -1.463e-06      0.81802
_SET1_   1120      22   51017387   51021428     14       4  1000     0.077086      0.46112    -1.463e-06     0.077088

# _SET2_  VARIABLE = NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON (set)
# _SET2_  NGENES = 21
# _SET2_  P-VALUE = 4.0979e-11
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   91947     15   98503933   98517068     39       8  1000     -0.36834      0.62135    -1.463e-06     -0.36834
_SET2_   283777    15   98980391   99057611    219      18  1000       0.2599      0.38457    -1.463e-06       0.2599
_SET2_   3480      15   99192272   99507759    702      74  1000      0.81371      0.22054    -1.463e-06      0.81371
_SET2_   23336     15   99645286   99675800    133      15  1000     -0.59141      0.70629    -1.463e-06     -0.59141
_SET2_   64927     15   99676528   99791431    252      18  1000     -0.41639      0.64461    -1.463e-06     -0.41639
_SET2_   123355    15   99791567   99930934    355      20  1000     0.080046      0.45511    -1.463e-06     0.080047
_SET2_   4205      15  100106133  100256688    202      16  1000     -0.22403      0.56762    -1.463e-06     -0.22403
_SET2_   145748    15  100267610  100273766     19       5  1000       1.1585       0.1119    -1.463e-06       1.1585
_SET2_   170691    15  100511643  100882183   1737     114  1000       1.4234     0.091005    -1.463e-06       1.4234
_SET2_   204219    15  100940600  101084925    538      21  1000      -0.2967      0.59723    -1.463e-06      -0.2967
_SET2_   55180     15  101109428  101142445    117      11  1000       1.8803     0.026119    -1.463e-06       1.8803
_SET2_   140460    15  101142755  101191906     95      11  1000       1.4067      0.06955    -1.463e-06       1.4067
_SET2_   220       15  101419897  101456831     70       9  1000       1.5229     0.057202    -1.463e-06       1.5229
_SET2_   79705     15  101459460  101610317    487      42  1000       2.7485     0.002955    -1.463e-06       2.7485
_SET2_   22856     15  101715928  101792137    200      16  1000        3.983   2.8547e-05    -1.463e-06        3.983
_SET2_   55829     15  101811214  101817700     10       4  1000       3.9977   2.7656e-05    -1.463e-06       3.9977
_SET2_   6627      15  101821715  101835481     51       6  1000       4.0028   2.4888e-05    -1.463e-06       4.0028
_SET2_   5046      15  101844133  102030187    769      91  1000       5.5369   5.7361e-09    -1.463e-06       5.5369
_SET2_   80213     15  102173429  102192594     24       6  1000       1.4706     0.063496    -1.463e-06       1.4706
_SET2_   123283    15  102193955  102264807    116      11  1000       1.6113     0.046912    -1.463e-06       1.6113
_SET2_   390649    15  102358390  102359328      1       1  1000       1.4421      0.07312    -1.463e-06       1.4421
