# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RASHI_RESPONSE_TO_IONIZING_RADIATION_1 (set)
# _SET1_  NGENES = 36
# _SET1_  P-VALUE = 7.2999e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54361      1   22443798   22470474     54       8  1000    0.0044576      0.48627   -4.1532e-06    0.0044618
_SET1_   6513       1   43391046   43424847    114      14  1000      0.86051      0.18751   -4.1532e-06      0.86051
_SET1_   3725       1   59246463   59249785      2       1  1000      -1.2584      0.88614   -4.1532e-06      -1.2584
_SET1_   1647       1   68150860   68154021      7       2  1000     0.070065      0.46124   -4.1532e-06     0.070069
_SET1_   6271       1  153600873  153604513      5       1  1000       1.1956      0.10732   -4.1532e-06       1.1956
_SET1_   7203       1  156278752  156308206     64       4  1000      0.59283        0.258   -4.1532e-06      0.59283
_SET1_   5362       1  208195587  208417665    500      49  1000      0.94583      0.17064   -4.1532e-06      0.94583
_SET1_   50486      1  209848670  209849735      3       2  1000       1.0014      0.15757   -4.1532e-06       1.0014
_SET1_   3290       1  209859525  209908295     93      12  1000      -0.2053       0.5721   -4.1532e-06     -0.20529
_SET1_   467        1  212738676  212794119    158      25  1000       1.5491     0.059889   -4.1532e-06       1.5491
_SET1_   286826     1  226418850  226497789     90       9  1000       1.5839     0.051809   -4.1532e-06       1.5839
_SET1_   92906      2   38789120   38830178     56       6  1000      0.34838      0.35159   -4.1532e-06      0.34839
_SET1_   7535       2   98330031   98356990     49       8  1000    -0.099733      0.52758   -4.1532e-06    -0.099729
_SET1_   151295     2  220026181  220035549      9       2  1000      0.46525      0.30906   -4.1532e-06      0.46526
_SET1_   7884       4    1694527    1714421     36       6  1000     -0.16093      0.55008   -4.1532e-06     -0.16092
_SET1_   1958       5  137801181  137805004      2       1  1000      -0.9122        0.814   -4.1532e-06      -0.9122
_SET1_   154        5  148206156  148254628      8       2  1000      0.74234      0.21853   -4.1532e-06      0.74235
_SET1_   1843       5  172195093  172198203      3       2  1000      0.79406      0.21294   -4.1532e-06      0.79407
_SET1_   94234      6    1312675    1314993      9       3  1000      0.36137      0.35136   -4.1532e-06      0.36138
_SET1_   5269       6    2948393    2972399     70       9  1000      0.56898      0.27279   -4.1532e-06      0.56899
_SET1_   8870       6   30710976   30712327      3       1  1000     -0.67249      0.74455   -4.1532e-06     -0.67249
_SET1_   7422       6   43737946   43754224     39      10  1000       1.2568      0.10052   -4.1532e-06       1.2568
_SET1_   6446       6  134490384  134639196    326      49  1000     -0.20593      0.58912   -4.1532e-06     -0.20592
_SET1_   1687       7   24737974   24797639    143      15  1000     -0.45458      0.66371   -4.1532e-06     -0.45457
_SET1_   1306       9  101705995  101833074    285      29  1000       2.2927      0.01039   -4.1532e-06       2.2927
_SET1_   55088     10  115880615  115934364     48       7  1000       -0.207      0.56949   -4.1532e-06       -0.207
_SET1_   8433      10  135043778  135045062      5       2  1000       1.9207     0.026632   -4.1532e-06       1.9207
_SET1_   54663     11   62600380   62608044     13       2  1000     -0.16949      0.55616   -4.1532e-06     -0.16949
_SET1_   51503     11   94695787   94706776     14       3  1000     -0.63407      0.72498   -4.1532e-06     -0.63407
_SET1_   5049      11  117015000  117048889     71       8  1000      -1.4396      0.92004   -4.1532e-06      -1.4396
_SET1_   1019      12   58141510   58146304      4       2  1000      0.52769       0.2912   -4.1532e-06      0.52769
_SET1_   10484     14   39501123   39572447    145      16  1000      0.21908      0.40194   -4.1532e-06      0.21908
_SET1_   2353      14   75745477   75748937      6       2  1000      0.62711      0.25837   -4.1532e-06      0.62711
_SET1_   55192     15   41060067   41099676     60       7  1000      0.39757      0.33051   -4.1532e-06      0.39757
_SET1_   11060     16   69796187   69975644    383      21  1000     -0.94881      0.81455   -4.1532e-06     -0.94881
_SET1_   9592      19   13261282   13265722      6       3  1000       0.6974      0.23861   -4.1532e-06       0.6974
