# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 3.16294e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782      1    1716725    1822552    112      10  1000      0.82908      0.18749   -3.6353e-06      0.82908
_SET1_   55970     1   68167149   68299436    245      26  1000      0.96358      0.15616   -3.6353e-06      0.96358
_SET1_   2787      1   84964006   84972262     15       4  1000      0.62735      0.25874   -3.6353e-06      0.62736
_SET1_   2786      1  235710985  235814054    316      28  1000      0.67568      0.23147   -3.6353e-06      0.67569
_SET1_   6344      2  120197419  120282028    246      24  1000       1.4074     0.073855   -3.6353e-06       1.4074
_SET1_   2641      2  162999379  163008914      7       1  1000       1.0363      0.14314   -3.6353e-06       1.0363
_SET1_   7433      3   42530791   42579065     99      19  1000     -0.29361      0.59983   -3.6353e-06     -0.29361
_SET1_   59345     3  179113876  179169371     96      14  1000      0.88154      0.17496   -3.6353e-06      0.88154
_SET1_   2740      6   39016557   39056657    171      22  1000     -0.40624      0.63877   -3.6353e-06     -0.40624
_SET1_   7432      6  153071932  153080900      9       3  1000       2.0031     0.021663   -3.6353e-06       2.0031
_SET1_   2692      7   31003636   31019146     47      13  1000     -0.69626      0.74867   -3.6353e-06     -0.69625
_SET1_   117       7   31092076   31151093    132      28  1000     -0.55042      0.69754   -3.6353e-06     -0.55042
_SET1_   2792      7   93535820   93540485     12       3  1000     -0.65345      0.73336   -3.6353e-06     -0.65345
_SET1_   2791      7   93551016   93555826     10       4  1000     -0.14407      0.54444   -3.6353e-06     -0.14407
_SET1_   2783      7  100271363  100276792      2       1  1000      0.82283      0.20242   -3.6353e-06      0.82284
_SET1_   7434      7  158820866  158937649    326      22  1000      0.14464      0.42488   -3.6353e-06      0.14464
_SET1_   2790      9  114423851  114432526     30       6  1000      0.91847       0.1682   -3.6353e-06      0.91847
_SET1_   2784     12    6949375    6956564      2       1  1000     -0.23892      0.58444   -3.6353e-06     -0.23892
_SET1_   57105    13   49227847   49283498      2       1  1000      0.73811      0.22091   -3.6353e-06      0.73812
_SET1_   54331    14   52327022   52436518    376      40  1000      0.88637      0.17914   -3.6353e-06      0.88638
_SET1_   10681    15   52413123   52483565    151      14  1000      0.25496      0.38258   -3.6353e-06      0.25497
_SET1_   51764    16     848041     850733     15       5  1000      0.46122      0.31867   -3.6353e-06      0.46123
_SET1_   9340     17    9729152    9794269    251      23  1000     0.012861      0.47483   -3.6353e-06     0.012864
_SET1_   2695     17   47035918   47045955     43       5  1000       0.2266      0.38702   -3.6353e-06      0.22661
_SET1_   2793     17   47283596   47287936     11       4  1000       1.8443     0.030622   -3.6353e-06       1.8443
_SET1_   116      18     904366     912173     26      12  1000      0.19253      0.41023   -3.6353e-06      0.19253
_SET1_   2788     19    2511218    2702746    747      95  1000       1.3831      0.08652   -3.6353e-06       1.3831
_SET1_   2696     19   46171490   46185717     28       6  1000      0.36908      0.34286   -3.6353e-06      0.36908
_SET1_   94235    19   47137333   47137939      2       1  1000       2.3547    0.0089297   -3.6353e-06       2.3547
