# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BLUM_RESPONSE_TO_SALIRASIB_UP (set)
# _SET1_  NGENES = 235
# _SET1_  P-VALUE = 4.95049e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3155      1   24128367   24165110     38       2  1000      0.66762      0.24083   -3.9628e-06      0.66762
_SET1_   51042     1   26496388   26497364      4       2  1000      -1.0632      0.85308   -3.9628e-06      -1.0632
_SET1_   8073      1   32372022   32403988     22       4  1000       1.9106     0.026334   -3.9628e-06       1.9106
_SET1_   64121     1   39303869   39325495     32       7  1000   -0.0084255      0.49493   -3.9628e-06   -0.0084216
_SET1_   10450     1   40204517   40229586     47       6  1000      0.55515      0.28039   -3.9628e-06      0.55515
_SET1_   1647      1   68150860   68154021      7       2  1000      0.71137      0.23227   -3.9628e-06      0.71137
_SET1_   1491      1   70876901   70905534     56      11  1000     -0.77434      0.77489   -3.9628e-06     -0.77434
_SET1_   8634      1  100731714  100758325     42       2  1000    0.0038915      0.48207   -3.9628e-06    0.0038954
_SET1_   6301      1  109756515  109780804     29       6  1000       1.1034      0.13018   -3.9628e-06       1.1034
_SET1_   4803      1  115828537  115880857    125      21  1000       1.3873     0.081108   -3.9628e-06       1.3873
_SET1_   26227     1  120254419  120286849     60      14  1000     -0.26169      0.59809   -3.9628e-06     -0.26168
_SET1_   7818      1  155657693  155708801     41       5  1000     -0.73767      0.76041   -3.9628e-06     -0.73766
_SET1_   9181      1  155916431  155953396     36       4  1000       -0.447      0.66133   -3.9628e-06     -0.44699
_SET1_   8682      1  160175125  160185162      2       1  1000     -0.27268      0.60237   -3.9628e-06     -0.27267
_SET1_   1314      1  160258377  160313354     47       5  1000      0.18305      0.41621   -3.9628e-06      0.18306
_SET1_   5202      1  161070346  161087866     23       3  1000      -0.3494      0.62631   -3.9628e-06     -0.34939
_SET1_   4817      1  161087862  161095235      5       2  1000      -1.3054      0.90082   -3.9628e-06      -1.3054
_SET1_   22926     1  161736034  161933860    409      11  1000     -0.19921      0.56172   -3.9628e-06      -0.1992
_SET1_   51430     1  172501494  172580973     78       9  1000      -1.4054      0.91612   -3.9628e-06      -1.4054
_SET1_   5768      1  180123968  180169430    192      18  1000       1.2142      0.10822   -3.9628e-06       1.2142
_SET1_   4194      1  204485507  204596131    130       8  1000     -0.47114      0.66945   -3.9628e-06     -0.47113
_SET1_   1604      1  207494817  207534311     56       4  1000      0.68815      0.23515   -3.9628e-06      0.68815
_SET1_   467       1  212738676  212794119    158      25  1000     -0.60353      0.72455   -3.9628e-06     -0.60353
_SET1_   2058      1  220141940  220220000    265      10  1000      -0.5758      0.70469   -3.9628e-06     -0.57579
_SET1_   7159      1  223967595  224033674    112       9  1000       2.0765     0.017502   -3.9628e-06       2.0766
_SET1_   64746     1  226332380  226374423     68       7  1000       1.6901     0.042883   -3.9628e-06       1.6901
_SET1_   6905      1  235530728  235612280    186      15  1000      0.78778      0.20826   -3.9628e-06      0.78779
_SET1_   8462      2   10170776   10194963     22       4  1000     -0.12026      0.53832   -3.9628e-06     -0.12025
_SET1_   9741      2   20232411   20251789     49       9  1000       1.3433     0.086191   -3.9628e-06       1.3433
_SET1_   9167      2   42577640   42596150     25       5  1000       0.8788      0.18369   -3.9628e-06       0.8788
_SET1_   4528      2   55463756   55496384     75      10  1000       1.7684     0.036405   -3.9628e-06       1.7684
_SET1_   2673      2   69546901   69614386    121       6  1000      0.39948      0.33157   -3.9628e-06      0.39949
_SET1_   10797     2   74425690   74442425     28       6  1000     0.060142      0.46746   -3.9628e-06     0.060145
_SET1_   56888     2   85198231   85286595     67       4  1000     0.068017      0.45701   -3.9628e-06     0.068021
_SET1_   51601     2   99771418   99779620     22       4  1000       1.1783      0.11455   -3.9628e-06       1.1783
_SET1_   10254     2  152973315  153032506    141      11  1000      -1.9443      0.97228   -3.9628e-06      -1.9443
_SET1_   90        2  158592958  158732374    130      19  1000      0.39524       0.3406   -3.9628e-06      0.39525
_SET1_   3628      2  191208196  191236391     86       6  1000       2.0072     0.020666   -3.9628e-06       2.0072
_SET1_   7508      3   14186647   14220172     68       9  1000       -1.498      0.92965   -3.9628e-06       -1.498
