# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_VIRAL_MYOCARDITIS (set)
# _SET1_  NGENES = 66
# _SET1_  P-VALUE = 5.02421e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   842       1   15817896   15851407    104       5  1000       1.1232      0.11563   -5.7777e-06       1.1232
_SET1_   8672      1   21132785   21503381    459      11  1000       1.6217     0.044445   -5.7777e-06       1.6217
_SET1_   27        1  179068462  179198819    193      10  1000      0.86878      0.17545   -5.7777e-06      0.86879
_SET1_   1604      1  207494817  207534311     56       4  1000     -0.70749       0.7411   -5.7777e-06     -0.70749
_SET1_   841       2  202098166  202152434    119      18  1000       0.7031      0.23391   -5.7777e-06       0.7031
_SET1_   940       2  204571198  204603635     62       7  1000     -0.56386      0.69817   -5.7777e-06     -0.56385
_SET1_   1605      3   49506136   49573051     79       6  1000      0.86047      0.17804   -5.7777e-06      0.86047
_SET1_   22989     3  108099216  108248169    305      24  1000      0.65211      0.24865   -5.7777e-06      0.65211
_SET1_   941       3  119243140  119278481    108      22  1000       1.5718     0.056732   -5.7777e-06       1.5719
_SET1_   942       3  121774209  121839990     78      14  1000     -0.64087      0.73098   -5.7777e-06     -0.64087
_SET1_   1981      3  184032283  184053146     16       5  1000      -1.1986      0.87816   -5.7777e-06      -1.1986
_SET1_   6443      4   52885752   52904485     21       3  1000      0.25289      0.38012   -5.7777e-06       0.2529
_SET1_   836       4  185548850  185570629     52       9  1000        2.135      0.01496   -5.7777e-06        2.135
_SET1_   6444      5  155462147  156194799   1623      63  1000       1.7984     0.037141   -5.7777e-06       1.7984
_SET1_   3134      6   29691117   29695073     24       4  1000      0.03833       0.4698   -5.7777e-06     0.038336
_SET1_   3135      6   29794756   29798899     54       4  1000      -1.0726      0.84295   -5.7777e-06      -1.0726
_SET1_   3105      6   29910247   29913661    171      23  1000     0.052382      0.47134   -5.7777e-06     0.052388
_SET1_   3133      6   30457183   30461982      4       2  1000     0.031411      0.47655   -5.7777e-06     0.031417
_SET1_   3107      6   31236526   31239913    161      14  1000     -0.39117      0.63558   -5.7777e-06     -0.39117
_SET1_   3106      6   31321649   31324989    138      27  1000       1.5953     0.054432   -5.7777e-06       1.5954
_SET1_   3122      6   32407619   32412823     50       7  1000      0.20634      0.39998   -5.7777e-06      0.20634
_SET1_   3127      6   32485151   32498006    580      18  1000      0.63422      0.24282   -5.7777e-06      0.63422
_SET1_   3123      6   32546546   32557613    567      20  1000       1.1685      0.11031   -5.7777e-06       1.1685
_SET1_   3117      6   32605169   32612152    659      18  1000       1.5317     0.054944   -5.7777e-06       1.5317
_SET1_   3119      6   32627241   32634466    630      24  1000       1.3912     0.075104   -5.7777e-06       1.3912
