# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3 (set)
# _SET1_  NGENES = 133
# _SET1_  P-VALUE = 3.49619e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   388591     1    6266189    6281359     31       4  1000      0.51996      0.29093    -4.501e-06      0.51996
_SET1_   943        1   12123434   12204264    196      36  1000      0.74661       0.2333    -4.501e-06      0.74661
_SET1_   2134       1   26348266   26362955     24       6  1000     -0.25183      0.59223    -4.501e-06     -0.25183
_SET1_   81629      1   32818365   32830098      8       1  1000      -0.8694      0.79046    -4.501e-06      -0.8694
_SET1_   27285      1   36549676   36553877      7       2  1000      0.86635      0.19107    -4.501e-06      0.86636
_SET1_   1907       1   41944446   41950348     14       4  1000      0.37668      0.34836    -4.501e-06      0.37669
_SET1_   1031       1   51434367   51440309      4       1  1000     0.073997      0.46936    -4.501e-06     0.074002
_SET1_   5737       1   78956728   79006386    117      12  1000      -0.1574      0.54802    -4.501e-06     -0.15739
_SET1_   3782       1  154669938  154842754    415      72  1000    -0.039021      0.55379    -4.501e-06    -0.039016
_SET1_   1382       1  156669398  156675608      9       3  1000      0.17278      0.42852    -4.501e-06      0.17278
_SET1_   85397      1  182613036  182653502     77       8  1000    -0.035625       0.4991    -4.501e-06     -0.03562
_SET1_   339479     1  190066792  190447534    558      23  1000     0.085905      0.44982    -4.501e-06      0.08591
_SET1_   553        1  206224283  206231482     32       4  1000     -0.17028      0.55486    -4.501e-06     -0.17028
_SET1_   7100       1  223282748  223316624     72       5  1000      0.45537      0.30587    -4.501e-06      0.45537
_SET1_   55061      1  223394161  223537564    289      19  1000     -0.84394      0.78998    -4.501e-06     -0.84394
_SET1_   7044       1  226124298  226129083      5       2  1000    -0.014615      0.50524    -4.501e-06     -0.01461
_SET1_   388931     2   24232953   24248698     30       7  1000     -0.13225      0.54346    -4.501e-06     -0.13225
_SET1_   388939     2   29284556   29297127     53       7  1000      -1.1792      0.87347    -4.501e-06      -1.1792
_SET1_   10887      2   68870712   68883244     25       8  1000      -1.7287      0.95676    -4.501e-06      -1.7287
_SET1_   84695      2   74759946   74781088     13       4  1000      0.11744      0.44901    -4.501e-06      0.11744
_SET1_   150763     2   96687694   96701722      8       3  1000      -1.0877         0.86    -4.501e-06      -1.0877
_SET1_   50940      2  178487977  178973066   1467      41  1000      0.65934      0.25298    -4.501e-06      0.65935
_SET1_   5746       2  209224569  209359231    189      17  1000      0.41998      0.32521    -4.501e-06      0.41998
_SET1_   116255     2  223536457  223575005     96      15  1000       1.4477     0.070359    -4.501e-06       1.4477
_SET1_   1286       2  227867427  228029275    404      33  1000     -0.46913      0.67798    -4.501e-06     -0.46913
_SET1_   1285       2  228029281  228179508    660      54  1000       1.5538     0.065275    -4.501e-06       1.5538
_SET1_   389118     3   49828165   49837254      9       3  1000     0.051091      0.47492    -4.501e-06     0.051095
_SET1_   4486       3   49924435   49941311     19       3  1000     -0.14218      0.54463    -4.501e-06     -0.14218
_SET1_   2779       3   50229043   50235129      3       1  1000      0.18306      0.42818    -4.501e-06      0.18306
_SET1_   165679     3  161062580  161090662     81      10  1000     -0.47943      0.67135    -4.501e-06     -0.47943
_SET1_   4241       3  196728611  196756687     60      10  1000        1.881     0.028103    -4.501e-06        1.881
_SET1_   6691       4   57676026   57688035     47      12  1000       1.0237      0.14911    -4.501e-06       1.0237
_SET1_   7350       4  141481014  141489989     15       3  1000      0.27754      0.38226    -4.501e-06      0.27754
_SET1_   4887       4  156094924  156138248     20       6  1000      0.12801       0.4414    -4.501e-06      0.12801
_SET1_   2982       4  156587862  156658214    158      25  1000      -1.3961      0.91749    -4.501e-06      -1.3961
_SET1_   4886       4  164245116  164265984     45       8  1000      0.12187      0.44065    -4.501e-06      0.12188
_SET1_   55016      4  164445450  165305093   2327      98  1000    -0.096647      0.59125    -4.501e-06    -0.096642
_SET1_   170690     5    5140443    5320412    701      83  1000       2.5601    0.0072514    -4.501e-06       2.5601
_SET1_   2255       5   44305004   44389808    131       8  1000       1.6431      0.04497    -4.501e-06       1.6431
_SET1_   8622       5   76476082   76724081    489      38  1000      0.46202      0.32356    -4.501e-06      0.46202
_SET1_   57507      5  123972606  124084517    278      29  1000     -0.58977      0.71973    -4.501e-06     -0.58976
_SET1_   7478       5  137419581  137428337     12       3  1000     -0.62158      0.72637    -4.501e-06     -0.62157
_SET1_   6444       5  155462147  156194799   1623      63  1000     -0.33357      0.64951    -4.501e-06     -0.33356
_SET1_   117608     5  178286954  178311424    170       5  1000      0.14807      0.41457    -4.501e-06      0.14807
_SET1_   4049       6   31539876   31542101      6       2  1000       1.0864      0.13662    -4.501e-06       1.0864
_SET1_   3910       6  112429134  112575924    373      34  1000      -1.6446       0.9499    -4.501e-06      -1.6446
_SET1_   10457      7   23286305   23314729     65       5  1000       1.4757     0.064122    -4.501e-06       1.4757
_SET1_   5137       7   31791666   32339016   1645     104  1000      0.17827      0.49118    -4.501e-06      0.17828
_SET1_   58498      7   44178463   44180974      8       3  1000      0.40793      0.33863    -4.501e-06      0.40794
_SET1_   10875      7   76822688   76829150      2       1  1000      -1.3716      0.91734    -4.501e-06      -1.3716
_SET1_   2913       7   86273230   86494193    348      30  1000      0.39281      0.34362    -4.501e-06      0.39281
_SET1_   7980       7   93514709   93520303     17       2  1000     -0.86413      0.79898    -4.501e-06     -0.86413
_SET1_   1278       7   94023873   94060544     92      16  1000      -1.6109      0.94413    -4.501e-06      -1.6109
_SET1_   3751       7  119913689  120390387    664      33  1000       1.5313     0.061415    -4.501e-06       1.5313
_SET1_   5764       7  136912088  137028606    244      36  1000       2.5191    0.0061058    -4.501e-06       2.5191
_SET1_   9796       8   22077216   22089851     24       9  1000     -0.77262      0.77668    -4.501e-06     -0.77261
_SET1_   55124      8   22132810   22215560    106       6  1000     -0.97369      0.82021    -4.501e-06     -0.97369
_SET1_   3620       8   39771328   39786309     15       6  1000      0.71286       0.2348    -4.501e-06      0.71287
_SET1_   54845      8   95653364   95719694    211      13  1000      0.53206       0.2805    -4.501e-06      0.53206
_SET1_   340371     8  144915755  144924200      5       2  1000      0.31277      0.37563    -4.501e-06      0.31278
_SET1_   5079       9   36833272   37034476    625      55  1000      0.18929      0.44264    -4.501e-06      0.18929
_SET1_   5742       9  125132809  125157982     95      11  1000     -0.26417      0.59176    -4.501e-06     -0.26417
_SET1_   2516       9  127243515  127269769     51       6  1000       1.4382     0.069713    -4.501e-06       1.4382
_SET1_   105       10    1223253    1779670   2105     166  1000       -2.175      0.99083    -4.501e-06       -2.175
_SET1_   54518     10   26727253   26856732    399      43  1000      0.17973      0.43697    -4.501e-06      0.17973
_SET1_   22943     10   54074041   54077417      5       2  1000        1.725     0.041732    -4.501e-06        1.725
_SET1_   219623    10   63166401   63213208     79       9  1000     -0.68918       0.7429    -4.501e-06     -0.68917
_SET1_   219793    10   72530995   72545157     62      17  1000       1.1996      0.11349    -4.501e-06       1.1996
_SET1_   9469      10   73724120   73773322    142      12  1000      -1.2373      0.88373    -4.501e-06      -1.2373
