# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MIKKELSEN_IPS_ICP_WITH_H3K27ME3 (set)
# _SET1_  NGENES = 54
# _SET1_  P-VALUE = 1.77824e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   148870     1    3668965    3688209     58      11  1000     -0.30739      0.61056   -5.3048e-06     -0.30739
_SET1_   83715      1    6484836    6521004     95      10  1000      -1.1511      0.86539   -5.3048e-06      -1.1511
_SET1_   149465     1   43638001   43720029    228      19  1000       1.4201     0.073825   -5.3048e-06       1.4201
_SET1_   24         1   94458393   94586705    381      56  1000       1.8817     0.030297   -5.3048e-06       1.8817
_SET1_   339398     1  151772765  151777882      8       2  1000       1.0502        0.137   -5.3048e-06       1.0502
_SET1_   56833      1  159796440  159807282     26       7  1000      -1.2088      0.87901   -5.3048e-06      -1.2087
_SET1_   3765       1  160051360  160059212     16       4  1000      -1.0689      0.84894   -5.3048e-06      -1.0689
_SET1_   248        2  233320833  233325455      9       2  1000     -0.36173      0.62085   -5.3048e-06     -0.36172
_SET1_   132228     3   50316458   50325545      7       2  1000       0.7431       0.2093   -5.3048e-06      0.74311
_SET1_   84107      3  147103835  147124596     14       4  1000     -0.25007      0.58313   -5.3048e-06     -0.25006
_SET1_   3627       4   76942269   76944689      7       1  1000       1.2384      0.10177   -5.3048e-06       1.2384
_SET1_   442117     4  172734575  173961559   2552      90  1000     0.097893      0.46924   -5.3048e-06     0.097898
_SET1_   56133      5  140474195  140476964      8       2  1000     -0.95182      0.81402   -5.3048e-06     -0.95181
_SET1_   10279      6   27215480   27224399     11       3  1000      0.91331      0.16747   -5.3048e-06      0.91331
_SET1_   7124       6   31543344   31546113      4       2  1000     -0.42728      0.64172   -5.3048e-06     -0.42728
_SET1_   7021       6   50786439   50815326     58       9  1000      0.57983      0.26879   -5.3048e-06      0.57984
_SET1_   7058       6  169615875  169654137    170      28  1000       1.5077     0.064243   -5.3048e-06       1.5077
_SET1_   5137       7   31791666   32339016   1645     104  1000      0.45381      0.33554   -5.3048e-06      0.45382
_SET1_   26047      7  145813453  148118090   6975     261  1000    -0.026568      0.52771   -5.3048e-06    -0.026562
_SET1_   137814     8   23559964   23564111     11       2  1000    -0.019568      0.49192   -5.3048e-06    -0.019563
_SET1_   54845      8   95653364   95719694    211      13  1000     0.013662      0.48653   -5.3048e-06     0.013667
_SET1_   971        9   35609976   35618862      7       3  1000      0.13477       0.4289   -5.3048e-06      0.13478
_SET1_   5079       9   36833272   37034476    625      55  1000     -0.66634      0.74843   -5.3048e-06     -0.66633
_SET1_   2516       9  127243515  127269769     51       6  1000       2.0451      0.01893   -5.3048e-06       2.0451
_SET1_   8328       9  135820888  135867084    149      35  1000    -0.016564      0.50328   -5.3048e-06    -0.016559
_SET1_   347731    10   68685792   68861309    397      30  1000       1.0444      0.14641   -5.3048e-06       1.0444
_SET1_   55553     11   15987995   16497935    799      36  1000     -0.13765      0.55056   -5.3048e-06     -0.13764
_SET1_   57689     11   40135524   41481186   2890     144  1000      0.97437      0.17452   -5.3048e-06      0.97437
_SET1_   8534      11   45669239   45687206     27       3  1000      0.25628      0.38628   -5.3048e-06      0.25629
_SET1_   390259    11  122848357  122852379      5       2  1000       1.7865     0.034245   -5.3048e-06       1.7865
_SET1_   112       12   49159975   49182820     31       3  1000       1.5395     0.055951   -5.3048e-06       1.5395
_SET1_   3848      12   53068520   53074191     10       2  1000      -0.4663      0.66596   -5.3048e-06      -0.4663
_SET1_   5992      12  106976685  107156582    265      14  1000      0.12129      0.44088   -5.3048e-06      0.12129
_SET1_   338773    12  108983622  108991894     18       5  1000     -0.61657      0.71611   -5.3048e-06     -0.61656
_SET1_   2259      13  102373205  103054124   1457      90  1000       0.9958      0.16581   -5.3048e-06      0.99581
_SET1_   55237     14   74815166   74826711      9       3  1000       2.0508     0.018236   -5.3048e-06       2.0508
_SET1_   10538     14   75988784   76013335     39       6  1000      0.03284      0.47156   -5.3048e-06     0.032845
_SET1_   283576    14   77597613   77608134     25       9  1000       1.0783      0.13352   -5.3048e-06       1.0783
_SET1_   594855    15   75118951   75124136      8       4  1000       1.4378      0.06783   -5.3048e-06       1.4378
_SET1_   7026      15   96869157   96883492     15       4  1000     -0.15059      0.54066   -5.3048e-06     -0.15058
_SET1_   93107     16   84254741   84273356     82      15  1000      0.29207      0.37517   -5.3048e-06      0.29208
_SET1_   7448      17   26694298   26697373      6       2  1000      0.78377      0.20254   -5.3048e-06      0.78378
_SET1_   8506      17   40834632   40852011     18       4  1000    -0.042567      0.50461   -5.3048e-06    -0.042562
_SET1_   3213      17   46626232   46667634     57      10  1000       1.6076     0.050355   -5.3048e-06       1.6076
_SET1_   55040     17   48610043   48621111     20       6  1000       1.1313      0.12161   -5.3048e-06       1.1313
_SET1_   55273     17   53796988   53809482     15       3  1000     -0.37846      0.62722   -5.3048e-06     -0.37845
_SET1_   8715      18   31431064   31803515    418      30  1000       1.3608     0.085647   -5.3048e-06       1.3608
_SET1_   83546     19   12936291   12946242      9       2  1000       1.0253      0.13908   -5.3048e-06       1.0253
_SET1_   53822     19   35634154   35645205     22       7  1000     -0.89932      0.80671   -5.3048e-06     -0.89931
_SET1_   245937    20   30053309   30060816      7       2  1000       1.0096      0.14417   -5.3048e-06       1.0096
_SET1_   7125      20   44451853   44455953     11       3  1000      0.61374      0.25698   -5.3048e-06      0.61375
_SET1_   4159      20   54823788   54824871      2       1  1000       0.4821      0.29041   -5.3048e-06       0.4821
_SET1_   27124     22   31518893   31530683     17       4  1000      0.64076      0.24825   -5.3048e-06      0.64076
_SET1_   7380      22   45680868   45691755     37       7  1000     -0.42776      0.65129   -5.3048e-06     -0.42776
