# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN (set)
# _SET1_  NGENES = 733
# _SET1_  P-VALUE = 6.12795e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   79501         1      69091      70008      1       1  1000      -1.0152       0.8448   -2.8427e-06      -1.0152
_SET1_   254173        1    1109286    1133315    121      13  1000     -0.70946        0.748   -2.8427e-06     -0.70946
_SET1_   7293          1    1146706    1149703      6       2  1000     -0.14107      0.54255   -2.8427e-06     -0.14107
_SET1_   29101         1    1477053    1510262     73       6  1000      -1.2733      0.89047   -2.8427e-06      -1.2733
_SET1_   9651          1    2407754    2436964     46       6  1000      0.75414      0.21694   -2.8427e-06      0.75415
_SET1_   27237         1    3371147    3397677     69       8  1000    -0.090571      0.51653   -2.8427e-06    -0.090569
_SET1_   55966         1    4715105    4843851    499      76  1000     -0.13154      0.57872   -2.8427e-06     -0.13154
_SET1_   8514          1    6052358    6161253    240      40  1000     0.051462      0.48602   -2.8427e-06     0.051465
_SET1_   23261         1    6845384    7829766   2248     185  1000      -1.1818      0.89058   -2.8427e-06      -1.1818
_SET1_   54206         1    8071779    8086393     24       5  1000      0.24123      0.39406   -2.8427e-06      0.24123
_SET1_   943           1   12123434   12204264    196      36  1000     0.056172      0.48269   -2.8427e-06     0.056174
_SET1_   343069        1   12907261   12908578      8       3  1000     -0.18659      0.56389   -2.8427e-06     -0.18659
_SET1_   400735        1   12939033   12946025     38       6  1000      0.32997      0.35788   -2.8427e-06      0.32997
_SET1_   343071        1   12952727   12958094      4       2  1000      0.78301      0.20758   -2.8427e-06      0.78302
_SET1_   23254         1   14219646   15444544   1614     167  1000      -1.0281      0.86321   -2.8427e-06      -1.0281
_SET1_   55672         1   16888922   16940100    111      36  1000      -1.5633      0.94484   -2.8427e-06      -1.5633
_SET1_   440574        1   19923471   19956315    102       8  1000          1.2      0.10405   -2.8427e-06          1.2
_SET1_   2046          1   22890004   22930087    109      15  1000      -1.5633      0.93786   -2.8427e-06      -1.5633
_SET1_   713           1   22979682   22988130     26       6  1000       1.0875      0.13316   -2.8427e-06       1.0875
_SET1_   7798          1   23410516   23504301    131      12  1000      0.57813      0.26888   -2.8427e-06      0.57813
_SET1_   864           1   25226002   25291648    109      20  1000     -0.39957      0.65253   -2.8427e-06     -0.39957
_SET1_   55057         1   26648350   26680621     80      10  1000        1.154      0.11842   -2.8427e-06        1.154
_SET1_   9473          1   28199055   28213196     38       7  1000      0.10335       0.4496   -2.8427e-06      0.10335
_SET1_   653121        1   33004772   33071542    123       4  1000     -0.41354       0.6319   -2.8427e-06     -0.41354
_SET1_   9202          1   35734444   35887545    183      11  1000      0.91074      0.16216   -2.8427e-06      0.91075
_SET1_   284656        1   38181646   38230824    159      16  1000     -0.42945      0.65582   -2.8427e-06     -0.42945
_SET1_   6513          1   43391046   43424847    114      14  1000     -0.90015      0.80757   -2.8427e-06     -0.90015
_SET1_   8569          1   47023079   47069966     54       6  1000     -0.70008      0.74682   -2.8427e-06     -0.70008
_SET1_   148932        1   47073387   47082563     19       3  1000     -0.51997      0.68951   -2.8427e-06     -0.51997
_SET1_   55268         1   53361582   53392846     24       4  1000     -0.71926      0.75503   -2.8427e-06     -0.71926
_SET1_   6342          1   53392901   53517289    422      16  1000      -0.1662      0.53468   -2.8427e-06      -0.1662
_SET1_   148979        1   53971904   54203748    600      42  1000     -0.83762      0.79291   -2.8427e-06     -0.83762
_SET1_   148581        1   64669135   64732969    144      13  1000     -0.17647      0.55647   -2.8427e-06     -0.17647
_SET1_   26135         1   67873493   67896123     15       3  1000      0.63217      0.25592   -2.8427e-06      0.63217
_SET1_   9077          1   68511645   68517314     11       4  1000      0.53854       0.2835   -2.8427e-06      0.53854
_SET1_   127254        1   75033795   75139422    134      13  1000        1.313     0.089179   -2.8427e-06        1.313
_SET1_   1429          1   75171170   75199092     51       9  1000     -0.84177      0.79343   -2.8427e-06     -0.84177
_SET1_   127253        1   75198836   75232361     72       7  1000      -1.6351      0.94484   -2.8427e-06      -1.6351
_SET1_   256435        1   76540389   77100311   1410     119  1000     -0.52077      0.72445   -2.8427e-06     -0.52077
_SET1_   26289         1   77747662   78025654    826      54  1000      0.04077      0.47865   -2.8427e-06     0.040773
_SET1_   10561         1   79115477   79129763     19       4  1000      0.46247      0.31143   -2.8427e-06      0.46247
_SET1_   23266         1   82266082   82458107    436      32  1000      0.47121      0.30988   -2.8427e-06      0.47121
_SET1_   23566         1   85279086   85358896    162      34  1000       2.0957     0.018829   -2.8427e-06       2.0957
_SET1_   255631        1   86194916   86622121   1292      49  1000     0.025659      0.46695   -2.8427e-06     0.025662
_SET1_   148545        1  108765902  108786720      7       2  1000      -0.4814      0.67787   -2.8427e-06      -0.4814
_SET1_   164153        1  110655062  110656569      1       1  1000      -1.2598       0.8964   -2.8427e-06      -1.2598
_SET1_   3737          1  111136202  111174096     82       8  1000    -0.063169      0.50627   -2.8427e-06    -0.063167
_SET1_   128344        1  111867285  111895639     23       3  1000       1.1606      0.11523   -2.8427e-06       1.1606
_SET1_   5906          1  112162405  112256807    282      19  1000     -0.22221      0.57098   -2.8427e-06     -0.22221
_SET1_   260425        1  113933087  114228545    390      17  1000       1.2366     0.098092   -2.8427e-06       1.2366
_SET1_   845           1  116242624  116311426    302      16  1000     -0.12831      0.53149   -2.8427e-06     -0.12831
_SET1_   2210          1  120926128  120935944      6       3  1000       1.3726     0.081867   -2.8427e-06       1.3726
_SET1_   728841        1  144169149  144224264      2       1  1000       1.4007     0.080618   -2.8427e-06       1.4007
_SET1_   100132406     1  145293371  145368684     41      18  1000       1.2143      0.11394   -2.8427e-06       1.2143
_SET1_   2209          1  149754232  149764074      4       2  1000     0.043121      0.47046   -2.8427e-06     0.043124
_SET1_   23126         1  151375200  151445753     84       5  1000      0.81917       0.1888   -2.8427e-06      0.81918
_SET1_   388697        1  152184552  152196672     50       3  1000     -0.02661      0.49053   -2.8427e-06    -0.026607
_SET1_   2312          1  152274651  152297679     79       5  1000      0.36841      0.33422   -2.8427e-06      0.36841
_SET1_   4014          1  153232179  153234600      4       2  1000       1.1646      0.12023   -2.8427e-06       1.1646
_SET1_   55154         1  155579961  155584758      2       1  1000     -0.26092      0.59952   -2.8427e-06     -0.26092
_SET1_   55243         1  157963063  158065846    271      43  1000     -0.19734      0.58487   -2.8427e-06     -0.19734
_SET1_   912           1  158147828  158156217      7       2  1000     -0.44449      0.66303   -2.8427e-06     -0.44448
_SET1_   391114        1  158686958  158687905      3       1  1000     -0.55119      0.70491   -2.8427e-06     -0.55118
_SET1_   81442         1  158746472  158747425      2       1  1000      0.26687      0.38313   -2.8427e-06      0.26687
_SET1_   1314          1  160258377  160313354     47       5  1000      -0.8213      0.78431   -2.8427e-06      -0.8213
_SET1_   23385         1  160313063  160328742     28       8  1000      0.12253      0.44386   -2.8427e-06      0.12253
_SET1_   2212          1  161475205  161489360     40       7  1000     -0.52191      0.68911   -2.8427e-06      -0.5219
_SET1_   25903         1  161952982  161994172    107      18  1000     -0.93536      0.82064   -2.8427e-06     -0.93536
_SET1_   6375          1  168545711  168551315     23       4  1000      0.74719      0.21907   -2.8427e-06      0.74719
_SET1_   356           1  172628185  172636013      7       3  1000      0.22157      0.40792   -2.8427e-06      0.22157
_SET1_   64407         1  192127592  192154945     21       3  1000      0.89965      0.17666   -2.8427e-06      0.89965
_SET1_   6003          1  192605268  192629441     84      11  1000     -0.14861      0.54445   -2.8427e-06      -0.1486
_SET1_   89796         1  201508243  201796102    415      41  1000     -0.34114       0.6337   -2.8427e-06     -0.34114
_SET1_   4660          1  202317830  202557697    217       6  1000       2.1332     0.014001   -2.8427e-06       2.1332
_SET1_   2331          1  203309749  203320557     29       7  1000      0.98644      0.15504   -2.8427e-06      0.98644
_SET1_   5549          1  203444883  203460480     37       6  1000      0.48446      0.30348   -2.8427e-06      0.48447
_SET1_   26254         1  203463271  203478077     46       8  1000       1.0019      0.15172   -2.8427e-06       1.0019
_SET1_   23114         1  204797782  204991950    523      48  1000    -0.096443      0.53843   -2.8427e-06     -0.09644
_SET1_   9911          1  205197038  205242471     90       8  1000      0.75442      0.21432   -2.8427e-06      0.75443
_SET1_   1063          1  214776522  214837914    152      12  1000     -0.37108      0.62687   -2.8427e-06     -0.37107
_SET1_   3776          1  215178885  215410436    579      25  1000       -0.939      0.81202   -2.8427e-06       -0.939
_SET1_   80232         1  224572845  224622001     72       6  1000      0.57299      0.26742   -2.8427e-06      0.57299
_SET1_   3020          1  226250408  226259703      5       1  1000      -0.1361      0.54375   -2.8427e-06      -0.1361
_SET1_   84033         1  228395740  228566577    425      19  1000      0.77739      0.20319   -2.8427e-06      0.77739
_SET1_   149373        1  231319845  231323373     12       3  1000      0.41057       0.3271   -2.8427e-06      0.41057
_SET1_   7257          1  231664399  231702270     31       6  1000      0.54438      0.28336   -2.8427e-06      0.54438
_SET1_   27185         1  231762561  232177018    895      84  1000        1.374     0.092869   -2.8427e-06        1.374
_SET1_   57568         1  232533711  232765907    448      29  1000     -0.39239      0.63871   -2.8427e-06     -0.39239
_SET1_   1131          1  239549876  240078750   1007      80  1000       1.1567      0.13072   -2.8427e-06       1.1567
_SET1_   55083         1  245318287  245866428   1739     169  1000     0.031602      0.51069   -2.8427e-06     0.031605
_SET1_   114548        1  247579247  247612410    114      24  1000       1.2312      0.10899   -2.8427e-06       1.2312
_SET1_   127623        1  247614331  247615284      8       3  1000     -0.48098      0.67742   -2.8427e-06     -0.48098
_SET1_   26188         1  247920764  247921708      2       1  1000     -0.80296      0.78049   -2.8427e-06     -0.80295
_SET1_   284521        1  248100493  248264224    451      22  1000     -0.31085      0.59689   -2.8427e-06     -0.31085
_SET1_   403244        1  248801588  248802559      1       1  1000     -0.21156       0.5881   -2.8427e-06     -0.21155
_SET1_   7173          2    1417233    1547445    659      37  1000       1.2086      0.10694   -2.8427e-06       1.2086
_SET1_   7837          2    1635659    1748291    376      44  1000     -0.97734      0.83822   -2.8427e-06     -0.97733
_SET1_   23040         2    1792885    2335147   1032      71  1000    -0.061993      0.52831   -2.8427e-06    -0.061991
_SET1_   57498         2    8865295    8977755    139      13  1000     -0.13681      0.54003   -2.8427e-06     -0.13681
_SET1_   129642        2    8996701    9143876     79       7  1000         1.24     0.098007   -2.8427e-06         1.24
_SET1_   1876          2   11584501   11606303     29       5  1000     -0.82688      0.78777   -2.8427e-06     -0.82688
_SET1_   79623         2   31133331   31361592    646      43  1000       0.5602      0.28232   -2.8427e-06       0.5602
_SET1_   90957         2   39024871   39103021    147      11  1000      0.27579      0.37493   -2.8427e-06      0.27579
_SET1_   729967        2   39103103   39109850     15       3  1000    -0.073604      0.51718   -2.8427e-06    -0.073601
_SET1_   6546          2   40339286   40739575   1163      66  1000      0.10264       0.4547   -2.8427e-06      0.10265
_SET1_   51626         2   44001178   44055095    156      13  1000      0.63505      0.24839   -2.8427e-06      0.63505
_SET1_   6519          2   44502597   44547963     94      11  1000     -0.86898       0.7983   -2.8427e-06     -0.86898
_SET1_   11036         2   48844937   49003645    463      43  1000     -0.26354      0.60297   -2.8427e-06     -0.26354
_SET1_   9938          2   68961913   69053965    301      26  1000     -0.27281      0.59901   -2.8427e-06     -0.27281
_SET1_   729857        2   88056717   88125331      2       1  1000     -0.63069      0.73231   -2.8427e-06     -0.63069
_SET1_   400986        2   96516914   96658068    133      11  1000     0.057167      0.46123   -2.8427e-06     0.057169
_SET1_   51252         2   97541619   97652337    223      20  1000      0.20508      0.40508   -2.8427e-06      0.20508
_SET1_   57730         2   98109009   98206708    158       6  1000       1.8026      0.03125   -2.8427e-06       1.8026
