# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NAKAMURA_CANCER_MICROENVIRONMENT_DN (set)
# _SET1_  NGENES = 45
# _SET1_  P-VALUE = 4.58505e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9249       1   12627939   12677820    139      24  1000     -0.10756       0.5442   -3.6075e-06     -0.10755
_SET1_   991        1   43824626   43828874      3       2  1000      0.57951      0.26743   -3.6075e-06      0.57951
_SET1_   9048       1   44398992   44402912      9       3  1000       2.4222    0.0070609   -3.6075e-06       2.4222
_SET1_   11004      1   45205396   45233439     43       5  1000       1.1515      0.11606   -3.6075e-06       1.1515
_SET1_   55706      1   54231133   54304225     89       6  1000      0.10268      0.44151   -3.6075e-06      0.10268
_SET1_   1491       1   70876901   70905534     56      11  1000      0.65132      0.25206   -3.6075e-06      0.65132
_SET1_   10713      2   85829965   85876407     43       8  1000      0.32182      0.36526   -3.6075e-06      0.32182
_SET1_   699        2  111395275  111435684     17       1  1000       1.0073      0.14866   -3.6075e-06       1.0073
_SET1_   8540       2  178257471  178408564    224       8  1000       1.7374     0.036085   -3.6075e-06       1.7374
_SET1_   5984       3  186507681  186524484     27       4  1000     -0.39795      0.63589   -3.6075e-06     -0.39795
_SET1_   51088      4   39046308   39127853    235       8  1000      -1.1715      0.86412   -3.6075e-06      -1.1715
_SET1_   57619      4   77356253   77704406    790      45  1000      0.33541      0.35773   -3.6075e-06      0.33541
_SET1_   23657      4  139085248  139163572    158      15  1000      0.26881      0.38223   -3.6075e-06      0.26881
_SET1_   9319       5     892764     918164     41       5  1000       1.3837     0.080331   -3.6075e-06       1.3837
_SET1_   6897       5   33440802   33468196     64       7  1000       1.9713     0.022181   -3.6075e-06       1.9713
_SET1_   64924      5   68389776   68426899     77       7  1000     -0.38372       0.6314   -3.6075e-06     -0.38372
_SET1_   1719       5   79922045   79950800    128       4  1000      0.95779      0.15095   -3.6075e-06      0.95779
_SET1_   10492      6   86317502   86353568     37       5  1000      0.67799      0.23537   -3.6075e-06      0.67799
_SET1_   6950       6  160199530  160212135     38       5  1000       -1.091       0.8521   -3.6075e-06       -1.091
_SET1_   64759      7   47314752   47621742    660      75  1000       1.0019      0.17109   -3.6075e-06       1.0019
_SET1_   5723       7   56078056   56119297     70      11  1000       -1.925       0.9714   -3.6075e-06       -1.925
_SET1_   440        7   97481429   97501854     59      12  1000       1.3709     0.082736   -3.6075e-06       1.3709
_SET1_   157313     8   25316275   25365425    108       6  1000     -0.75197      0.75595   -3.6075e-06     -0.75197
_SET1_   54928      8   57870488   57906430     60       5  1000      0.98217      0.15272   -3.6075e-06      0.98218
_SET1_   8767       8   90769335   90803292    107      12  1000       1.5166     0.061694   -3.6075e-06       1.5167
_SET1_   29968      9   80911991   80945009    127      15  1000    -0.041873      0.50782   -3.6075e-06    -0.041869
_SET1_   3376       9   94972489   95056038    105       8  1000      0.88265       0.1766   -3.6075e-06      0.88265
_SET1_   833       11    3022152    3078681    132      10  1000     -0.31726      0.60743   -3.6075e-06     -0.31725
_SET1_   4704      12    4758264    4796720     98      12  1000       1.5542     0.056821   -3.6075e-06       1.5542
_SET1_   586       12   24962958   25102393    422      38  1000      0.39613      0.34568   -3.6075e-06      0.39613
_SET1_   5036      12   56498103   56507694      3       1  1000      0.82904      0.18998   -3.6075e-06      0.82904
_SET1_   4141      12   57881736   57910438     34       3  1000     -0.24771      0.57795   -3.6075e-06     -0.24771
_SET1_   7296      12  104609537  104744085    369      23  1000     -0.69514      0.74679   -3.6075e-06     -0.69513
_SET1_   5985      12  118454506  118470044     39       9  1000     -0.51786      0.69091   -3.6075e-06     -0.51786
_SET1_   90417     15   40674922   40686489     19       2  1000        1.525     0.056252   -3.6075e-06        1.525
_SET1_   9133      15   59397284   59417244     17       3  1000      0.91762      0.16696   -3.6075e-06      0.91762
_SET1_   9455      15   83517729   83654905    174      19  1000     -0.23403      0.58482   -3.6075e-06     -0.23403
_SET1_   55215     15   89785634   89860362    136       9  1000     -0.46266      0.66084   -3.6075e-06     -0.46265
_SET1_   23406     16   84599202   84651669    256      38  1000     -0.77592      0.78761   -3.6075e-06     -0.77592
_SET1_   10615     17   26904583   26926056      5       3  1000      0.42857      0.32509   -3.6075e-06      0.42857
_SET1_   990       17   38444146   38459413      4       1  1000      -1.4873       0.9248   -3.6075e-06      -1.4873
_SET1_   25804     19   18417040   18434001     24       4  1000       1.9131     0.025077   -3.6075e-06       1.9131
_SET1_   81610     20   37554955   37581703     49       4  1000     -0.51197      0.67678   -3.6075e-06     -0.51197
_SET1_   6790      20   54944445   54967351     29       9  1000       1.5882     0.054503   -3.6075e-06       1.5882
_SET1_   8624      21   40449076   40555440     47       6  1000       0.4286      0.31855   -3.6075e-06      0.42861
