# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 5.58504e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065      1   32757708   32799227     22       2  1000      0.74149      0.19963    1.1581e-06      0.74149
_SET1_   5928      1   33116749   33151812     84       5  1000     -0.86464      0.77743    1.1581e-06     -0.86465
_SET1_   64769     1   37955561   37980420     53       9  1000       1.9611     0.021842    1.1581e-06       1.9611
_SET1_   57459     1  153777201  153895451    156       9  1000      0.16409      0.40579    1.1581e-06      0.16409
_SET1_   10000     1  243651535  244014381    354      13  1000      -1.0909      0.84193    1.1581e-06      -1.0909
_SET1_   84289     2  242641456  242668896    110      13  1000       1.1013      0.12241    1.1581e-06       1.1013
_SET1_   7862      3    9773413    9789699     17       6  1000      0.15259      0.41974    1.1581e-06      0.15259
_SET1_   3622      4  184426220  184433422     12       5  1000       1.7007     0.040107    1.1581e-06       1.7007
_SET1_   27154     6   36164408   36200567     27       5  1000      0.29643      0.36185    1.1581e-06      0.29643
_SET1_   3066      6  114257320  114292359     53       9  1000       1.2979     0.087808    1.1581e-06       1.2979
_SET1_   7994      8   41786997   41909506    129       9  1000     -0.98495      0.81857    1.1581e-06     -0.98495
_SET1_   5305     10   22823766   23003503    413      21  1000     -0.29892      0.58833    1.1581e-06     -0.29892
_SET1_   9219     11   62360675   62369312      9       1  1000       2.0896     0.016293    1.1581e-06       2.0896
_SET1_   1108     12    6679248    6716551     65       6  1000     -0.24718      0.56755    1.1581e-06     -0.24718
_SET1_   79837    12   57984942   57997211     10       4  1000     0.022449      0.47132    1.1581e-06     0.022448
_SET1_   90809    14   20926012   20929637      3       2  1000      -1.3831      0.90909    1.1581e-06      -1.3831
_SET1_   207      14  105235686  105262080     65      15  1000       1.7429     0.036524    1.1581e-06       1.7429
_SET1_   5371     15   74287014   74340160    106       9  1000      0.78989      0.19622    1.1581e-06      0.78989
_SET1_   29117    16   50352929   50402845     90       9  1000       2.1824     0.012286    1.1581e-06       2.1824
_SET1_   7157     17    7571720    7590868     39       8  1000      0.99707      0.14468    1.1581e-06      0.99707
_SET1_   1107     17    7788096    7816075     18       6  1000       2.2195     0.011691    1.1581e-06       2.2195
_SET1_   8396     17   36921944   36956218     65      12  1000       2.6089    0.0038479    1.1581e-06       2.6089
_SET1_   5608     17   67410838   67538470    287      37  1000     -0.03479      0.50186    1.1581e-06    -0.034791
_SET1_   53615    19    1576670    1592760     23       4  1000     -0.68767      0.73593    1.1581e-06     -0.68767
_SET1_   5300     19    9945883    9960365     24       6  1000      0.47857      0.29817    1.1581e-06      0.47857
_SET1_   54815    19   19496642   19619741    144       8  1000       1.0779      0.12361    1.1581e-06       1.0779
_SET1_   208      19   40736224   40791443     75       8  1000     -0.04648      0.49159    1.1581e-06    -0.046481
_SET1_   2033     22   41488614   41576081    128      10  1000      0.84719      0.17944    1.1581e-06      0.84719
_SET1_   23774    22   50166931   50221196    116      11  1000      0.17778      0.39914    1.1581e-06      0.17778

# _SET2_  VARIABLE = REACTOME_VLDL_ASSEMBLY (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 3.1404e-06
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   338      2   21224301   21266945     43       9  1000     -0.75092      0.75818    1.1581e-06     -0.75092
_SET2_   4547     4  100485240  100545154    152      15  1000      0.59943      0.25229    1.1581e-06      0.59943
_SET2_   5034    17   79801034   79818566     33       3  1000      0.61214       0.2475    1.1581e-06      0.61214
_SET2_   341     19   45417577   45422606      7       3  1000      0.33264      0.35762    1.1581e-06      0.33264
_SET2_   346     19   45445495   45448753      5       2  1000       1.8046     0.033436    1.1581e-06       1.8046
