# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE (set)
# _SET1_  NGENES = 35
# _SET1_  P-VALUE = 7.95718e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80267     1  184659625  184724041     72       7  1000      0.10145      0.43804   -4.3334e-06      0.10146
_SET1_   6233      2   55459039   55462989      7       3  1000      0.99274      0.15149   -4.3334e-06      0.99274
_SET1_   7841      2   74688184   74692537      2       1  1000      0.11009      0.44921   -4.3334e-06      0.11009
_SET1_   7844      2   86830516   86851000     38       7  1000      0.95487      0.15619   -4.3334e-06      0.95488
_SET1_   56886     2  128848754  128953251    219      13  1000       1.4979     0.059858   -4.3334e-06       1.4979
_SET1_   9695      3    5229359    5261650     46       9  1000      0.76682      0.20383   -4.3334e-06      0.76682
_SET1_   55768     3   25760435   25831530     82       3  1000      -1.1778      0.86938   -4.3334e-06      -1.1778
_SET1_   10299     5   10353751   10440500     66       3  1000     -0.14638      0.53568   -4.3334e-06     -0.14637
_SET1_   821       5  179125019  179158642     53       6  1000       1.4066     0.072393   -4.3334e-06       1.4066
_SET1_   6048      6   32146162   32148570     10       3  1000      0.52621       0.2846   -4.3334e-06      0.52622
_SET1_   79139     8  124025404  124054663     46       7  1000      -1.3859      0.90838   -4.3334e-06      -1.3859
_SET1_   11236     8  125487008  125500859     22       6  1000      0.70854       0.2225   -4.3334e-06      0.70854
_SET1_   7415      9   35056065   35072739     24       5  1000       1.3694     0.077826   -4.3334e-06       1.3694
_SET1_   5887      9  110045517  110094475    116      11  1000      0.28734      0.36425   -4.3334e-06      0.28734
_SET1_   11253     9  139981379  140003639     57       9  1000     -0.12023      0.52519   -4.3334e-06     -0.12023
_SET1_   23193    11   62392298   62414198     16       3  1000       1.9319     0.024279   -4.3334e-06       1.9319
_SET1_   51035    11   62443972   62446554      1       1  1000       1.7724      0.03767   -4.3334e-06       1.7724
_SET1_   84447    11   64894751   64902285      7       2  1000       0.5637      0.27657   -4.3334e-06      0.56371
_SET1_   10956    12   58087738   58115340     31       4  1000       1.6262     0.047313   -4.3334e-06       1.6262
_SET1_   9761     12  121124949  121139667     30       7  1000      0.75544      0.20884   -4.3334e-06      0.75545
_SET1_   7316     12  125396192  125399587     13       3  1000      0.16295      0.41646   -4.3334e-06      0.16296
_SET1_   10206    13   50571143   50592603     35       5  1000     -0.77326      0.76364   -4.3334e-06     -0.77326
_SET1_   55757    13   96453834   96705736    338      13  1000      -1.0981      0.85334   -4.3334e-06      -1.0981
_SET1_   6400     14   81937891   82000205     62      11  1000     -0.62043      0.71207   -4.3334e-06     -0.62042
_SET1_   5700     14   90722894   90738969     66       2  1000     -0.92344       0.8113   -4.3334e-06     -0.92344
_SET1_   2923     15   44038326   44064804     27       3  1000      0.01026      0.47664   -4.3334e-06     0.010264
_SET1_   267      16   56395364   56459450    140       8  1000       1.1991      0.10487   -4.3334e-06       1.1991
_SET1_   51009    17    5377582    5389520     25       6  1000      0.63194       0.2464   -4.3334e-06      0.63194
_SET1_   7314     17   16284367   16286059      2       1  1000      -0.3219      0.61814   -4.3334e-06     -0.32189
_SET1_   64772    17   77067565   77084685     58      11  1000      0.17296      0.40645   -4.3334e-06      0.17296
_SET1_   5589     19   11546111   11561783     18       3  1000     -0.62502      0.71795   -4.3334e-06     -0.62502
_SET1_   811      19   13049414   13055304      3       1  1000      0.39826       0.3406   -4.3334e-06      0.39826
_SET1_   7311     19   18674576   18688270     28       2  1000      0.21545      0.40039   -4.3334e-06      0.21545
_SET1_   55741    20   33703160   33735161    114      11  1000       1.0665      0.12972   -4.3334e-06       1.0665
_SET1_   91445    22   31556138   31603005    104      11  1000       1.4607     0.064078   -4.3334e-06       1.4607
