# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_CERAMIDE_PATHWAY (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 8.48642e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   841      2  202098166  202152434    119      18  1000        1.382     0.076184   -1.6602e-06        1.382
_SET1_   5894     3   12625100   12705700    170      11  1000       1.6443     0.044614   -1.6602e-06       1.6443
_SET1_   4790     4  103422486  103538459    171       8  1000      0.59302       0.2576   -1.6602e-06      0.59302
_SET1_   4214     5   56110900   56191979    152      10  1000      0.16639      0.41306   -1.6602e-06      0.16639
_SET1_   8737     6    3064201    3115421    124      24  1000      -1.2198      0.88014   -1.6602e-06      -1.2198
_SET1_   8439     8   59496063   59572404    166      15  1000      0.92932      0.16304   -1.6602e-06      0.92932
_SET1_   7186     9  139776341  139821853     82       3  1000     -0.18412      0.55149   -1.6602e-06     -0.18412
_SET1_   5599    10   49514682   49647403    206      16  1000     -0.62175      0.71625   -1.6602e-06     -0.62175
_SET1_   6609    11    6411644    6416228      7       2  1000     -0.23359      0.57683   -1.6602e-06     -0.23359
_SET1_   572     11   64037300   64052176     19       6  1000      -1.7476      0.95561   -1.6602e-06      -1.7476
_SET1_   5970    11   65421067   65430443     10       3  1000        1.039      0.13932   -1.6602e-06        1.039
_SET1_   8772    11   70049269   70053508      4       1  1000      0.32867      0.35402   -1.6602e-06      0.32867
_SET1_   7132    12    6437923    6451283     22       5  1000     0.028746      0.46835   -1.6602e-06     0.028748
_SET1_   5604    15   66679182   66783882    162      17  1000      0.72055      0.22029   -1.6602e-06      0.72055
_SET1_   5595    16   30125426   30134630      7       3  1000     -0.11212      0.52816   -1.6602e-06     -0.11212
_SET1_   8717    16   67188088   67193812      1       1  1000      0.27729       0.3039   -1.6602e-06      0.27729
_SET1_   6416    17   11924135   12047148    150      11  1000      0.24235      0.38345   -1.6602e-06      0.24235
_SET1_   596     18   60790579   60987011    369      61  1000      0.24633      0.39239   -1.6602e-06      0.24633
_SET1_   581     19   49458117   49465055     17       4  1000       1.5636     0.053489   -1.6602e-06       1.5636
_SET1_   5594    22   22113946   22221970    175      13  1000      0.93961      0.16001   -1.6602e-06      0.93961
