# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HINATA_NFKB_TARGETS_FIBROBLAST_UP (set)
# _SET1_  NGENES = 80
# _SET1_  P-VALUE = 6.06524e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6118      1   28218035   28241255     45       2  1000     -0.46791       0.6576   -5.9235e-06      -0.4679
_SET1_   1647      1   68150860   68154021      7       2  1000       1.8742     0.026967   -5.9235e-06       1.8742
_SET1_   3068      1  156711899  156722240     10       3  1000      0.58861      0.26088   -5.9235e-06      0.58861
_SET1_   6401      1  169691781  169703220     49       6  1000     -0.44781      0.65452   -5.9235e-06      -0.4478
_SET1_   50486     1  209848670  209849735      3       2  1000     -0.23151      0.57335   -5.9235e-06      -0.2315
_SET1_   9553      2   27994584   28002608      5       1  1000      0.32919      0.34985   -5.9235e-06       0.3292
_SET1_   6711      2   54683454   54898583    521      20  1000     -0.83635      0.78518   -5.9235e-06     -0.83635
_SET1_   4862      2  101436613  101613289    480      59  1000      0.52958      0.29404   -5.9235e-06      0.52959
_SET1_   3553      2  113587337  113594356     12       3  1000      0.78603      0.20088   -5.9235e-06      0.78604
_SET1_   390       2  151324707  151344209     19       4  1000       1.6933     0.040469   -5.9235e-06       1.6933
_SET1_   2335      2  216225177  216300890    207      19  1000     -0.33258      0.61381   -5.9235e-06     -0.33258
_SET1_   6364      2  228678558  228682280      9       2  1000      0.62479      0.25271   -5.9235e-06      0.62479
_SET1_   5806      3  157154580  157161417     10       3  1000     -0.55233      0.69171   -5.9235e-06     -0.55232
_SET1_   3083      4    3443702    3451214     26       8  1000     -0.69866      0.74326   -5.9235e-06     -0.69866
_SET1_   9508      4   73146686   73434516    426      21  1000       3.2554   0.00048308   -5.9235e-06       3.2554
_SET1_   3576      4   74606223   74609433      4       1  1000      0.96868      0.15238   -5.9235e-06      0.96869
_SET1_   6372      4   74702273   74704477      2       1  1000      0.75345      0.21031   -5.9235e-06      0.75346
_SET1_   2919      4   74735109   74737019      5       2  1000       4.0293   2.2591e-05   -5.9235e-06       4.0293
_SET1_   6374      4   74861359   74864446      3       1  1000       3.3868    0.0002906   -5.9235e-06       3.3868
_SET1_   2921      4   74902306   74904490      3       2  1000      -1.0387      0.83922   -5.9235e-06      -1.0387
_SET1_   2250      4   81187742   81212171     45      10  1000       1.8089     0.031934   -5.9235e-06       1.8089
_SET1_   4790      4  103422486  103538459    171       8  1000       -1.046      0.83909   -5.9235e-06       -1.046
_SET1_   5393      4  122722445  122738176     36       7  1000     -0.20096      0.56065   -5.9235e-06     -0.20096
_SET1_   2247      4  123747568  123819390    185      26  1000       1.1284      0.12269   -5.9235e-06       1.1284
_SET1_   891       5   68462837   68474072     32       4  1000      0.46135      0.30286   -5.9235e-06      0.46135
