# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_NFAT_TFPATHWAY (set)
# _SET1_  NGENES = 41
# _SET1_  P-VALUE = 3.50222e-08
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3725      1   59246463   59249785      2       1  1000     -0.28624      0.61839   -3.3821e-06     -0.28624
_SET1_   2635      1   89472360   89488556     46       7  1000     -0.73955      0.76625   -3.3821e-06     -0.73955
_SET1_   5451      1  167190066  167396582    242      18  1000       1.1627       0.1185   -3.3821e-06       1.1627
_SET1_   356       1  172628185  172636013      7       3  1000     -0.15669      0.56109   -3.3821e-06     -0.15668
_SET1_   5743      1  186640944  186649559      7       3  1000     -0.55738      0.71244   -3.3821e-06     -0.55738
_SET1_   55509     1  212859759  212873327     36       9  1000      -0.9083      0.81814   -3.3821e-06      -0.9083
_SET1_   1961      2   73518057   73520829      2       1  1000       2.4997    0.0064402   -3.3821e-06       2.4997
_SET1_   1493      2  204732511  204738683      3       1  1000      0.43502      0.32846   -3.3821e-06      0.43502
_SET1_   5468      3   12329349   12475855    286      18  1000      0.55618       0.2792   -3.3821e-06      0.55618
_SET1_   868       3  105374306  105589354    405      18  1000       3.0003     0.001176   -3.3821e-06       3.0003
_SET1_   3576      4   74606223   74609433      4       1  1000      0.15138       0.4327   -3.3821e-06      0.15138
_SET1_   3558      4  123372625  123377650      3       1  1000       0.3654      0.35435   -3.3821e-06       0.3654
_SET1_   836       4  185548850  185570629     52       9  1000      0.88371      0.18579   -3.3821e-06      0.88371
_SET1_   3562      5  131396347  131398896      3       1  1000      0.83353      0.20155   -3.3821e-06      0.83354
_SET1_   1437      5  131409485  131411863      4       2  1000      0.48576      0.31435   -3.3821e-06      0.48577
_SET1_   3567      5  131877136  131892555     15       3  1000      -1.2439      0.89107   -3.3821e-06      -1.2439
_SET1_   3565      5  132009678  132018370     22       3  1000      0.30226      0.37359   -3.3821e-06      0.30226
_SET1_   1958      5  137801181  137805004      2       1  1000      0.79578      0.21294   -3.3821e-06      0.79579
_SET1_   3662      6     391739     411443     52      12  1000     -0.55327      0.71098   -3.3821e-06     -0.55326
_SET1_   7124      6   31543344   31546113      4       2  1000     -0.70938      0.76455   -3.3821e-06     -0.70937
_SET1_   5796      6  128289924  128841870    618      47  1000     -0.24686      0.60382   -3.3821e-06     -0.24686
_SET1_   1960      8   22545172   22550815      5       2  1000       0.4263      0.33322   -3.3821e-06       0.4263
_SET1_   3559     10    6052657    6104333    152      25  1000       1.7536     0.040803   -3.3821e-06       1.7536
_SET1_   5588     10    6435558    6622254    387      47  1000      0.21838      0.42649   -3.3821e-06      0.21839
_SET1_   2625     10    8087294    8117164     75      10  1000     -0.71217      0.75674   -3.3821e-06     -0.71217
_SET1_   1959     10   64571756   64578927      9       2  1000       0.5758      0.28164   -3.3821e-06       0.5758
_SET1_   6520     11   62623484   62656355     22       5  1000      0.25678      0.39574   -3.3821e-06      0.25678
_SET1_   8061     11   65659616   65667997     19       4  1000       1.6653     0.046527   -3.3821e-06       1.6653
_SET1_   1606     12   56324946   56347811     11       3  1000       2.0148     0.021663   -3.3821e-06       2.0148
_SET1_   1019     12   58141510   58146304      4       2  1000       2.1775     0.014634   -3.3821e-06       2.1775
_SET1_   3458     12   68548550   68553521      4       1  1000      0.13907      0.43809   -3.3821e-06      0.13908
_SET1_   2353     14   75745477   75748937      6       2  1000      0.65771      0.25385   -3.3821e-06      0.65772
_SET1_   4775     16   68118654   68263162    157       5  1000      -1.2756      0.88964   -3.3821e-06      -1.2756
_SET1_   4094     16   79627745   79634622     15       7  1000       1.6667     0.048735   -3.3821e-06       1.6667
_SET1_   30009    17   45810610   45823485     27       5  1000     -0.55785      0.70718   -3.3821e-06     -0.55785
_SET1_   4772     18   77155772   77289323    460      46  1000      0.12325      0.46029   -3.3821e-06      0.12325
_SET1_   3726     19   12902310   12904125      1       1  1000       1.5001      0.07055   -3.3821e-06       1.5001
_SET1_   1869     20   32263292   32274210      5       2  1000      0.15072      0.43869   -3.3821e-06      0.15072
_SET1_   83737    20   32951041   33099198    145       4  1000     -0.82859      0.77714   -3.3821e-06     -0.82859
_SET1_   5770     20   49126858   49201299     69       5  1000       1.1793      0.11144   -3.3821e-06       1.1793
_SET1_   4773     20   50003494   50179370    401      65  1000       1.7052       0.0515   -3.3821e-06       1.7052
