# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP (set)
# _SET1_  NGENES = 291
# _SET1_  P-VALUE = 4.13163e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51032      1   15802596   15817895     34       4  1000     -0.27351       0.5902   -5.5453e-06      -0.2735
_SET1_   10726      1   27248187   27273362     12       3  1000     -0.19878      0.57316   -5.5453e-06     -0.19878
_SET1_   8458       1  117602910  117645492     73      12  1000      0.64938      0.25403   -5.5453e-06      0.64938
_SET1_   10885      1  118472372  118503049     47       4  1000      0.94994      0.16654   -5.5453e-06      0.94995
_SET1_   130814     2   11295498   11319000     78      12  1000      0.45709       0.3108   -5.5453e-06      0.45709
_SET1_   6389       5     218338     256815    316       5  1000     -0.55565      0.69759   -5.5453e-06     -0.55564
_SET1_   10016      5     271736     315089    182      12  1000     -0.68324      0.74445   -5.5453e-06     -0.68324
_SET1_   11336      5     443305     467414     84       8  1000      0.95535      0.15682   -5.5453e-06      0.95536
_SET1_   55722      5     612405     655807    124      10  1000       2.1257     0.014952   -5.5453e-06       2.1257
_SET1_   65980      5     863850     892939     37       5  1000      0.49267      0.31752   -5.5453e-06      0.49267
_SET1_   79888      5    1461542    1525644    216      38  1000      0.63849      0.26304   -5.5453e-06      0.63849
_SET1_   4726       5    1801496    1816165     48       5  1000      0.20406      0.40981   -5.5453e-06      0.20406
_SET1_   23379      5    5422786    5490347     99       9  1000      -1.0067      0.83745   -5.5453e-06      -1.0067
_SET1_   10695      6   42896860   42911666     27       6  1000     -0.89613      0.80685   -5.5453e-06     -0.89612
_SET1_   5528       6   42952218   42980083     47       5  1000      0.56042      0.28752   -5.5453e-06      0.56043
_SET1_   2852       7    1126443    1133451     21       6  1000     -0.48912      0.67867   -5.5453e-06     -0.48912
_SET1_   79778      7    1473995    1499138     60       7  1000      -1.0026        0.841   -5.5453e-06      -1.0026
_SET1_   26173      7    1509913    1544018    101       3  1000      -1.3726      0.90206   -5.5453e-06      -1.3726
_SET1_   7975       7    1570368    1582679     23       2  1000     0.078607      0.44553   -5.5453e-06     0.078613
_SET1_   8379       7    1855428    2272583   1374      34  1000      0.77436      0.21574   -5.5453e-06      0.77437
_SET1_   2617       7   30634181   30673649     49       7  1000       1.2773     0.096939   -5.5453e-06       1.2774
_SET1_   435        7   65540776   65558330     28       3  1000      0.11286      0.43888   -5.5453e-06      0.11286
_SET1_   27297      7   65579805   65619555     79       6  1000      0.42972      0.31713   -5.5453e-06      0.42972
_SET1_   154881     7   66093868   66113964     35       5  1000     -0.23742      0.57561   -5.5453e-06     -0.23741
_SET1_   27342      7   66147151   66276451    236      14  1000     -0.35612      0.62222   -5.5453e-06     -0.35611
_SET1_   55069      7   66386203   66423538     62       6  1000     -0.66742      0.73897   -5.5453e-06     -0.66742
_SET1_   10282      7   93592082   93633693     49      11  1000       0.3223      0.36859   -5.5453e-06      0.32231
_SET1_   64921      7   94138838   94186331     79       9  1000       1.4344     0.070105   -5.5453e-06       1.4344
_SET1_   5446       7   94989181   95025702     52       8  1000    -0.011829       0.4915   -5.5453e-06    -0.011823
_SET1_   5445       7   95034174   95064636     66       6  1000      0.68401      0.23184   -5.5453e-06      0.68402
_SET1_   5166       7   95212809   95225925     35       4  1000       0.2425      0.38446   -5.5453e-06       0.2425
_SET1_   10165      7   95749532   95951459    180       6  1000     -0.61884      0.70903   -5.5453e-06     -0.61884
_SET1_   7979       7   96318079   96339203     44       7  1000        1.778     0.035159   -5.5453e-06        1.778
_SET1_   57001      7   96745905   96811075    119       9  1000      -1.4118      0.91501   -5.5453e-06      -1.4118
_SET1_   440        7   97481429   97501854     59      12  1000       1.1775       0.1147   -5.5453e-06       1.1775
_SET1_   22853      7   97736197   97838945    206      14  1000     -0.66071      0.74101   -5.5453e-06      -0.6607
_SET1_   8295       7   98476113   98610866    172      10  1000      0.76578      0.21868   -5.5453e-06      0.76579
_SET1_   57154      7   98625058   98741743    160      27  1000    -0.094819      0.53866   -5.5453e-06    -0.094813
_SET1_   10552      7   98923496   98963885     53       7  1000      0.65241      0.26104   -5.5453e-06      0.65242
_SET1_   10095      7   98972298   99004226     49       6  1000     -0.55391      0.71315   -5.5453e-06     -0.55391
_SET1_   23660      7   99102273   99131445     25       4  1000      -1.0887      0.86272   -5.5453e-06      -1.0886
_SET1_   1577       7   99245813   99277636     22       4  1000      0.62889      0.27379   -5.5453e-06       0.6289
_SET1_   9179       7   99699130   99704803      9       2  1000       -0.685       0.7392   -5.5453e-06     -0.68499
