# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP (set)
# _SET1_  NGENES = 91
# _SET1_  P-VALUE = 6.10685e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57134      1   25943959   26111258    305      23  1000     -0.81191      0.77754   -1.2961e-06     -0.81191
_SET1_   2170       1   31838100   31845923      7       3  1000      0.98416      0.15724   -1.2961e-06      0.98417
_SET1_   79656      1   49193538   49242547     68      12  1000      -1.2911        0.895   -1.2961e-06      -1.2911
_SET1_   1486       1   85018804   85048039     42       7  1000      0.97573      0.15433   -1.2961e-06      0.97573
_SET1_   6281       1  151955386  151966714     12       3  1000      0.68274      0.23694   -1.2961e-06      0.68274
_SET1_   481        1  169075947  169101960    108      18  1000      0.40695      0.33022   -1.2961e-06      0.40695
_SET1_   947        1  208059883  208084742     65      10  1000      -1.1318      0.86196   -1.2961e-06      -1.1318
_SET1_   3754       2   11052063   11054351      3       2  1000      -1.1017       0.8623   -1.2961e-06      -1.1017
_SET1_   151056     2   28718938   28866654    422      53  1000       1.2892      0.10056   -1.2961e-06       1.2892
_SET1_   60482      2  108602979  108630663     52      15  1000      0.67769      0.24177   -1.2961e-06       0.6777
_SET1_   25801      2  163200583  163236525     14       5  1000       1.0448        0.142   -1.2961e-06       1.0448
_SET1_   2888       2  165349323  165478360    180      23  1000       1.7606     0.036488   -1.2961e-06       1.7606
_SET1_   9360       2  170440850  170497916    173      11  1000     -0.35405      0.61393   -1.2961e-06     -0.35405
_SET1_   4430       2  192110107  192290115    342      13  1000       1.2137     0.098044   -1.2961e-06       1.2137
_SET1_   29995      3    8543493    8609811    172      14  1000       2.0687     0.016818   -1.2961e-06       2.0687
_SET1_   7869       3   50305040   50314573     11       3  1000       2.1038     0.016343   -1.2961e-06       2.1038
_SET1_   1356       3  148880197  148939832    127      21  1000     -0.60411      0.71773   -1.2961e-06      -0.6041
_SET1_   57537      4    7194374    7744564   2623     248  1000       0.9852      0.17745   -1.2961e-06       0.9852
_SET1_   132299     4   48887405   48908815     11       3  1000      -0.7758      0.77158   -1.2961e-06      -0.7758
_SET1_   5156       4   55095264   55164412    111       6  1000       1.0066      0.14114   -1.2961e-06       1.0066
_SET1_   2798       4   68603093   68621804     40       5  1000     -0.75051      0.75821   -1.2961e-06     -0.75051
_SET1_   6372       4   74702273   74704477      2       1  1000     -0.66032      0.74163   -1.2961e-06     -0.66032
_SET1_   57117      4  106603784  106629881     22       5  1000        1.902     0.026311   -1.2961e-06        1.902
_SET1_   255743     4  106816588  106892828    144       7  1000       1.4692     0.061686   -1.2961e-06       1.4692
_SET1_   6423       4  154701742  154710228     17       5  1000     0.001931      0.48681   -1.2961e-06    0.0019323
_SET1_   140458     4  177134824  177198722    243      23  1000     -0.38736      0.63535   -1.2961e-06     -0.38736
_SET1_   8470       4  186506598  186877870   1413     133  1000      0.17173      0.46532   -1.2961e-06      0.17173
_SET1_   9315       5  111065000  111312628    485      42  1000      0.76936      0.21509   -1.2961e-06      0.76937
_SET1_   7045       5  135364584  135399507     67       5  1000     -0.40876      0.63573   -1.2961e-06     -0.40875
