# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 7.22948e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4000       1  156052369  156109880    117       7  1000      0.99988      0.14767   -4.3376e-06      0.99989
_SET1_   23175      2   11817705   11967535    367      40  1000      0.90018      0.19064   -4.3376e-06      0.90019
_SET1_   891        5   68462837   68474072     32       4  1000     -0.59476      0.71272   -4.3376e-06     -0.59475
_SET1_   4001       5  126112315  126172712    104      12  1000       1.0658      0.14066   -4.3376e-06       1.0658
_SET1_   221496     6   33738990   33756906     61       7  1000     -0.34473      0.62629   -4.3376e-06     -0.34473
_SET1_   983       10   62538089   62554610     49       5  1000      0.88096      0.17995   -4.3376e-06      0.88097
_SET1_   23592     12   65563351   65642141     57       5  1000       1.0951      0.12875   -4.3376e-06       1.0951
_SET1_   7112      12   98909351   98944157     71      10  1000     0.015069      0.48935   -4.3376e-06     0.015074
_SET1_   5579      16   23847300   24231932    897      75  1000     -0.21587      0.59365   -4.3376e-06     -0.21586
_SET1_   255919    16   50059121   50070999     25       4  1000       0.8251       0.1952   -4.3376e-06       0.8251
_SET1_   23399     17    7146906    7155259     11       4  1000       1.2791      0.09696   -4.3376e-06       1.2791
_SET1_   5578      17   64298760   64806862   1352      84  1000       1.3022     0.090465   -4.3376e-06       1.3022
_SET1_   9663      18    2916992    3013313    222      20  1000       0.2624      0.39264   -4.3376e-06      0.26241
_SET1_   64900     20   39969495   39989222     36       7  1000     0.028951      0.48173   -4.3376e-06     0.028955
