# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DISEASES_OF_METABOLISM (set)
# _SET1_  NGENES = 232
# _SET1_  P-VALUE = 1.91978e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790     1     955503     991499    104      11  1000     -0.55248       0.6984   -2.3476e-06     -0.55247
_SET1_   126792     1    1167629    1170421      3       2  1000     -0.52126      0.70123   -2.3476e-06     -0.52126
_SET1_   3339       1   22148737   22263750    219      26  1000        0.519      0.29265   -2.3476e-06        0.519
_SET1_   79947      1   26758773   26797797     38       7  1000       1.0878      0.13083   -2.3476e-06       1.0878
_SET1_   9672       1   31342313   31381480     72      18  1000      0.43019       0.3227   -2.3476e-06      0.43019
_SET1_   6487       1   44173204   44396837    489      23  1000     0.049633      0.46249   -2.3476e-06     0.049635
_SET1_   25974      1   45965856   45976739     18       4  1000       0.3081      0.36471   -2.3476e-06      0.30811
_SET1_   55624      1   46654353   46685977     31       5  1000      -1.2506      0.88749   -2.3476e-06      -1.2506
_SET1_   29929      1   63833261   63904233    124      11  1000     -0.25069      0.58252   -2.3476e-06     -0.25069
_SET1_   5236       1   64058947   64125916    184      30  1000     -0.39144      0.64217   -2.3476e-06     -0.39144
_SET1_   23169      1   67465015   67520080    150      12  1000      0.78924      0.20417   -2.3476e-06      0.78925
_SET1_   2730       1   94352590   94375154     49       7  1000     -0.45761      0.66448   -2.3476e-06     -0.45761
_SET1_   199857     1   95448279   95538512    119      15  1000       1.7112     0.040511   -2.3476e-06       1.7112
_SET1_   4853       1  120454176  120639880    131      10  1000      0.12278      0.44084   -2.3476e-06      0.12279
_SET1_   54507      1  150521846  150533413     18       8  1000     -0.81338      0.78416   -2.3476e-06     -0.81338
_SET1_   4582       1  155158300  155162768      2       1  1000      0.12496      0.43017   -2.3476e-06      0.12497
_SET1_   63827      1  156611740  156629324     21       4  1000     -0.14571       0.5391   -2.3476e-06      -0.1457
