# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRANSPORT_OF_ORGANIC_ANIONS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.8924e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6578       3  133651540  133748920    274      38  1000      0.75974       0.2012   -2.1559e-06      0.75974
_SET1_   213        4   74269972   74287129     23       2  1000      0.42602      0.31489   -2.1559e-06      0.42602
_SET1_   353189     5  101569690  101632253    181      19  1000     -0.31255      0.59365   -2.1559e-06     -0.31255
_SET1_   11309     11   74862032   74917445    105      17  1000       2.0577     0.016765   -2.1559e-06       2.0577
_SET1_   53919     12   20848289   20906320    164      13  1000       4.4141   3.4752e-06   -2.1559e-06       4.4141
_SET1_   28234     12   20963638   21070019    548      17  1000       5.3398   3.4032e-08   -2.1559e-06       5.3398
_SET1_   10599     12   21284128   21392730    383      23  1000       3.1819   0.00057419   -2.1559e-06       3.1819
_SET1_   6579      12   21417534   21548371    379      26  1000       4.3603   4.7972e-06   -2.1559e-06       4.3603
_SET1_   28232     15   92396938   92715665    881      83  1000    0.0096949       0.4725   -2.1559e-06    0.0096971
_SET1_   551       20    3063202    3065370      3       1  1000      0.98363      0.15666   -2.1559e-06      0.98363
_SET1_   28231     20   61273795   61317137    106      21  1000     -0.30623      0.58952   -2.1559e-06     -0.30623
