# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KORKOLA_SEMINOMA_UP (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 2.17303e-06
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   205        1  65613232  65697828    164      13  1000      0.64431      0.23896   -3.8074e-06      0.64431
_SET1_   23085     12   1100404   1605099   1216      34  1000       1.2662     0.085861   -3.8074e-06       1.2662
_SET1_   55846     12   2921716   2934237     19       2  1000      0.70234      0.22231   -3.8074e-06      0.70235
_SET1_   83695     12   2985424   2998691     32       2  1000       1.3523     0.075669   -3.8074e-06       1.3523
_SET1_   7289      12   3000033   3050306    177       4  1000       1.0245      0.12753   -3.8074e-06       1.0245
_SET1_   7004      12   3068478   3149842    276      30  1000       5.4277   9.2657e-09   -3.8074e-06       5.4277
_SET1_   10867     12   3186521   3395730    819      74  1000       2.4242    0.0083283   -3.8074e-06       2.4242
_SET1_   894       12   4382901   4414522     59      16  1000       1.1978      0.10967   -3.8074e-06       1.1978
_SET1_   57103     12   4430359   4469194     81      11  1000       2.5246    0.0049525   -3.8074e-06       2.5246
_SET1_   57102     12   4596899   4647674     35       3  1000       2.0671     0.016552   -3.8074e-06       2.0671
_SET1_   4704      12   4758264   4796720     98      12  1000       2.1614     0.013209   -3.8074e-06       2.1614
_SET1_   928       12   6309482   6347437     51       6  1000       0.4188      0.31261   -3.8074e-06       0.4188
_SET1_   939       12   6554051   6560884     18       8  1000      0.14102      0.43192   -3.8074e-06      0.14102
_SET1_   6843      12   6571403   6579843     26       5  1000     -0.65679      0.72575   -3.8074e-06     -0.65679
_SET1_   2597      12   6643585   6647537     13       3  1000      0.47828      0.29883   -3.8074e-06      0.47828
_SET1_   4839      12   6666036   6677498     11       3  1000     0.049197      0.46518   -3.8074e-06     0.049201
_SET1_   50813     12   6833150   6841041     21       3  1000      0.19992      0.39705   -3.8074e-06      0.19992
_SET1_   2784      12   6949375   6956564      2       1  1000      0.27192      0.37883   -3.8074e-06      0.27192
_SET1_   7167      12   6976288   6980110      1       1  1000     -0.45055       0.6699   -3.8074e-06     -0.45054
_SET1_   84727     12   6980099   6982521      1       1  1000     -0.29678          0.6   -3.8074e-06     -0.29678
_SET1_   23710     12  10365435  10375727     21       7  1000       1.0544      0.13776   -3.8074e-06       1.0544
_SET1_   4040      12  12268959  12419811    194      16  1000       2.0857     0.015889   -3.8074e-06       2.0857
_SET1_   1389      12  12764831  12798041     51       6  1000     -0.59732      0.70211   -3.8074e-06     -0.59732
_SET1_   9052      12  13043956  13066600     67      11  1000   -0.0065537      0.48081   -3.8074e-06   -0.0065499
_SET1_   79887     12  14656597  14720791    105      12  1000      0.53001      0.27773   -3.8074e-06      0.53002
_SET1_   397       12  15094949  15114562     37       5  1000       2.8556     0.001752   -3.8074e-06       2.8556
_SET1_   51071     12  16064186  16190315    239      18  1000     -0.74063        0.752   -3.8074e-06     -0.74062
_SET1_   5965      12  21621844  21654603     61       9  1000       1.4328     0.067814   -3.8074e-06       1.4328
_SET1_   51026     12  21654699  21671337     47       7  1000     0.086455      0.44119   -3.8074e-06     0.086459
_SET1_   3945      12  21788275  21810789     78       2  1000      -1.2052       0.8684   -3.8074e-06      -1.2052
_SET1_   58516     12  31433356  31479159     38       6  1000     -0.47216      0.66283   -3.8074e-06     -0.47216
_SET1_   55196     12  32112353  32146041    134      19  1000      0.80767      0.19814   -3.8074e-06      0.80768
_SET1_   121512    12  32552518  32798984    703      43  1000     0.024238      0.47417   -3.8074e-06     0.024242

# _SET2_  VARIABLE = REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION (set)
# _SET2_  NGENES = 6
# _SET2_  P-VALUE = 6.7074e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   4998      1   52838501   52870143     21       4  1000     0.076474       0.4516   -3.8074e-06     0.076477
_SET2_   5000      2  148687966  148779173    102       5  1000      0.19468      0.38784   -3.8074e-06      0.19469
_SET2_   4999      2  201774894  201828424     28       2  1000     -0.96522      0.81316   -3.8074e-06     -0.96522
_SET2_   23595     6   88299785   88377172    125      12  1000    -0.032054      0.48759   -3.8074e-06     -0.03205
_SET2_   5001      7  103766788  103848495    252      14  1000      0.33337       0.3408   -3.8074e-06      0.33337
_SET2_   23594    16   46723558   46732306      5       2  1000       0.5814      0.26688   -3.8074e-06       0.5814
