# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CAFFAREL_RESPONSE_TO_THC_8HR_5_DN (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 4.85566e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8761      1   40026485   40042522     18       4  1000       1.2016      0.10649   -7.5365e-06       1.2016
_SET1_   6241      2   10262695   10271546     11       2  1000     -0.40448      0.63856   -7.5365e-06     -0.40447
_SET1_   6432      2   38970741   38978636      5       1  1000      0.13981      0.42618   -7.5365e-06      0.13982
_SET1_   3305      6   31777396   31790093     11       5  1000     -0.72836      0.75838   -7.5365e-06     -0.72835
_SET1_   6428      6   36562090   36572244     13       5  1000       1.1068      0.12831   -7.5365e-06       1.1068
_SET1_   3301      9   33025209   33039905     27       4  1000      0.45691      0.30453   -7.5365e-06      0.45691
_SET1_   3312     11  122928200  122933074     19       5  1000       1.2676     0.097075   -7.5365e-06       1.2676
_SET1_   10808    13   31710762   31737246     46       5  1000     -0.65834      0.72486   -7.5365e-06     -0.65833
_SET1_   3306     14   65007186   65009955      1       1  1000     -0.15131       0.5499   -7.5365e-06      -0.1513
_SET1_   51109    14   68143517   68162510     26       6  1000        1.323     0.087484   -7.5365e-06       1.3231
_SET1_   3337     19   14625581   14640087     20       4  1000       1.1288      0.11961   -7.5365e-06       1.1288
