# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PLASARI_TGFB1_TARGETS_1HR_UP (set)
# _SET1_  NGENES = 33
# _SET1_  P-VALUE = 7.03509e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80176      1    9335202    9429591    287      42  1000       1.0293      0.16343   -3.2884e-06       1.0293
_SET1_   51278      1  181057638  181059979      4       2  1000     0.069054      0.47191   -3.2884e-06     0.069058
_SET1_   5743       1  186640944  186649559      7       3  1000       0.1895      0.42807   -3.2884e-06      0.18951
_SET1_   81788      1  205271191  205290883     43      10  1000     -0.44809      0.67671   -3.2884e-06     -0.44808
_SET1_   7483       1  228109165  228135676     57       5  1000      0.14818      0.43221   -3.2884e-06      0.14818
_SET1_   3398       2    8822113    8824583      2       1  1000       1.0089      0.16318   -3.2884e-06       1.0089
_SET1_   6574       2  113403434  113421402     22       3  1000       1.9315     0.026092   -3.2884e-06       1.9315
_SET1_   8553       3    5021097    5026866     11       2  1000     0.079418      0.46761   -3.2884e-06     0.079421
_SET1_   2199       3   13573824   13679922    375      41  1000      0.88799      0.20075   -3.2884e-06      0.88799
_SET1_   64651      3   39183342   39196093     33       8  1000     -0.74924      0.77304   -3.2884e-06     -0.74924
_SET1_   3280       3  193853931  193856401      2       1  1000     -0.61392      0.72971   -3.2884e-06     -0.61392
_SET1_   65997      4   53728495   53733002     10       2  1000       1.1496       0.1256   -3.2884e-06       1.1496
_SET1_   1839       5  139712428  139726188     26       6  1000     -0.78977      0.78451   -3.2884e-06     -0.78976
_SET1_   8817       5  170846667  170884630     63      10  1000      -1.2273      0.89029   -3.2884e-06      -1.2273
_SET1_   3400       6   19837579   19842431      8       3  1000      0.56309      0.28614   -3.2884e-06       0.5631
_SET1_   8870       6   30710976   30712327      3       1  1000     -0.60022      0.73127   -3.2884e-06     -0.60021
_SET1_   3569       7   22766766   22771621     14       4  1000      0.93783       0.1742   -3.2884e-06      0.93783
_SET1_   5054       7  100770370  100782547     32       6  1000     -0.37205      0.64128   -3.2884e-06     -0.37204
_SET1_   1960       8   22545172   22550815      5       2  1000       1.7201     0.041807   -3.2884e-06       1.7201
_SET1_   7071       8  103661005  103668130      7       2  1000      -0.6125      0.72679   -3.2884e-06      -0.6125
_SET1_   10912      9   92219913   92221470      3       1  1000      0.38936      0.35615   -3.2884e-06      0.38936
_SET1_   1959      10   64571756   64578927      9       2  1000        2.748    0.0032259   -3.2884e-06        2.748
_SET1_   57178     10   80828751   81076285    643      81  1000       1.8243     0.042596   -3.2884e-06       1.8243
_SET1_   3164      12   52416616   52453291     70      16  1000      0.60236      0.28066   -3.2884e-06      0.60236
_SET1_   221178    13   24553765   24881212   1294     132  1000       0.2193      0.47155   -3.2884e-06       0.2193
_SET1_   8851      17   30814105   30818271      2       1  1000       1.4165     0.074873   -3.2884e-06       1.4165
_SET1_   9020      17   43340488   43394414     71       9  1000      0.55154      0.28891   -3.2884e-06      0.55154
_SET1_   4092      18   46446223   46477081     75      17  1000     -0.83027      0.80102   -3.2884e-06     -0.83027
_SET1_   4616      19    2476123    2478257      5       3  1000    -0.032109      0.51276   -3.2884e-06    -0.032106
_SET1_   3726      19   12902310   12904125      1       1  1000        2.856     0.002487   -3.2884e-06        2.856
_SET1_   3397      20   30193086   30194318      3       1  1000      0.24662      0.40273   -3.2884e-06      0.24662
_SET1_   6615      20   48599513   48605423     26       3  1000       1.2992     0.096357   -3.2884e-06       1.2992
_SET1_   3976      22   30636436   30642840      9       3  1000      0.58339      0.27716   -3.2884e-06       0.5834
