# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.20736e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6439       2   85884440   85895864     12       4  1000       1.0256      0.14132   -3.1584e-06       1.0256
_SET1_   4585       3  195473636  195539148    346      25  1000       1.1234       0.1235   -3.1584e-06       1.1234
_SET1_   84223      3  197615946  197686982    149      10  1000       1.5701      0.05277   -3.1584e-06       1.5701
_SET1_   2172       5  159614374  159665729    230      23  1000      0.25143      0.38632   -3.1584e-06      0.25143
_SET1_   5919       7  150031033  150038773     27       5  1000       1.3335      0.08418   -3.1584e-06       1.3335
_SET1_   6440       8   22014853   22021992     20       8  1000      0.40853      0.32349   -3.1584e-06      0.40854
_SET1_   729238    10   81315608   81320177     31       7  1000       2.5662    0.0044893   -3.1584e-06       2.5662
_SET1_   7356      11   62186507   62190678     12       5  1000       -1.215      0.87949   -3.1584e-06       -1.215
_SET1_   123872    16   84178865   84211524    106      14  1000       1.0686      0.13143   -3.1584e-06       1.0686
_SET1_   83450     17   17876127   17920203     50       4  1000      0.13572      0.42195   -3.1584e-06      0.13572
_SET1_   51751     17   42923721   42927848      9       3  1000     -0.15569      0.54248   -3.1584e-06     -0.15569
_SET1_   64446     17   72270386   72311023    134      17  1000       1.1184      0.12174   -3.1584e-06       1.1184
_SET1_   7122      22   19510547   19515068     11       4  1000       2.5954    0.0041551   -3.1584e-06       2.5954
