# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_5P15_AMPLICON (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 1.03012e-08
_SET1_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   153478     5   140373   190087    164      14  1000        2.104     0.017038   -1.9794e-07        2.104
_SET1_   389257     5   191626   195468      8       2  1000       1.2454      0.10408   -1.9794e-07       1.2454
_SET1_   133957     5   204875   218333     53       8  1000      0.79653      0.21003   -1.9794e-07      0.79653
_SET1_   6389       5   218338   256815    316       5  1000       1.2886     0.091754   -1.9794e-07       1.2886
_SET1_   10016      5   271736   315089    182      12  1000       1.8077     0.034106   -1.9794e-07       1.8077
_SET1_   57491      5   304291   438406    413      33  1000       1.6908     0.047176   -1.9794e-07       1.6908
_SET1_   11336      5   443305   467414     84       8  1000       1.2568     0.099386   -1.9794e-07       1.2568
_SET1_   6550       5   473298   524549    238      34  1000       1.9117     0.029586   -1.9794e-07       1.9117
_SET1_   55722      5   612405   655807    124      10  1000       1.2025      0.10989   -1.9794e-07       1.2025
_SET1_   11076      5   659977   693510    166      17  1000        2.133     0.016035   -1.9794e-07        2.133
_SET1_   79844      5   795720   859088    186      16  1000       1.8165     0.034833   -1.9794e-07       1.8165
_SET1_   65980      5   863850   892939     37       5  1000      0.92601        0.177   -1.9794e-07      0.92601
_SET1_   9319       5   892764   918164     41       5  1000       2.3853    0.0085053   -1.9794e-07       2.3853
_SET1_   85409      5  1008941  1038927    112      17  1000      0.87769      0.19039   -1.9794e-07      0.87769
_SET1_   10723      5  1050489  1112172    217      35  1000      0.88624      0.19592   -1.9794e-07      0.88624
_SET1_   340024     5  1201710  1225232     94      21  1000      0.44783      0.32987   -1.9794e-07      0.44783
_SET1_   348932     5  1225470  1246304     83      19  1000       1.0715      0.14337   -1.9794e-07       1.0715
_SET1_   7015       5  1253282  1295178     83      23  1000       1.8399     0.034022   -1.9794e-07       1.8399
_SET1_   81037      5  1317869  1345180     51       5  1000       1.4517     0.068857   -1.9794e-07       1.4517
_SET1_   6531       5  1392905  1445543    160      22  1000       1.5129     0.065591   -1.9794e-07       1.5129
_SET1_   79888      5  1461542  1525644    216      38  1000        1.152      0.13199   -1.9794e-07        1.152
_SET1_   64979      5  1798499  1799956      8       3  1000      0.86911      0.19136   -1.9794e-07      0.86911
_SET1_   4726       5  1801496  1816165     48       5  1000      0.75558       0.2194   -1.9794e-07      0.75558
_SET1_   50805      5  1877541  1887293     35       6  1000       1.1542      0.12089   -1.9794e-07       1.1542
_SET1_   153572     5  2746279  2751769     10       4  1000      0.21216      0.41527   -1.9794e-07      0.21216
_SET1_   153571     5  2752058  2755511      4       2  1000      0.42945      0.32957   -1.9794e-07      0.42945
