# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_ACTIVIN (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 6.88017e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3625       2  121103719  121109383      4       2  1000     -0.24456       0.5975   -1.2158e-06     -0.24456
_SET1_   92         2  148602086  148688396     76       7  1000      0.26539      0.38366   -1.2158e-06      0.26539
_SET1_   130399     2  158383279  158485399     92      13  1000        4.301   7.9225e-06   -1.2158e-06        4.301
_SET1_   93         3   38495790   38534633     67       5  1000     -0.17821      0.55668   -1.2158e-06      -0.1782
_SET1_   10468      5   52776183   52782964     10       4  1000        1.104      0.13345   -1.2158e-06        1.104
_SET1_   3624       7   41728601   41742706      6       2  1000       2.1242     0.016254   -1.2158e-06       2.1242
_SET1_   8928       8  145699115  145701718      2       1  1000      0.19357       0.4194   -1.2158e-06      0.19357
_SET1_   91        12   52345451   52390863     34       4  1000     -0.59604      0.71547   -1.2158e-06     -0.59603
_SET1_   4088      15   67358036   67487533    317      43  1000       5.3042   5.9884e-08   -1.2158e-06       5.3042
_SET1_   4087      18   45359466   45457564    132       6  1000       5.3034   5.7821e-19   -1.2158e-06       5.3034
_SET1_   4089      18   48556583   48611412     36       3  1000      0.82501      0.19472   -1.2158e-06      0.82501
_SET1_   10272     19     676389     683392     15       4  1000    -0.029894      0.50531   -1.2158e-06    -0.029893

# _SET2_  VARIABLE = REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER (set)
# _SET2_  NGENES = 8
# _SET2_  P-VALUE = 3.0426e-06
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9372     1   52607678   52812358    129       7  1000      0.73215      0.22292   -1.2158e-06      0.73215
_SET2_   7048     3   30647994   30735634    246      37  1000     -0.07235      0.53209   -1.2158e-06    -0.072349
_SET2_   7046     9  101867412  101916474     60       5  1000    -0.030915      0.50059   -1.2158e-06    -0.030913
_SET2_   4088    15   67358036   67487533    317      43  1000       5.3042   5.9884e-08   -1.2158e-06       5.3042
_SET2_   4087    18   45359466   45457564    132       6  1000       5.3034   5.7821e-19   -1.2158e-06       5.3034
_SET2_   4089    18   48556583   48611412     36       3  1000      0.82501      0.19472   -1.2158e-06      0.82501
_SET2_   7040    19   41836812   41859831     32       7  1000     -0.50292      0.68655   -1.2158e-06     -0.50292
_SET2_   2280    20    1349621    1373816     46       8  1000        1.645     0.048284   -1.2158e-06        1.645
