# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_INTERLEUKIN_7_SIGNALING (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 8.87683e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8503      1   46505812   46642167    195      13  1000      0.52503      0.28367   -5.0965e-06      0.52504
_SET1_   3716      1   65298906   65432593    242      22  1000       2.2312      0.01123   -5.0965e-06       2.2312
_SET1_   3667      2  227596033  227664545    133       9  1000      0.18447      0.38702   -5.0965e-06      0.18447
_SET1_   1154      3   50643885   50649262      5       2  1000       1.0117      0.14045   -5.0965e-06       1.0117
_SET1_   3575      5   35856977   35879705     69       6  1000     0.023421       0.4727   -5.0965e-06     0.023426
_SET1_   5295      5   67511584   67597649    151      25  1000     -0.27526      0.60131   -5.0965e-06     -0.27525
_SET1_   85480     5  110405778  110413722      9       3  1000      0.02101       0.4857   -5.0965e-06     0.021015
_SET1_   8358      6   26031817   26032288      1       1  1000         1.14       0.1314   -5.0965e-06         1.14
_SET1_   8352      6   26045639   26046097      3       2  1000       1.0264      0.14846   -5.0965e-06       1.0264
_SET1_   8351      6   26196982   26199521     11       3  1000       1.2997      0.09112   -5.0965e-06       1.2997
_SET1_   8354      6   27839623   27840099      1       1  1000       1.4765       0.0689   -5.0965e-06       1.4765
_SET1_   8356      6   27858093   27858570      1       1  1000     -0.45849       0.6736   -5.0965e-06     -0.45849
_SET1_   3082      7   81331444   81399452     88       5  1000      0.70729      0.22024   -5.0965e-06       0.7073
_SET1_   3574      8   79645007   79717758     72       8  1000       1.3726      0.07524   -5.0965e-06       1.3726
_SET1_   5896     11   36532053   36601312     83      11  1000       1.3062     0.087062   -5.0965e-06       1.3062
_SET1_   5897     11   36613493   36619829     11       2  1000      0.55228      0.27493   -5.0965e-06      0.55228
_SET1_   8835     12   93963598   93970521      9       2  1000     -0.10181      0.52866   -5.0965e-06      -0.1018
_SET1_   8660     13  110406184  110438914     72      11  1000       1.4866      0.06458   -5.0965e-06       1.4866
_SET1_   8651     16   11348274   11350039      1       1  1000      0.67747       0.2543   -5.0965e-06      0.67748
_SET1_   6777     17   40351195   40428478     67       5  1000     -0.49383      0.66999   -5.0965e-06     -0.49383
_SET1_   6776     17   40439565   40463961     47       5  1000      0.48052      0.29725   -5.0965e-06      0.48052
_SET1_   6774     17   40465342   40540586     98       6  1000     -0.65911      0.72808   -5.0965e-06     -0.65911
_SET1_   6597     19   11071598   11172958    139      14  1000       1.6729     0.043107   -5.0965e-06       1.6729
_SET1_   3718     19   17935591   17958880     58      16  1000      0.32428      0.36462   -5.0965e-06      0.32428
_SET1_   5296     19   18263988   18281343     25       5  1000       2.1125     0.016166   -5.0965e-06       2.1126
_SET1_   54014    21   40556102   40685745    306      13  1000    -0.041036      0.48943   -5.0965e-06    -0.041031

# _SET2_  VARIABLE = REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BONT_D (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 1.4592e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9900      1  149874870  149889434     12       4  1000       1.4227     0.071245   -5.0965e-06       1.4228
_SET2_   22987     5   75378997   75649764    881      60  1000     -0.26461      0.59685   -5.0965e-06      -0.2646
_SET2_   6843     12    6571403    6579843     26       5  1000     -0.10437      0.53091   -5.0965e-06     -0.10436
_SET2_   9899     15   91642996   91844539    533      41  1000      0.63814      0.25192   -5.0965e-06      0.63814
_SET2_   6844     17    8062465    8066293      4       2  1000       1.2156      0.11069   -5.0965e-06       1.2156
