# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 3.1971e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065      1   32757708   32799227     22       2  1000       2.4358    0.0098317    -2.873e-06       2.4358
_SET1_   6233      2   55459039   55462989      7       3  1000      0.92419      0.17703    -2.873e-06       0.9242
_SET1_   905       2  135676363  135716915     79       8  1000      0.71315      0.22651    -2.873e-06      0.71315
_SET1_   7029      3  141663270  141868386    250      17  1000      0.63016      0.25132    -2.873e-06      0.63016
_SET1_   25937     3  149235022  149421060    476      59  1000     -0.55944      0.71632    -2.873e-06     -0.55944
_SET1_   892       6   99990263  100016849     59       8  1000      0.72671      0.22425    -2.873e-06      0.72672
_SET1_   5054      7  100770370  100782547     32       6  1000       1.1784      0.11378    -2.873e-06       1.1784
_SET1_   1875      8   86089619   86126753     35       2  1000      0.61479       0.2573    -2.873e-06      0.61479
_SET1_   4609      8  128748315  128753680     11       3  1000     -0.86994      0.81135    -2.873e-06     -0.86994
_SET1_   1030      9   22002902   22009312      9       4  1000      0.35633      0.36117    -2.873e-06      0.35633
_SET1_   1025      9  130548305  130553052      7       2  1000     -0.67426      0.74661    -2.873e-06     -0.67426
_SET1_   4221     11   64570986   64578766     11       3  1000     -0.87019      0.80728    -2.873e-06     -0.87018
_SET1_   904      12   49082241   49110781     37       5  1000      0.64118      0.24998    -2.873e-06      0.64118
_SET1_   6667     12   53773979   53810230     66       6  1000       1.0623      0.13754    -2.873e-06       1.0623
_SET1_   7316     12  125396192  125399587     13       3  1000       1.2499       0.1051    -2.873e-06       1.2499
_SET1_   1024     13   26828262   26979375    292      17  1000       1.3797     0.078943    -2.873e-06       1.3797
_SET1_   7027     13  114239003  114295788     87       6  1000      0.57093      0.27036    -2.873e-06      0.57093
_SET1_   22938    14   78183942   78227542    129      12  1000    -0.076188      0.51505    -2.873e-06    -0.076185
_SET1_   8812     14   99947695   99977852     16       2  1000        1.046      0.14115    -2.873e-06        1.046
_SET1_   54778    15   59279865   59389618    183      10  1000     -0.71627      0.74804    -2.873e-06     -0.71626
_SET1_   4088     15   67358036   67487533    317      43  1000       4.5347    2.767e-06    -2.873e-06       4.5347
_SET1_   1874     16   67226068   67232821      7       2  1000     -0.55089      0.71935    -2.873e-06     -0.55088
_SET1_   7314     17   16284367   16286059      2       1  1000     -0.21066      0.61983    -2.873e-06     -0.21065
_SET1_   7050     18    3411925    3458409    124      26  1000       1.5234     0.062196    -2.873e-06       1.5234
_SET1_   4087     18   45359466   45457564    132       6  1000      0.64212      0.24276    -2.873e-06      0.64212
_SET1_   4092     18   46446223   46477081     75      17  1000      0.08874      0.45604    -2.873e-06     0.088743
_SET1_   4089     18   48556583   48611412     36       3  1000      0.74139      0.21788    -2.873e-06       0.7414
_SET1_   3726     19   12902310   12904125      1       1  1000       0.5334       0.3175    -2.873e-06       0.5334
_SET1_   7311     19   18674576   18688270     28       2  1000       1.0548      0.13736    -2.873e-06       1.0548
_SET1_   60436    20   35201876   35222355      7       3  1000     -0.84496      0.80134    -2.873e-06     -0.84496
_SET1_   5933     20   35624752   35724403     96      11  1000     -0.96609      0.82442    -2.873e-06     -0.96609
