# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIU_CDX2_TARGETS_DN (set)
# _SET1_  NGENES = 8
# _SET1_  P-VALUE = 1.91485e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6707     1  152974223  152976332     18       1  1000     0.052108       0.4561   -2.5702e-06     0.052111
_SET1_   6657     3  181429712  181432224      1       1  1000       0.9174       0.1842   -2.5702e-06       0.9174
_SET1_   3280     3  193853931  193856401      2       1  1000       1.5908     0.056517   -2.5702e-06       1.5908
_SET1_   3848    12   53068520   53074191     10       2  1000       1.7163      0.04039   -2.5702e-06       1.7163
_SET1_   3866    17   39669997   39678033     13       2  1000     -0.16254      0.55431   -2.5702e-06     -0.16253
_SET1_   3880    17   39679869   39684641      6       1  1000     0.074503       0.4563   -2.5702e-06     0.074505
_SET1_   3857    17   39722093   39728310      9       2  1000      0.99764      0.14984   -2.5702e-06      0.99764
_SET1_   3861    17   39738531   39743147     12       3  1000       1.1638      0.11832   -2.5702e-06       1.1638

# _SET2_  VARIABLE = WONG_ENDMETRIUM_CANCER_UP (set)
# _SET2_  NGENES = 25
# _SET2_  P-VALUE = 8.1725e-08
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   83715      1    6484836    6521004     95      10  1000      0.94811       0.1841   -2.5702e-06      0.94812
_SET2_   163782     1   62701837   62785083    319      23  1000      0.19758      0.41763   -2.5702e-06      0.19759
_SET2_   6273       1  153533584  153538306      4       1  1000       1.9005     0.034022   -2.5702e-06       1.9005
_SET2_   7429       2  219283838  219314248     37       5  1000      0.37981      0.34615   -2.5702e-06      0.37982
_SET2_   6364       2  228678558  228682280      9       2  1000    -0.010038      0.55132   -2.5702e-06    -0.010036
_SET2_   251        2  233271552  233275424     12       4  1000      0.82123      0.20652   -2.5702e-06      0.82123
_SET2_   547        2  241653181  241759725    224      30  1000      0.85656      0.19572   -2.5702e-06      0.85657
_SET2_   4057       3   46477496   46506598    113      13  1000       1.3347     0.092013   -2.5702e-06       1.3347
_SET2_   7545       3  147127181  147134506      3       2  1000     -0.14765      0.56203   -2.5702e-06     -0.14764
_SET2_   6374       4   74861359   74864446      3       1  1000    -0.062719      0.52786   -2.5702e-06    -0.062716
_SET2_   166979     5   54408799   54469005    101       7  1000      0.45022      0.32477   -2.5702e-06      0.45022
_SET2_   5307       5  134363424  134369964     18       2  1000       1.1349      0.12985   -2.5702e-06       1.1349
_SET2_   2296       6    1610681    1614132      1       1  1000       1.3612      0.08071   -2.5702e-06       1.3612
_SET2_   7020       6   10393419   10419797     30       6  1000      0.10143      0.46483   -2.5702e-06      0.10143
_SET2_   115416     7   23338940   23349180      6       2  1000       1.8139     0.035859   -2.5702e-06       1.8139
_SET2_   27121      8   42231586   42234674      4       1  1000      -1.1876      0.89097   -2.5702e-06      -1.1876
_SET2_   83481      8  144939492  144952632     25       8  1000       1.4222     0.076268   -2.5702e-06       1.4222
_SET2_   3934       9  130911732  130915734      4       2  1000         0.93       0.1774   -2.5702e-06      0.93001
_SET2_   6289      11   18259780   18270221     34      11  1000    0.0076526      0.49098   -2.5702e-06    0.0076552
_SET2_   3169      14   38058757   38064325      6       2  1000      0.25972      0.39068   -2.5702e-06      0.25972
_SET2_   12        14   95078639   95090395     25       7  1000     -0.39761      0.65391   -2.5702e-06     -0.39761
_SET2_   3240      16   72088470   72094955     11       3  1000       0.6305      0.25354   -2.5702e-06      0.63051
_SET2_   684       19   17502238   17516458      8       3  1000       2.4419    0.0083876   -2.5702e-06       2.4419
_SET2_   284340    19   42932695   42947136     26       3  1000       1.7982     0.041385   -2.5702e-06       1.7982
_SET2_   7033      21   43731777   43735706      7       3  1000     -0.14155      0.54952   -2.5702e-06     -0.14155

# _SET3_  VARIABLE = RAMPON_ENRICHED_LEARNING_ENVIRONMENT_EARLY_UP (set)
# _SET3_  NGENES = 13
# _SET3_  P-VALUE = 2.9545e-07
_SET3_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   1912     1   33789224   33841194    109      10  1000      0.29191      0.37863   -2.5702e-06      0.29191
_SET3_   8491     2   39476407   39664453    329      16  1000    0.0075601      0.51558   -2.5702e-06    0.0075627
_SET3_   9874     2  171847333  172087824    531      17  1000      0.70787      0.24061   -2.5702e-06      0.70787
_SET3_   387      3   49396569   49449526     72       6  1000      0.38141      0.34102   -2.5702e-06      0.38141
_SET3_   1173     3  183892634  183901879     13       3  1000      0.35614      0.35014   -2.5702e-06      0.35614
_SET3_   6863     7   97361271   97369784     24       3  1000      0.24252      0.40419   -2.5702e-06      0.24252
_SET3_   3309     9  127997127  128003666      4       1  1000      0.92754       0.1678   -2.5702e-06      0.92755
_SET3_   5730     9  139871898  139876194      3       1  1000      0.91278      0.17647   -2.5702e-06      0.91278
_SET3_   6844    17    8062465    8066293      4       2  1000     -0.56249      0.70987   -2.5702e-06     -0.56249
_SET3_   7706    17   54965270   54991409     30       7  1000       1.3897     0.082815   -2.5702e-06       1.3897
_SET3_   4670    19    8509460    8554002     88      10  1000       1.4534     0.074324   -2.5702e-06       1.4534
_SET3_   1786    19   10244021   10305783     86       7  1000     -0.12836      0.54711   -2.5702e-06     -0.12835
_SET3_   808     19   47104512   47114039     12       4  1000      0.88523      0.18322   -2.5702e-06      0.88523
