# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PAL_PRMT5_TARGETS_UP (set)
# _SET1_  NGENES = 190
# _SET1_  P-VALUE = 2.55432e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54998      1    1309110    1310818      3       2  1000        -2.81      0.99729    -6.179e-06        -2.81
_SET1_   55052      1    1337276    1342693     10       4  1000     -0.43704      0.65716    -6.179e-06     -0.43704
_SET1_   23435      1   11072462   11085549     24       4  1000      0.47216      0.30301    -6.179e-06      0.47216
_SET1_   57035      1   25568740   25574010      6       3  1000      -1.1367      0.86541    -6.179e-06      -1.1367
_SET1_   3925       1   26210670   26233368     22       3  1000     -0.24448      0.57905    -6.179e-06     -0.24447
_SET1_   3151       1   26798902   26803133      4       2  1000        1.017      0.14743    -6.179e-06        1.017
_SET1_   6118       1   28218035   28241255     45       2  1000    -0.061151      0.49955    -6.179e-06    -0.061145
_SET1_   10946      1   38422647   38456019     74       7  1000      -0.4776      0.66676    -6.179e-06     -0.47759
_SET1_   4802       1   41157242   41237275    142       9  1000     -0.60619      0.71047    -6.179e-06     -0.60619
_SET1_   991        1   43824626   43828874      3       2  1000       1.2066      0.10893    -6.179e-06       1.2066
_SET1_   85440      1   62920397   63154039    227       3  1000       2.0014     0.018491    -6.179e-06       2.0014
_SET1_   79971      1   68564142   68698284    382      53  1000      -1.1434      0.87802    -6.179e-06      -1.1434
_SET1_   81611      1  150190717  150208504     20       4  1000     -0.74539      0.76007    -6.179e-06     -0.74539
_SET1_   54460      1  150266262  150281414     45       6  1000      0.86137      0.18319    -6.179e-06      0.86138
_SET1_   1163       1  154947118  154951725      2       1  1000       1.3678     0.080838    -6.179e-06       1.3678
_SET1_   947        1  208059883  208084742     65      10  1000       2.2814      0.01027    -6.179e-06       2.2814
_SET1_   3398       2    8822113    8824583      2       1  1000      -2.2322      0.98602    -6.179e-06      -2.2322
_SET1_   4953       2   10580507   10588680     17       4  1000      0.24165      0.38988    -6.179e-06      0.24165
_SET1_   1545       2   38294746   38303323     15       4  1000      0.12883      0.43488    -6.179e-06      0.12884
_SET1_   7072       2   70436576   70475886     63       4  1000      -0.4152      0.63983    -6.179e-06     -0.41519
_SET1_   822        2   85621871   85641197     54       9  1000      0.63535      0.25116    -6.179e-06      0.63536
_SET1_   8502       2  159313476  159537941    573      18  1000       1.2958     0.086986    -6.179e-06       1.2958
_SET1_   8520       2  172778935  172848600    101      11  1000      0.71615      0.22483    -6.179e-06      0.71616
_SET1_   10477      2  181845112  181928154    233       7  1000      0.88173      0.17119    -6.179e-06      0.88173
_SET1_   129401     2  183982247  184026408    198      18  1000       1.4305     0.071436    -6.179e-06       1.4305
_SET1_   51602      2  203130515  203168384     63       5  1000     0.039254      0.46335    -6.179e-06      0.03926
_SET1_   5510       2  242089012  242122439     96      13  1000     -0.46992      0.66892    -6.179e-06     -0.46991
_SET1_   27258      3   14220228   14239869     31       6  1000        1.526     0.059059    -6.179e-06        1.526
_SET1_   10015      3   33840063   33911199    155       5  1000       2.1237      0.01422    -6.179e-06       2.1237
_SET1_   4134       3   47892180   48130769    171       6  1000      -0.2867      0.58775    -6.179e-06      -0.2867
_SET1_   55193      3   52579368   52719866    218       5  1000       1.8391     0.027907    -6.179e-06       1.8391
_SET1_   9861       3   63996225   64009686     25       6  1000       1.1793       0.1124    -6.179e-06       1.1793
_SET1_   5627       3   93591881   93692934     55      10  1000      0.79801      0.20317    -6.179e-06      0.79802
_SET1_   11167      3  120113061  120169918    143      17  1000      0.28552      0.37634    -6.179e-06      0.28553
_SET1_   4171       3  127317200  127341279     23       8  1000      0.51203      0.29505    -6.179e-06      0.51204
_SET1_   23317      3  132136361  132257876    171      15  1000       1.6193     0.048692    -6.179e-06       1.6194
_SET1_   11073      3  133319449  133380762    111       7  1000      -0.7971      0.77136    -6.179e-06     -0.79709
_SET1_   1894       3  172468425  172539264    114       9  1000      0.52358      0.28398    -6.179e-06      0.52358
_SET1_   22916      3  196662273  196669464     20       4  1000     -0.37447      0.63148    -6.179e-06     -0.37446
_SET1_   1487       4    1205228    1242908    108      12  1000      -1.3201      0.90013    -6.179e-06      -1.3201
_SET1_   7884       4    1694527    1714421     36       6  1000     -0.63715      0.72524    -6.179e-06     -0.63715
_SET1_   10460      4    1723217    1746905    117       9  1000     -0.34703      0.61779    -6.179e-06     -0.34703
_SET1_   79441      4    2230096    2243860     27       3  1000      0.21523      0.39476    -6.179e-06      0.21524
_SET1_   5099       4   30721951   31148423    940      46  1000       1.2196      0.10634    -6.179e-06       1.2196
_SET1_   5311       4   88928799   88998931    111      17  1000     -0.26486      0.59452    -6.179e-06     -0.26485
_SET1_   9429       4   89011416   89152569    363      33  1000       1.1795      0.11594    -6.179e-06       1.1795
_SET1_   4790       4  103422486  103538459    171       8  1000      0.77524       0.2025    -6.179e-06      0.77525
_SET1_   27068      4  106290234  106395227    302      14  1000       1.0968      0.12504    -6.179e-06       1.0968
_SET1_   51574      4  113558120  113578748     35       8  1000        0.653      0.24646    -6.179e-06      0.65301
_SET1_   6423       4  154701742  154710228     17       5  1000     -0.77728       0.7718    -6.179e-06     -0.77728
_SET1_   3148       4  174252527  174255595      3       1  1000       1.9239     0.024555    -6.179e-06       1.9239
_SET1_   9319       5     892764     918164     41       5  1000      0.76226       0.2085    -6.179e-06      0.76227
_SET1_   23530      5   43602791   43705668    120       9  1000      0.51566       0.2858    -6.179e-06      0.51567
_SET1_   1462       5   82767493   82878122    226      39  1000     -0.06486      0.52905    -6.179e-06    -0.064854
_SET1_   5921       5   86564070   86687743     63       6  1000      0.16416      0.41629    -6.179e-06      0.16416
_SET1_   1070       5   89689528   89705611      6       2  1000      -0.5072      0.68068    -6.179e-06     -0.50719
_SET1_   7025       5   92919043   92930319      4       1  1000     -0.14398      0.54065    -6.179e-06     -0.14398
_SET1_   3308       5  132387662  132440709    100       6  1000      0.60002      0.25602    -6.179e-06      0.60003
_SET1_   7045       5  135364584  135399507     67       5  1000      0.06862      0.45209    -6.179e-06     0.068626
_SET1_   995        5  137620959  137674064     85       7  1000     -0.26548      0.58589    -6.179e-06     -0.26547
_SET1_   27166      5  176730763  176733960      7       3  1000       2.1525     0.014501    -6.179e-06       2.1525
_SET1_   7280       6    3153900    3157783      5       2  1000      -1.1074      0.85879    -6.179e-06      -1.1074
_SET1_   51053      6   24775159   24786327     25       3  1000      0.72671      0.21878    -6.179e-06      0.72671
_SET1_   57819      6   31765169   31774761     14       5  1000     -0.76564      0.76872    -6.179e-06     -0.76564
_SET1_   10919      6   31847536   31865464     24       7  1000    -0.021931      0.49678    -6.179e-06    -0.021924
_SET1_   7272       6   80714322   80752244    110       6  1000     -0.78348      0.76656    -6.179e-06     -0.78347
_SET1_   10559      6   88182637   88222057     81       7  1000      -1.1238      0.85909    -6.179e-06      -1.1238
_SET1_   57038      6   88223656   88299735    185      14  1000      -0.4625      0.66262    -6.179e-06      -0.4625
_SET1_   9994       6   90539619   90584155     83      14  1000     -0.67575      0.74133    -6.179e-06     -0.67574
_SET1_   262        6  111135823  111216916     40       7  1000     -0.13675      0.53918    -6.179e-06     -0.13674
_SET1_   4082       6  114178527  114184652      8       4  1000    -0.096824      0.52798    -6.179e-06    -0.096818
_SET1_   2697       6  121756745  121770873     26       5  1000      -0.7775       0.7696    -6.179e-06     -0.77749
_SET1_   5796       6  128289924  128841870    618      47  1000       2.8756    0.0019661    -6.179e-06       2.8756
_SET1_   5325       6  144261437  144385736    225      29  1000      0.30309      0.37614    -6.179e-06       0.3031
_SET1_   9589       6  160147712  160177351     50       6  1000      0.89435      0.17406    -6.179e-06      0.89436
