# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DELYS_THYROID_CANCER_DN (set)
# _SET1_  NGENES = 217
# _SET1_  P-VALUE = 4.96263e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1187       1   16348486   16360548     60       8  1000        1.092      0.13269   -1.8117e-06        1.092
_SET1_   1188       1   16370231   16383821    118      13  1000     -0.80364      0.78385   -1.8117e-06     -0.80364
_SET1_   8659       1   19197924   19229293     97      18  1000      -1.1099      0.86451   -1.8117e-06      -1.1099
_SET1_   5909       1   21922708   21996010    191      35  1000     0.022142      0.49528   -1.8117e-06     0.022144
_SET1_   3399       1   23884421   23886285      8       3  1000      -1.4981      0.93136   -1.8117e-06      -1.4981
_SET1_   2166       1   46859939   46879520     25       5  1000       1.7781     0.036177   -1.8117e-06       1.7781
_SET1_   6886       1   47681962   47697938     23       4  1000     0.043052      0.47466   -1.8117e-06     0.043054
_SET1_   1733       1   54359860   54376763     55       8  1000       1.7507     0.038141   -1.8117e-06       1.7507
_SET1_   51668      1   54387234   54411975     29       3  1000      0.13221      0.42804   -1.8117e-06      0.13221
_SET1_   3725       1   59246463   59249785      2       1  1000     -0.32353      0.61315   -1.8117e-06     -0.32353
_SET1_   1491       1   70876901   70905534     56      11  1000     -0.28352      0.60425   -1.8117e-06     -0.28351
_SET1_   11080      1   78444847   78483648     50      10  1000     -0.54586      0.69468   -1.8117e-06     -0.54586
_SET1_   5567       1   84543745   84704181    180      13  1000      0.71697      0.23216   -1.8117e-06      0.71697
_SET1_   3491       1   86046444   86049650      3       1  1000     -0.36034      0.63896   -1.8117e-06     -0.36034
_SET1_   7049       1   92145900   92371559    610      48  1000     -0.24394      0.60104   -1.8117e-06     -0.24393
_SET1_   2947       1  110276554  110283660     11       3  1000       1.4963     0.066302   -1.8117e-06       1.4963
_SET1_   845        1  116242624  116311426    302      16  1000    -0.084343      0.52452   -1.8117e-06    -0.084341
_SET1_   4881       1  153651093  153666468     10       3  1000       1.8301     0.032451   -1.8117e-06       1.8301
_SET1_   1805       1  168664695  168698442    119      16  1000      -2.0179      0.97768   -1.8117e-06      -2.0179
_SET1_   2327       1  171154388  171181822    134      12  1000     0.083393       0.4564   -1.8117e-06     0.083395
_SET1_   2326       1  171217610  171255113     78      12  1000    -0.067476      0.51735   -1.8117e-06    -0.067474
_SET1_   4653       1  171604557  171621773     60       8  1000      0.34945      0.35693   -1.8117e-06      0.34945
_SET1_   6004       1  182567758  182573548      4       1  1000      0.83152      0.20131   -1.8117e-06      0.83152
_SET1_   51377      1  192981496  193029237     20       2  1000     -0.25823      0.59244   -1.8117e-06     -0.25823
_SET1_   2331       1  203309749  203320557     29       7  1000      0.18049      0.41691   -1.8117e-06      0.18049
_SET1_   3776       1  215178885  215410436    579      25  1000       1.1947      0.11233   -1.8117e-06       1.1947
_SET1_   2104       1  216676588  217311097   1733     131  1000       1.8616     0.036387   -1.8117e-06       1.8616
_SET1_   6262       1  237205510  237997288   2366     176  1000       1.6307     0.058838   -1.8117e-06       1.6307
_SET1_   7173       2    1417233    1547445    659      37  1000       2.6243    0.0042246   -1.8117e-06       2.6243
_SET1_   4613       2   16080683   16087129      5       2  1000       1.9768     0.023295   -1.8117e-06       1.9768
_SET1_   678        2   43449541   43453745      5       2  1000     -0.52432      0.69268   -1.8117e-06     -0.52431
_SET1_   6711       2   54683454   54898583    521      20  1000      -0.6075       0.7183   -1.8117e-06      -0.6075
_SET1_   7849       2  113973574  114036527    189      20  1000        1.276      0.09937   -1.8117e-06        1.276
_SET1_   53353      2  140988996  142889270   5562     194  1000     -0.77215      0.79669   -1.8117e-06     -0.77214
_SET1_   4703       2  152341853  152591001    317      24  1000      0.88282      0.18483   -1.8117e-06      0.88282
_SET1_   22925      2  160788523  160919126    362      24  1000     -0.11557      0.54086   -1.8117e-06     -0.11556
_SET1_   2888       2  165349323  165478360    180      23  1000       1.0652      0.14145   -1.8117e-06       1.0652
_SET1_   4036       2  169983619  170219123    536      54  1000    0.0053329      0.50775   -1.8117e-06    0.0053347
_SET1_   79901      2  172378757  172414643    104      16  1000       1.6475     0.048872   -1.8117e-06       1.6475
_SET1_   7035       2  188328957  188419219    122      16  1000      -1.3861      0.91515   -1.8117e-06      -1.3861
_SET1_   316        2  201450731  201536218    237      28  1000     -0.27012      0.60712   -1.8117e-06     -0.27012
_SET1_   3667       2  227596033  227664545    133       9  1000     -0.97934       0.8214   -1.8117e-06     -0.97934
_SET1_   57007      2  237469424  237491001     22       5  1000      0.26044      0.38457   -1.8117e-06      0.26044
_SET1_   3708       3    4535032    4889524    974     129  1000     -0.92584      0.84535   -1.8117e-06     -0.92584
_SET1_   9467       3   15295860   15382901    238      45  1000    -0.066196        0.534   -1.8117e-06    -0.066195
_SET1_   4057       3   46477496   46506598    113      13  1000     -0.11393      0.53624   -1.8117e-06     -0.11393
_SET1_   1776       3   58178353   58196730     50       8  1000       2.2816      0.01085   -1.8117e-06       2.2816
_SET1_   2042       3   89156674   89531284    568      20  1000       1.0133      0.14854   -1.8117e-06       1.0133
_SET1_   3081       3  120347015  120401418    157      24  1000     -0.74956       0.7719   -1.8117e-06     -0.74955
_SET1_   9934       3  150929905  150996996    142      14  1000       1.3829     0.081759   -1.8117e-06       1.3829
_SET1_   23007      3  155197670  155462878    620      22  1000     -0.40605      0.64534   -1.8117e-06     -0.40605
_SET1_   7881       3  155838337  156256927    793      57  1000     -0.79049      0.79004   -1.8117e-06     -0.79048
_SET1_   8743       3  172223298  172241297     60       8  1000       0.1877      0.41916   -1.8117e-06       0.1877
_SET1_   347        3  195295573  195311076     54      11  1000    -0.099266      0.53253   -1.8117e-06    -0.099264
_SET1_   7466       4    6271577    6304992    143       7  1000     -0.25184       0.5893   -1.8117e-06     -0.25184
_SET1_   8842       4   15969849   16085723    318      46  1000      0.22875      0.41534   -1.8117e-06      0.22875
_SET1_   9079       4   16503164   16900424    806      85  1000       1.0185      0.16764   -1.8117e-06       1.0185
_SET1_   3815       4   55524095   55606881    169      21  1000     -0.05965      0.52045   -1.8117e-06    -0.059648
_SET1_   8671       4   72053003   72437804    643      37  1000    -0.085398      0.52422   -1.8117e-06    -0.085396
_SET1_   124        4  100197523  100212185     24       5  1000     -0.16744      0.55945   -1.8117e-06     -0.16744
_SET1_   125        4  100227527  100242572     18       4  1000     0.027263      0.48313   -1.8117e-06     0.027265
_SET1_   51705      4  101316498  101439250    271      16  1000     -0.47061      0.67232   -1.8117e-06      -0.4706
_SET1_   8470       4  186506598  186877870   1413     133  1000      0.92345      0.19884   -1.8117e-06      0.92345
_SET1_   79844      5     795720     859088    186      16  1000      0.28427      0.37316   -1.8117e-06      0.28427
_SET1_   3977       5   38475065   38595507    138      12  1000    -0.071027      0.51987   -1.8117e-06    -0.071025
_SET1_   2690       5   42423577   42721980    484      27  1000     -0.28949      0.60675   -1.8117e-06     -0.28948
