# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 4.69883e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   81888      1   43916674   43919938      3       1  1000     -0.34599       0.6228   -3.8852e-06     -0.34599
_SET1_   51179      1  119911399  119936753     52       8  1000       1.3621     0.084391   -3.8852e-06       1.3621
_SET1_   4190       2   63815743   63834331     28       3  1000       2.1513     0.014768   -3.8852e-06       2.1513
_SET1_   10797      2   74425690   74442425     28       6  1000      0.39143      0.34098   -3.8852e-06      0.39144
_SET1_   132158     3   52321836   52329272      8       2  1000     0.020477      0.48773   -3.8852e-06     0.020481
_SET1_   441024     4   74989019   75168816    225      16  1000        1.615     0.053297   -3.8852e-06        1.615
_SET1_   25902      6  151186815  151423023    778      61  1000     -0.78911      0.79045   -3.8852e-06      -0.7891
_SET1_   4191       7   75677182   75696826     41       4  1000       1.5253     0.061006   -3.8852e-06       1.5253
_SET1_   48         9   32384601   32450834    148      23  1000      0.27694      0.38805   -3.8852e-06      0.27694
_SET1_   9380       9   37422693   37436990     21       6  1000      0.47285      0.31555   -3.8852e-06      0.47285
_SET1_   1431      12   56665483   56694175     15       6  1000      0.95648      0.17068   -3.8852e-06      0.95648
_SET1_   4522      14   64854754   64926725    156      21  1000       1.4599     0.072752   -3.8852e-06       1.4599
_SET1_   283871    16    2261603    2264822      8       2  1000       2.1403     0.014917   -3.8852e-06       2.1403
_SET1_   125061    17   76183398   76203782     90      17  1000        1.008      0.15757   -3.8852e-06        1.008
_SET1_   54363     20    7863631    7921093    123      17  1000      0.30402      0.38065   -3.8852e-06      0.30402
_SET1_   50        22   41865099   41924993     52       8  1000       2.2308     0.012855   -3.8852e-06       2.2308

# _SET2_  VARIABLE = REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS (set)
# _SET2_  NGENES = 4
# _SET2_  P-VALUE = 2.797e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   1385      2  208394616  208470284     79       6  1000      0.35539      0.35699   -3.8852e-06      0.35539
_SET2_   5468      3   12329349   12475855    286      18  1000       0.7361      0.22602   -3.8852e-06      0.73611
_SET2_   4208      5   88014058   88199922    210      15  1000       1.9245     0.025367   -3.8852e-06       1.9245
_SET2_   54715    16    5289469    7763342  12275     554  1000       4.9734   4.5878e-07   -3.8852e-06       4.9734
