# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIAO_METASTASIS (set)
# _SET1_  NGENES = 500
# _SET1_  P-VALUE = 4.40107e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608      4       2  1000     -0.34155      0.62673    1.4488e-06     -0.34155
_SET1_   375790        1     955503     991499    104      11  1000      -1.0954      0.85786    1.4488e-06      -1.0954
_SET1_   126789        1    1243962    1247057      2       1  1000       1.1323      0.12856    1.4488e-06       1.1323
_SET1_   127281        1    2517899    2522908      6       2  1000    -0.087034      0.51939    1.4488e-06    -0.087036
_SET1_   199953        1    9648932    9674935     29       4  1000    -0.054765      0.51293    1.4488e-06    -0.054767
_SET1_   57085         1   11796142   11810828     33       6  1000      0.78946      0.20365    1.4488e-06      0.78946
_SET1_   54751         1   16083107   16113089     43       5  1000       2.0065     0.019671    1.4488e-06       2.0065
_SET1_   26099         1   16693525   16724643     23       5  1000      0.18746      0.41443    1.4488e-06      0.18746
_SET1_   23400         1   17312453   17338467     33       4  1000     -0.23421      0.57006    1.4488e-06     -0.23421
_SET1_   55920         1   17733251   17766250     49       5  1000       1.5735     0.051259    1.4488e-06       1.5735
_SET1_   23065         1   19542158   19578053     68       7  1000       1.5104     0.061097    1.4488e-06       1.5104
_SET1_   51154         1   19578075   19586622     35       5  1000      0.08946       0.4529    1.4488e-06     0.089459
_SET1_   255104        1   20008706   20126424    298      36  1000     -0.39586      0.65676    1.4488e-06     -0.39586
_SET1_   23252         1   20208356   20239438     44       8  1000     -0.21848       0.5772    1.4488e-06     -0.21848
_SET1_   1650          1   20978260   20988037     24       4  1000      0.63326        0.249    1.4488e-06      0.63326
_SET1_   84196         1   22004791   22109688    142      15  1000      0.84215      0.19335    1.4488e-06      0.84215
_SET1_   7798          1   23410516   23504301    131      12  1000     -0.24871      0.58511    1.4488e-06     -0.24871
_SET1_   11123         1   24828841   24863510     98      12  1000      0.83627      0.19489    1.4488e-06      0.83627
_SET1_   399474        1   29445937   29450421      8       2  1000     -0.33044      0.62695    1.4488e-06     -0.33044
_SET1_   51538         1   31769832   31838569    150       9  1000    -0.032377      0.48994    1.4488e-06    -0.032378
_SET1_   347735        1   31882412   31907527     71       9  1000     -0.05475      0.50599    1.4488e-06    -0.054751
_SET1_   3065          1   32757708   32799227     22       2  1000       1.1382      0.11114    1.4488e-06       1.1382
_SET1_   57648         1   33207492   33240571     34       7  1000      -0.7987      0.78085    1.4488e-06      -0.7987
_SET1_   8565          1   33240840   33283633     58       5  1000     -0.93835      0.81397    1.4488e-06     -0.93836
_SET1_   64769         1   37955561   37980420     53       9  1000      -1.1297      0.86569    1.4488e-06      -1.1297
_SET1_   100132074     1   41827328   41849263     48       8  1000       1.8989       0.0264    1.4488e-06       1.8989
_SET1_   6513          1   43391046   43424847    114      14  1000       1.0863      0.13561    1.4488e-06       1.0863
_SET1_   8438          1   46713367   46744145     19       5  1000     -0.18203      0.56391    1.4488e-06     -0.18203
_SET1_   8569          1   47023079   47069966     54       6  1000       1.1788      0.11007    1.4488e-06       1.1788
_SET1_   10158         1   47649261   47655771     14       5  1000      -1.5017       0.9357    1.4488e-06      -1.5017
_SET1_   4774          1   61542946   61928460    670      84  1000     -0.31649      0.65622    1.4488e-06      -0.3165
_SET1_   9829          1   65720133   65881552    374      23  1000      -1.5572      0.93408    1.4488e-06      -1.5572
_SET1_   79739         1   84335057   84464850    138       5  1000      0.64373      0.22913    1.4488e-06      0.64372
_SET1_   55283         1   85483765   85514585     42       8  1000    -0.079722      0.52506    1.4488e-06    -0.079723
_SET1_   2634          1   89571815   89591842     47       4  1000      0.91434      0.16528    1.4488e-06      0.91434
_SET1_   8317          1   91966338   91991321     35       6  1000       1.4709     0.066551    1.4488e-06       1.4709
_SET1_   126969        1   95285898   95360803    240      38  1000     -0.89393       0.8202    1.4488e-06     -0.89393
_SET1_   29957         1  108677344  108742980    175      12  1000     -0.52372      0.67861    1.4488e-06     -0.52372
_SET1_   6272          1  109852187  109940563     82       3  1000      0.63701      0.23672    1.4488e-06      0.63701
_SET1_   81839         1  116184574  116240845    182      30  1000      -1.1079       0.8693    1.4488e-06      -1.1079
_SET1_   55356         1  116519119  116612675    133      15  1000       1.5377     0.061028    1.4488e-06       1.5377
_SET1_   3321          1  117117020  117210377     99      17  1000     -0.57968      0.71607    1.4488e-06     -0.57968
_SET1_   5738          1  117452689  117532972    206      22  1000     -0.50183       0.6909    1.4488e-06     -0.50183
_SET1_   27246         1  145610990  145689005     93       6  1000       1.2116     0.099695    1.4488e-06       1.2116
_SET1_   7286          1  151512781  151556059     81      12  1000      0.90572       0.1749    1.4488e-06      0.90571
_SET1_   117145        1  151843342  151882361     60       4  1000       3.0393     0.001014    1.4488e-06       3.0393
_SET1_   9898          1  154192427  154243986     71       8  1000       0.3317      0.35361    1.4488e-06       0.3317
_SET1_   6464          1  154934774  154946959      7       1  1000      0.96559       0.1635    1.4488e-06      0.96559
_SET1_   9181          1  155916431  155953396     36       4  1000      0.19735      0.40778    1.4488e-06      0.19735
_SET1_   23381         1  156219015  156252676     68       6  1000    0.0052753      0.47524    1.4488e-06    0.0052739
