# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON (set)
# _SET1_  NGENES = 153
# _SET1_  P-VALUE = 3.04773e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   157753     8  109791165  109799770      8       2  1000      0.41668      0.32993   -7.1205e-06      0.41669
_SET1_   7201       8  110099653  110131813     69       9  1000       1.0477      0.13543   -7.1205e-06       1.0477
_SET1_   84955      8  110253148  110346486    165       7  1000       1.4095     0.068414   -7.1205e-06       1.4095
_SET1_   56943      8  110346552  110358189     12       3  1000       1.0843      0.12993   -7.1205e-06       1.0843
_SET1_   93035      8  110374706  110543500    322      11  1000     -0.79056      0.76126   -7.1205e-06     -0.79055
_SET1_   9166       8  110551929  110578225     25       6  1000      0.10731      0.44469   -7.1205e-06      0.10732
_SET1_   55638      8  110586405  110704020    265      19  1000     0.058651      0.46308   -7.1205e-06     0.058658
_SET1_   27012      8  110979233  110987963      9       3  1000      0.55387      0.28887   -7.1205e-06      0.55388
_SET1_   114788     8  113235157  114449242   2083      42  1000      0.68925      0.22181   -7.1205e-06      0.68925
_SET1_   7227       8  116420724  116713299    392      22  1000       2.1982     0.011811   -7.1205e-06       2.1982
_SET1_   8667       8  117657055  117768258    169      13  1000       1.6208     0.047679   -7.1205e-06       1.6208
_SET1_   84294      8  117778742  117792449     24       5  1000       1.1762      0.11407   -7.1205e-06       1.1762
_SET1_   5885       8  117858173  117887105     49       7  1000       1.9417     0.024001   -7.1205e-06       1.9417
_SET1_   441376     8  117950464  117956239      8       2  1000     0.034577      0.47211   -7.1205e-06     0.034584
_SET1_   169026     8  117962512  118188953    361      22  1000      0.42636      0.31776   -7.1205e-06      0.42637
_SET1_   90390      8  118532532  118552510     30       5  1000       1.2764     0.092276   -7.1205e-06       1.2764
_SET1_   2131       8  118811602  119124058    635      43  1000       2.2546     0.011032   -7.1205e-06       2.2546
_SET1_   401474     8  119201694  119634184   1037      65  1000      0.94989      0.16655   -7.1205e-06       0.9499
_SET1_   4982       8  119935796  119964383     96      13  1000      0.53996      0.27884   -7.1205e-06      0.53997
_SET1_   10584      8  119964527  120119207    450      21  1000     -0.90254      0.80154   -7.1205e-06     -0.90253
_SET1_   114569     8  120220610  120257913     49       9  1000      0.49132      0.29992   -7.1205e-06      0.49133
_SET1_   4856       8  120428552  120436678     45       3  1000      0.35998       0.3431   -7.1205e-06      0.35999
_SET1_   5168       8  120569317  120685644    207      24  1000     -0.54879      0.69386   -7.1205e-06     -0.54879
_SET1_   6873       8  120743014  120845074    212      14  1000        1.665     0.042161   -7.1205e-06        1.665
_SET1_   79075      8  120846181  120868170     70       9  1000       1.3242     0.084656   -7.1205e-06       1.3242
_SET1_   64798      8  120885900  121063157    624      21  1000      0.39388      0.32086   -7.1205e-06      0.39389
_SET1_   7373       8  121137347  121384273    453      33  1000     -0.80031      0.77243   -7.1205e-06     -0.80031
_SET1_   28998      8  121408083  121457647     47       4  1000     -0.79038      0.76846   -7.1205e-06     -0.79037
_SET1_   27085      8  121457638  121535875    144       5  1000     -0.71239      0.73894   -7.1205e-06     -0.71239
_SET1_   6641       8  121547985  121825599    722      46  1000       1.9717     0.022932   -7.1205e-06       1.9717
_SET1_   3037       8  122624356  122653675     60       6  1000      0.40254       0.3238   -7.1205e-06      0.40255
_SET1_   22882      8  123792510  123986755    348      62  1000     -0.52174      0.69835   -7.1205e-06     -0.52173
_SET1_   79139      8  124025404  124054663     46       7  1000      0.40868      0.32394   -7.1205e-06      0.40869
_SET1_   93594      8  124084920  124164393    160      16  1000       2.2526      0.01057   -7.1205e-06       2.2526
_SET1_   84985      8  124194752  124222318     54       5  1000       1.3967      0.07436   -7.1205e-06       1.3967
_SET1_   84933      8  124232196  124253656      9       3  1000       2.3788    0.0088657   -7.1205e-06       2.3788
_SET1_   11244      8  124260690  124287781     11       3  1000       2.2338     0.012798   -7.1205e-06       2.2338
_SET1_   29028      8  124332090  124408705     26       7  1000       2.1153     0.016303   -7.1205e-06       2.1153
_SET1_   55093      8  124428965  124454261    153       6  1000      -1.4038      0.90764   -7.1205e-06      -1.4038
_SET1_   114907     8  124510127  124553493     88      20  1000      0.82618      0.19729   -7.1205e-06      0.82618
_SET1_   340359     8  124657743  124666041     39       7  1000     -0.51491      0.68789   -7.1205e-06     -0.51491
_SET1_   312        8  124693034  124749647    158      25  1000      0.17597      0.41438   -7.1205e-06      0.17598
_SET1_   157769     8  124780679  124827692     54       5  1000       2.3011    0.0094804   -7.1205e-06       2.3011
_SET1_   654463     8  124864227  125132412    539      32  1000       1.9335     0.023727   -7.1205e-06       1.9335
_SET1_   157378     8  125323159  125384940     93       9  1000       1.8496     0.029004   -7.1205e-06       1.8496
_SET1_   55039      8  125463048  125465267      5       2  1000       1.6318     0.047142   -7.1205e-06       1.6318
_SET1_   11236      8  125487008  125500859     22       6  1000     -0.45345      0.66692   -7.1205e-06     -0.45345
_SET1_   83940      8  125500735  125551329     93      13  1000      0.78581      0.20456   -7.1205e-06      0.78581
_SET1_   4715       8  125551343  125580751     98      16  1000       1.2761     0.093122   -7.1205e-06       1.2762
_SET1_   9788       8  125563025  125740730    509      57  1000       2.0602     0.019316   -7.1205e-06       2.0602
_SET1_   137209     8  125985539  125991631      6       1  1000       1.0563      0.14683   -7.1205e-06       1.0563
_SET1_   6713       8  126010720  126034525     84       8  1000       1.7894     0.033288   -7.1205e-06       1.7894
_SET1_   9897       8  126036502  126104061    236       9  1000       1.4257     0.071607   -7.1205e-06       1.4257
_SET1_   286053     8  126104083  126379367    455      36  1000       1.1716      0.11529   -7.1205e-06       1.1717
_SET1_   10221      8  126442563  126450647     17       7  1000       1.2743     0.094361   -7.1205e-06       1.2743
_SET1_   157638     8  127564683  127570717      2       1  1000       1.1855      0.11755   -7.1205e-06       1.1855
_SET1_   4609       8  128748315  128753680     11       3  1000      0.21082      0.41723   -7.1205e-06      0.21083
_SET1_   3786       8  133133105  133493004    846      72  1000     -0.20271      0.57865   -7.1205e-06      -0.2027
_SET1_   23639      8  133584201  133687863    122      12  1000        2.437    0.0067691   -7.1205e-06        2.437
_SET1_   137835     8  133722191  133772914    138       9  1000       3.0309   0.00096428   -7.1205e-06       3.0309
_SET1_   51105      8  133787604  133861052     86       6  1000       1.6912     0.038946   -7.1205e-06       1.6912
_SET1_   7038       8  133879149  134147146    812      42  1000       2.4407    0.0063816   -7.1205e-06       2.4407
_SET1_   6503       8  134048973  134115604    262      14  1000      0.26423      0.36985   -7.1205e-06      0.26424
_SET1_   8840       8  134203282  134243933    105      21  1000      -1.0451      0.84127   -7.1205e-06      -1.0451
_SET1_   10397      8  134249414  134309835    164      26  1000       1.0174      0.14627   -7.1205e-06       1.0174
_SET1_   6482       8  134467091  134584697    370      57  1000      0.73561      0.23046   -7.1205e-06      0.73562
