# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_DN (set)
# _SET1_  NGENES = 79
# _SET1_  P-VALUE = 3.21307e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   79180      1   15736391   15756839     46      12  1000       1.2405      0.10428     -9.95e-07       1.2405
_SET1_   4678       1   46049660   46084578     35       3  1000      -1.1259      0.86311     -9.95e-07      -1.1259
_SET1_   8569       1   47023079   47069966     54       6  1000      0.14163      0.43151     -9.95e-07      0.14164
_SET1_   257        1  110602997  110613322     17       3  1000     -0.91534       0.8134     -9.95e-07     -0.91534
_SET1_   7170       1  154127780  154164611     47       7  1000      0.31642      0.36574     -9.95e-07      0.31643
_SET1_   3645       1  156810665  156828712     14       5  1000      0.98692      0.15924     -9.95e-07      0.98692
_SET1_   5317       1  201252580  201302121    200      17  1000     -0.80977      0.78309     -9.95e-07     -0.80977
_SET1_   7139       1  201328136  201346836     70       9  1000        0.526      0.29101     -9.95e-07        0.526
_SET1_   8497       1  202995649  203047864    142      19  1000       2.8308    0.0021602     -9.95e-07       2.8308
_SET1_   11009      1  207070630  207077484     13       3  1000    -0.091842      0.52848     -9.95e-07    -0.091841
_SET1_   23175      2   11817705   11967535    367      40  1000     -0.15998      0.56211     -9.95e-07     -0.15997
_SET1_   165324     2   24150132   24223701    169      10  1000      -1.1669      0.87094     -9.95e-07      -1.1669
_SET1_   2859       2  241544825  241570676     83      22  1000       1.3804     0.081899     -9.95e-07       1.3804
_SET1_   25994      3   42824400   42846027     27       6  1000    -0.052862      0.51202     -9.95e-07    -0.052861
_SET1_   11188      3   52489524   52527088     12       3  1000       2.7805    0.0025929     -9.95e-07       2.7805
_SET1_   6314       3   63849785   63989240    131      11  1000     -0.35355      0.62657     -9.95e-07     -0.35355
_SET1_   2632       3   81538850   81810950    374      20  1000     -0.18776      0.56225     -9.95e-07     -0.18776
_SET1_   9276       3  139076433  139108522     58       5  1000      0.75717      0.21437     -9.95e-07      0.75718
_SET1_   23324      4    6576902    6624188    122      19  1000      0.66796      0.24553     -9.95e-07      0.66796
_SET1_   27163      4   76831808   76862166    128      11  1000      0.57628      0.27203     -9.95e-07      0.57628
_SET1_   839        4  110609785  110629814     23       4  1000     0.062616      0.46507     -9.95e-07     0.062617
_SET1_   3796       5   61601989   61683011    150      10  1000       1.9668     0.022595     -9.95e-07       1.9668
_SET1_   9456       5   78669647   78809659    291      19  1000      0.65645      0.24645     -9.95e-07      0.65645
_SET1_   9260       5  176910395  176924606     15       4  1000      0.47327      0.31139     -9.95e-07      0.47327
_SET1_   1992       6    2832566    2842283     21       3  1000      0.72075      0.22754     -9.95e-07      0.72075
_SET1_   2651       6   10521542   10629601    289      23  1000        1.082      0.13438     -9.95e-07        1.082
_SET1_   7422       6   43737946   43754224     39      10  1000      0.18955      0.41666     -9.95e-07      0.18955
_SET1_   10268      7   45197367   45223849    166       8  1000       1.3017     0.089788     -9.95e-07       1.3017
_SET1_   1365       7   73183327   73184600      2       1  1000       1.6395     0.049793     -9.95e-07       1.6395
_SET1_   5054       7  100770370  100782547     32       6  1000      0.26038      0.38759     -9.95e-07      0.26038
_SET1_   26136      7  115850547  115898840    134       9  1000      -0.4394      0.65669     -9.95e-07      -0.4394
