# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 4.14259e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   978        1   20915444   20945401    122      18  1000     -0.32532      0.61541   -3.1313e-06     -0.32531
_SET1_   3158       1  120290619  120311555     42       8  1000      -1.1018      0.85769   -3.1313e-06      -1.1018
_SET1_   6504       1  160579891  160617081     67      11  1000     -0.68862      0.74453   -3.1313e-06     -0.68862
_SET1_   2326       1  171217610  171255113     78      12  1000      -0.7788       0.7692   -3.1313e-06     -0.77879
_SET1_   54716      3   45796941   45838039     73      22  1000      -1.2392      0.88881   -3.1313e-06      -1.2392
_SET1_   57699      6   36708549   36807220    301      44  1000    -0.096756      0.53806   -3.1313e-06    -0.096753
_SET1_   4232       7  130126016  130146138     24       4  1000      0.39543      0.33442   -3.1313e-06      0.39543
_SET1_   767        8   61101423   61193954    269      19  1000       1.3562     0.082327   -3.1313e-06       1.3563
_SET1_   9615       9   74729511   74867140    306      22  1000      0.24864      0.38759   -3.1313e-06      0.24864
_SET1_   240       10   45869624   45941569    183      18  1000      0.81069      0.19804   -3.1313e-06      0.81069
_SET1_   7262      11    2949503    2950650      2       1  1000       2.9951    0.0012894   -3.1313e-06       2.9951
_SET1_   56675     11    9002123    9025596     53       6  1000     -0.10889      0.52843   -3.1313e-06     -0.10888
_SET1_   2059      12   15773075   15942510    162      16  1000       1.4751     0.061719   -3.1313e-06       1.4751
_SET1_   57447     14   21484922   21539098    138      38  1000      0.97767      0.16367   -3.1313e-06      0.97768
_SET1_   400451    15   93160678   93199031    103      17  1000       1.5319     0.058515   -3.1313e-06       1.5319
_SET1_   27132     16   89642176   89663654    104      20  1000    -0.047356      0.50647   -3.1313e-06    -0.047353
_SET1_   5055      18   61554939   61571124     76       2  1000       1.5564      0.05318   -3.1313e-06       1.5564
_SET1_   348       19   45409039   45412650      5       2  1000       1.6219     0.050043   -3.1313e-06       1.6219
