# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KYNG_NORMAL_AGING_DN (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 7.23098e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   63967      1   36185819   36235568     36       4  1000      -1.3099      0.89859   -5.6949e-06      -1.3099
_SET1_   92344      1  170501263  170522974     20       4  1000       0.4906      0.30244   -5.6949e-06       0.4906
_SET1_   55540      3   53880577   53899827     51       9  1000     -0.12718      0.54162   -5.6949e-06     -0.12718
_SET1_   3033       4  108910870  108956331     84       3  1000       1.3741     0.077112   -5.6949e-06       1.3741
_SET1_   3295       5  118788138  118878030    212      18  1000        1.677     0.044561   -5.6949e-06        1.677
_SET1_   91937      5  156346293  156390266     49       4  1000      -0.2639      0.58947   -5.6949e-06     -0.26389
_SET1_   114825     5  159502889  159546452     47       5  1000    -0.065876      0.51292   -5.6949e-06     -0.06587
_SET1_   23286      5  167719065  167899308    539      67  1000       1.7285     0.045884   -5.6949e-06       1.7285
_SET1_   8334       6   26124370   26139337     42       7  1000     -0.13789      0.54466   -5.6949e-06     -0.13789
_SET1_   1490       6  132269316  132272518      1       1  1000       1.3957     0.077789   -5.6949e-06       1.3957
_SET1_   3486       7   45951844   45960871     13       4  1000     0.046856      0.47265   -5.6949e-06     0.046862
_SET1_   5728      10   89623195   89728532     48       9  1000       1.4556     0.069725   -5.6949e-06       1.4556
_SET1_   8301      11   85668214   85780923    264      13  1000       1.1179      0.12398   -5.6949e-06       1.1179
_SET1_   57511     13   40229764   40365802    240      12  1000      0.56036       0.2748   -5.6949e-06      0.56037
_SET1_   28984     13   42031542   42045013     28       8  1000       2.1986     0.013325   -5.6949e-06       2.1986
_SET1_   3981      13  108859790  108870716     14       5  1000      0.24456      0.39567   -5.6949e-06      0.24456
_SET1_   4501      16   56716382   56718108      8       2  1000      0.99543      0.15351   -5.6949e-06      0.99544
_SET1_   2531      18   60994971   61034506     75       9  1000      0.41591      0.32867   -5.6949e-06      0.41592
