# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_DEATH_RECEPTOR_SIGNALLING (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 1.67955e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   27237         1    3371147    3397677     69       8  1000     -0.54614      0.69275   -1.4705e-06     -0.54614
_SET1_   57449         1    6526152    6580121    128      22  1000     -0.90862      0.81792   -1.4705e-06     -0.90862
_SET1_   128272        1   16524599   16539104     42       3  1000      0.53678      0.27471   -1.4705e-06      0.53678
_SET1_   55160         1   17846693   18024370    292      28  1000      -1.1178      0.86555   -1.4705e-06      -1.1178
_SET1_   3065          1   32757708   32799227     22       2  1000     -0.20396      0.57183   -1.4705e-06     -0.20396
_SET1_   23421         1   63906441   63988944    169      12  1000     -0.91175      0.80398   -1.4705e-06     -0.91175
_SET1_   10451         1  108113782  108507545   1048      63  1000      0.59189      0.28662   -1.4705e-06       0.5919
_SET1_   4803          1  115828537  115880857    125      21  1000        1.105      0.13355   -1.4705e-06        1.105
_SET1_   56957         1  149912229  149982686     33       5  1000      0.21025      0.40202   -1.4705e-06      0.21025
_SET1_   51107         1  150237799  150241609      1       1  1000       2.8713     0.002196   -1.4705e-06       2.8713
_SET1_   9181          1  155916431  155953396     36       4  1000      0.84619      0.18557   -1.4705e-06      0.84619
_SET1_   9826          1  156904632  157015512    153       8  1000      0.28121      0.36187   -1.4705e-06      0.28121
_SET1_   23385         1  160313063  160328742     28       8  1000     -0.25059      0.59319   -1.4705e-06     -0.25059
_SET1_   27005         1  161129248  161135516      1       1  1000      0.44122       0.3382   -1.4705e-06      0.44123
_SET1_   356           1  172628185  172636013      7       3  1000      0.77333      0.21736   -1.4705e-06      0.77333
_SET1_   5664          1  227057885  227083804     84      10  1000      -1.1859      0.87415   -1.4705e-06      -1.1859
_SET1_   84033         1  228395740  228566577    425      19  1000     -0.71966      0.74256   -1.4705e-06     -0.71966
_SET1_   6868          2    9629392    9695917    165      14  1000      -1.0745      0.84825   -1.4705e-06      -1.0745
_SET1_   100271715     2   39146504   39202590     72       9  1000     -0.52326      0.68598   -1.4705e-06     -0.52326
_SET1_   6654          2   39208690   39347686    248      10  1000     -0.10046        0.508   -1.4705e-06     -0.10045
_SET1_   57142         2   55199325   55307770    282      19  1000     -0.63334       0.7212   -1.4705e-06     -0.63334
_SET1_   6233          2   55459039   55462989      7       3  1000      0.43974      0.32735   -1.4705e-06      0.43974
_SET1_   10018         2  111878491  111926022     59       7  1000     -0.54867      0.69297   -1.4705e-06     -0.54867
_SET1_   50649         2  131594489  131804826    478      43  1000       1.9473     0.026834   -1.4705e-06       1.9473
_SET1_   8837          2  201980877  202037411     70       5  1000      0.33869      0.34409   -1.4705e-06      0.33869
_SET1_   843           2  202047621  202094129     36       5  1000       1.4042     0.074191   -1.4705e-06       1.4042
_SET1_   841           2  202098166  202152434    119      18  1000      0.51799      0.29688   -1.4705e-06      0.51799
_SET1_   25791         2  233743396  233877951    505      37  1000     -0.14662      0.55498   -1.4705e-06     -0.14661
_SET1_   4615          3   38179969   38184513      2       1  1000     -0.20135      0.58084   -1.4705e-06     -0.20134
_SET1_   7375          3   49314577   49377536     54       6  1000      0.82905      0.19037   -1.4705e-06      0.82905
