# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES (set)
# _SET1_  NGENES = 55
# _SET1_  P-VALUE = 4.66775e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   63976      1    2985565    3355185   1283     151  1000     -0.28163      0.64139   -3.4917e-06     -0.28163
_SET1_   5928       1   33116749   33151812     84       5  1000       1.1761      0.11905   -3.4917e-06       1.1761
_SET1_   9869       1  150898815  150937389     34       3  1000       1.4337     0.071429   -3.4917e-06       1.4337
_SET1_   55870      1  155305052  155532324     89       6  1000      0.43214      0.32389   -3.4917e-06      0.43214
_SET1_   5929       1  205055270  205091150     88      10  1000       1.5663     0.056554   -3.4917e-06       1.5663
_SET1_   56950      1  214454565  214510477    158      17  1000      0.24791      0.39708   -3.4917e-06      0.24791
_SET1_   64754      1  245912642  246670644   3064      96  1000       1.1476        0.138   -3.4917e-06       1.1476
_SET1_   84661      2   32245856   32264890     20       3  1000      0.86999      0.18584   -3.4917e-06         0.87
_SET1_   29072      3   47057898   47205467    140       7  1000     -0.20544      0.57028   -3.4917e-06     -0.20544
_SET1_   2122       3  168801287  169381563   1392      97  1000       -1.342      0.91987   -3.4917e-06       -1.342
_SET1_   7468       4    1873123    1983934     62       8  1000      0.24836      0.40306   -3.4917e-06      0.24837
_SET1_   4790       4  103422486  103538459    171       8  1000      0.21431      0.40373   -3.4917e-06      0.21431
_SET1_   80854      4  140427192  140477577     76      11  1000       0.3339      0.36263   -3.4917e-06       0.3339
_SET1_   56979      5   23507724   23528706     22       5  1000     -0.64572      0.73922   -3.4917e-06     -0.64572
_SET1_   64324      5  176560026  176727214    203      17  1000      0.07069      0.46979   -3.4917e-06     0.070693
_SET1_   8359       6   26021907   26022278      1       1  1000     -0.17187        0.567   -3.4917e-06     -0.17187
_SET1_   8366       6   26027124   26027480      2       1  1000     -0.35732      0.62827   -3.4917e-06     -0.35732
_SET1_   8358       6   26031817   26032288      1       1  1000      0.57056       0.2763   -3.4917e-06      0.57057
_SET1_   8352       6   26045639   26046097      3       2  1000     -0.32666      0.62333   -3.4917e-06     -0.32666
_SET1_   8364       6   26104176   26104565      2       1  1000       1.1451      0.12112   -3.4917e-06       1.1451
_SET1_   8351       6   26196982   26199521     11       3  1000       1.9276     0.025948   -3.4917e-06       1.9276
_SET1_   8367       6   26204873   26205249      1       1  1000       2.0354      0.02111   -3.4917e-06       2.0355
_SET1_   8361       6   26240654   26241021      1       1  1000       2.2638      0.01197   -3.4917e-06       2.2638
_SET1_   8365       6   26281278   26285844     10       3  1000      0.71635      0.22942   -3.4917e-06      0.71636
_SET1_   8294       6   27106924   27108258      1       1  1000      0.37356        0.357   -3.4917e-06      0.37356
_SET1_   8354       6   27839623   27840099      1       1  1000       0.5635       0.2831   -3.4917e-06       0.5635
_SET1_   8356       6   27858093   27858570      1       1  1000     0.019702       0.4883   -3.4917e-06     0.019706
_SET1_   10919      6   31847536   31865464     24       7  1000      0.37609      0.34834   -3.4917e-06      0.37609
_SET1_   55904      7  104654637  104754532    109       5  1000      0.72249      0.22749   -3.4917e-06       0.7225
