# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_NEUREXINS_AND_NEUROLIGINS (set)
# _SET1_  NGENES = 51
# _SET1_  P-VALUE = 4.45202e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2035       1   29213603   29446558    333      16  1000       1.5895     0.054402    3.6872e-07       1.5895
_SET1_   58512      1   35331037   35391083     75      19  1000      0.52391      0.30613    3.6872e-07      0.52391
_SET1_   127833     1  202559724  202679551    250      34  1000      -0.3924      0.66653    3.6872e-07      -0.3924
_SET1_   9378       2   50145643   51259674   2918     111  1000      0.19418      0.47336    3.6872e-07      0.19418
_SET1_   80059      2   76974849   77749502   2521      77  1000      0.51653      0.32325    3.6872e-07      0.51653
_SET1_   347730     2   80515481   80531718     22       5  1000      -1.9238      0.97144    3.6872e-07      -1.9238
_SET1_   57669      2  120770604  120936697    194       6  1000       2.0228     0.019418    3.6872e-07       2.0228
_SET1_   22871      3  173115570  174004434   1953     107  1000       1.6362      0.06529    3.6872e-07       1.6362
_SET1_   10611      4   95373008   95589378    472      24  1000      0.78816      0.21473    3.6872e-07      0.78816
_SET1_   9456       5   78669647   78809659    291      19  1000       1.8392     0.032711    3.6872e-07       1.8392
_SET1_   26045      5  138205079  138211057      4       1  1000       1.6741     0.043104    3.6872e-07       1.6741
_SET1_   2037       6  131160487  131384462    589      26  1000       1.1884       0.1171    3.6872e-07       1.1884
_SET1_   2911       6  146286032  146758782    553      27  1000      -0.8478       0.8027    3.6872e-07      -0.8478
_SET1_   28988      7   44084239   44101315     38       4  1000      0.38499      0.33835    3.6872e-07      0.38499
_SET1_   6804       7   73113535   73134032     26       6  1000      0.49538      0.30407    3.6872e-07      0.49538
_SET1_   9228       8     877021    1656642   2624     130  1000     0.065093       0.5302    3.6872e-07     0.065093
_SET1_   81858      8  145153536  145159140      5       1  1000     -0.76057      0.76522    3.6872e-07     -0.76057
_SET1_   320        9   72042448   72287275    510      26  1000      0.70474       0.2413    3.6872e-07      0.70473
_SET1_   6812       9  130374486  130454995     67       9  1000      -1.7709       0.9608    3.6872e-07      -1.7709
_SET1_   2902       9  140033609  140063214     40       7  1000     -0.22766      0.58313    3.6872e-07     -0.22766
_SET1_   347731    10   68685792   68861309    397      30  1000      0.88309      0.19346    3.6872e-07      0.88309
_SET1_   143425    11    7273181    7490276    700      61  1000     -0.72895      0.78929    3.6872e-07     -0.72895
_SET1_   55327     11   27515965   27528326     16       4  1000     -0.85645      0.79774    3.6872e-07     -0.85645
_SET1_   9066      11   61281188   61348523     44      11  1000       -1.145      0.87531    3.6872e-07       -1.145
_SET1_   9379      11   64373646   64490660    138      10  1000      -0.6281      0.72918    3.6872e-07      -0.6281
_SET1_   91683     11   66790190   66818334     28       5  1000       1.5806     0.055298    3.6872e-07       1.5806
_SET1_   22941     11   70313961   70935808   1355     103  1000      0.35824      0.41223    3.6872e-07      0.35824
_SET1_   1740      11   83166055   85338314   3987     162  1000       1.1643      0.15324    3.6872e-07       1.1643
_SET1_   2915      11   88237256   88796846   1615      42  1000       1.4958     0.066383    3.6872e-07       1.4958
_SET1_   2904      12   13713684   14133022    986      73  1000     -0.57616      0.74688    3.6872e-07     -0.57616
_SET1_   341359    12   33528348   33592754    179      15  1000      0.22672      0.40745    3.6872e-07      0.22672
_SET1_   6857      12   79257773   79845788   1130      54  1000      0.38596      0.36543    3.6872e-07      0.38596
_SET1_   8825      12   81191171   81331702    361      23  1000       1.7834     0.037563    3.6872e-07       1.7834
_SET1_   26037     14   71788108   72207761    314      11  1000       1.3822     0.078668    3.6872e-07       1.3822
_SET1_   9369      14   78636716   80334633   3266     184  1000     0.092627      0.52151    3.6872e-07     0.092626
_SET1_   57596     14  101003484  101036131     67       9  1000      0.10467      0.45216    3.6872e-07      0.10467
_SET1_   321       15   29211570   29410518    628      32  1000     -0.12063      0.55508    3.6872e-07     -0.12063
_SET1_   9455      15   83517729   83654905    174      19  1000       1.3345     0.091664    3.6872e-07       1.3345
_SET1_   2903      16    9847265   10276611   1425      42  1000     -0.56939      0.71512    3.6872e-07     -0.56939
_SET1_   1742      17    7093209    7123369     34       7  1000       0.2595       0.3918    3.6872e-07       0.2595
_SET1_   57555     17    7311502    7323183     19       7  1000     -0.12169      0.54526    3.6872e-07     -0.12169
_SET1_   2905      17   72838162   72856966     34       2  1000      0.46305      0.30432    3.6872e-07      0.46305
_SET1_   9229      18    3496030    4455310   2936     270  1000     -0.35295      0.69385    3.6872e-07     -0.35295
_SET1_   23136     18    5392380    5630662    551      52  1000     -0.17027      0.59243    3.6872e-07     -0.17027
_SET1_   9546      19    3750771    3761673     25       5  1000      0.17517      0.42117    3.6872e-07      0.17517
_SET1_   9454      19   19040010   19052041     18       5  1000      0.29831      0.37529    3.6872e-07      0.29831
_SET1_   2906      19   48898132   48948188     79      16  1000       1.9085     0.028727    3.6872e-07       1.9085
_SET1_   64130     19   49617618   49621717     15       2  1000     -0.66278      0.73279    3.6872e-07     -0.66279
_SET1_   50944     19   51163052   51220195    116      26  1000      0.47152      0.32952    3.6872e-07      0.47152
_SET1_   2036      20   34679426   34820721    131      16  1000     -0.38883      0.65342    3.6872e-07     -0.38883
_SET1_   22839     20   34995444   35157040    137      15  1000      0.67474       0.2491    3.6872e-07      0.67474
