# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KAAB_FAILED_HEART_VENTRICLE_DN (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 5.05503e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9636       1     948847     949920      5       2  1000      0.07171      0.46466   -5.3904e-06     0.071715
_SET1_   713        1   22979682   22988130     26       6  1000       2.0615      0.01777   -5.3904e-06       2.0615
_SET1_   8547       1   27695601   27701315      7       3  1000       2.1787     0.013703   -5.3904e-06       2.1787
_SET1_   2207       1  161185087  161189038      5       3  1000     0.098392      0.45065   -5.3904e-06     0.098397
_SET1_   112714     2  130949318  130956034     12       2  1000      0.10155      0.44349   -5.3904e-06      0.10156
_SET1_   10058      2  220074488  220083712      3       1  1000     -0.30149      0.61412   -5.3904e-06     -0.30148
_SET1_   929        5  140011313  140013286      3       1  1000       1.8062     0.033403   -5.3904e-06       1.8062
_SET1_   1992       6    2832566    2842283     21       3  1000     -0.57295      0.70135   -5.3904e-06     -0.57295
_SET1_   4835       6    3000067    3019997     95      13  1000      0.92531        0.166   -5.3904e-06      0.92531
_SET1_   2162       6    6144311    6320924    567      74  1000      0.33617      0.36406   -5.3904e-06      0.33617
_SET1_   262        6  111135823  111216916     40       7  1000       1.0041       0.1494   -5.3904e-06       1.0041
_SET1_   3459       6  137518621  137540981     35       5  1000     -0.34766      0.62293   -5.3904e-06     -0.34766
_SET1_   7784       7   76026841   76071388    176      21  1000      0.20655      0.40028   -5.3904e-06      0.20656
_SET1_   23516      8   22224762   22291642    230      15  1000     -0.97615      0.82149   -5.3904e-06     -0.97615
_SET1_   9791       8   97274167   97346774    116      16  1000       0.1415      0.42511   -5.3904e-06       0.1415
_SET1_   1318       9  115913238  115926422     60      10  1000     -0.43963      0.65278   -5.3904e-06     -0.43962
_SET1_   10581     11     308095     309410      8       2  1000       2.4987    0.0056371   -5.3904e-06       2.4987
_SET1_   10410     11     319673     320914      4       2  1000       1.9005     0.026813   -5.3904e-06       1.9005
_SET1_   3939      11   18415936   18429765     43       3  1000     -0.59006       0.7062   -5.3904e-06     -0.59006
_SET1_   1466      12   77252495   77272814     41       6  1000       1.2901     0.090209   -5.3904e-06       1.2901
_SET1_   488       12  110719032  110788898     43       6  1000     -0.71872      0.75124   -5.3904e-06     -0.71871
_SET1_   7278      13   19747910   19755992     22       5  1000      0.47152      0.30519   -5.3904e-06      0.47152
_SET1_   2971      13   27998681   28009846     31       5  1000      0.78699      0.20276   -5.3904e-06        0.787
_SET1_   8848      13   45006279   45150701    182       9  1000     -0.93191      0.80988   -5.3904e-06      -0.9319
_SET1_   4624      14   23849942   23878836     52      14  1000       1.5049      0.06122   -5.3904e-06       1.5049
_SET1_   5721      14   24612574   24615855      1       1  1000      0.24063       0.3977   -5.3904e-06      0.24064
_SET1_   23002     14   59655329   59838123    344      22  1000       2.5173    0.0051207   -5.3904e-06       2.5173
_SET1_   12        14   95078639   95090395     25       7  1000     -0.40192      0.64134   -5.3904e-06     -0.40191
_SET1_   7453      14  100800125  100842680    104       5  1000     -0.16682      0.54528   -5.3904e-06     -0.16681
_SET1_   5527      14  102226910  102394329    354      32  1000      -1.1363      0.86591   -5.3904e-06      -1.1363
_SET1_   254531    15   34651089   34659397     16       6  1000       1.7982      0.03343   -5.3904e-06       1.7982
_SET1_   28955     16   11022748   11036257     18       6  1000       1.0449      0.13921   -5.3904e-06       1.0449
_SET1_   968       17    7482805    7485429      4       2  1000      0.53437       0.2905   -5.3904e-06      0.53437
_SET1_   6774      17   40465342   40540586     98       6  1000     -0.70776       0.7432   -5.3904e-06     -0.70776
_SET1_   10493     17   41166622   41174459      8       2  1000     0.058587      0.46236   -5.3904e-06     0.058592
_SET1_   516       17   46970148   46973233      6       2  1000      0.36718      0.34432   -5.3904e-06      0.36718
_SET1_   4831      17   49242796   49249105     10       3  1000      0.29106      0.37356   -5.3904e-06      0.29107
_SET1_   10430     19   36036502   36038429      3       2  1000     -0.39338      0.64499   -5.3904e-06     -0.39338
