# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_CA2_PATHWAY (set)
# _SET1_  NGENES = 60
# _SET1_  P-VALUE = 7.40064e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782       1    1716725    1822552    112      10  1000      0.21417        0.396   -1.3286e-06      0.21417
_SET1_   192670     1   36273231   36323491     32       5  1000       1.6228     0.051269   -1.3286e-06       1.6228
_SET1_   26523      1   36335412   36395211     47       6  1000        1.046      0.14516   -1.3286e-06        1.046
_SET1_   192669     1   36396364   36522360    100      10  1000      0.99317       0.1564   -1.3286e-06      0.99317
_SET1_   55970      1   68167149   68299436    245      26  1000    -0.055401       0.5111   -1.3286e-06      -0.0554
_SET1_   2787       1   84964006   84972262     15       4  1000      0.90612      0.17977   -1.3286e-06      0.90612
_SET1_   2780       1  110145889  110155705     14       4  1000      0.23488      0.39896   -1.3286e-06      0.23488
_SET1_   4343       1  113217048  113243368     38       5  1000    -0.080367      0.51373   -1.3286e-06    -0.080366
_SET1_   2786       1  235710985  235814054    316      28  1000       1.6813     0.042854   -1.3286e-06       1.6813
_SET1_   5534       2   68405979   68483392    136       7  1000      0.83077      0.18416   -1.3286e-06      0.83077
_SET1_   83439      2   85360583   85537511    385      47  1000       2.0911     0.018381   -1.3286e-06       2.0911
_SET1_   7855       2  208627310  208634143      4       2  1000       1.5236     0.062798   -1.3286e-06       1.5236
_SET1_   3708       3    4535032    4889524    974     129  1000       2.1954     0.019215   -1.3286e-06       2.1954
_SET1_   1499       3   41236401   41281939     34       2  1000      0.92297      0.16247   -1.3286e-06      0.92297
_SET1_   7474       3   55499743   55521670     29       6  1000     -0.46975      0.66594   -1.3286e-06     -0.46975
_SET1_   59345      3  179113876  179169371     96      14  1000     -0.79899       0.7762   -1.3286e-06     -0.79899
_SET1_   5158       4     619363     664681     72       4  1000       1.3919     0.075879   -1.3286e-06       1.3919
_SET1_   5593       4   82008643   82136271    323      20  1000      -1.2153      0.88317   -1.3286e-06      -1.2153
_SET1_   5530       4  101944587  102268655    590      34  1000     -0.35698      0.63183   -1.3286e-06     -0.35698
_SET1_   51176      4  108968701  109090112    170      14  1000      0.68052      0.23451   -1.3286e-06      0.68052
_SET1_   6932       5  133450402  133483920     68       8  1000     -0.33019      0.62268   -1.3286e-06     -0.33019
_SET1_   5145       5  149237519  149324356    183      27  1000       1.5255       0.0618   -1.3286e-06       1.5255
_SET1_   815        5  149599054  149669403    140      26  1000       1.5341      0.06068   -1.3286e-06       1.5341
_SET1_   3710       6   33587951   33664351    262      27  1000      0.84766      0.19105   -1.3286e-06      0.84766
_SET1_   6885       6   91223292   91297020    117      12  1000       2.1492     0.014106   -1.3286e-06       2.1492
_SET1_   2792       7   93535820   93540485     12       3  1000     -0.87625      0.80416   -1.3286e-06     -0.87625
_SET1_   2791       7   93551016   93555826     10       4  1000     -0.38471      0.64296   -1.3286e-06     -0.38471
_SET1_   2783       7  100271363  100276792      2       1  1000      0.15275      0.44154   -1.3286e-06      0.15275
_SET1_   7976       8   28351722   28431785    109       2  1000     -0.85798       0.7808   -1.3286e-06     -0.85798
_SET1_   8323       8  104310661  104345094     66       7  1000       0.7797      0.20247   -1.3286e-06       0.7797
