# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KARAKAS_TGFB1_SIGNALING (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 2.98258e-07
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3797     2   26149455   26205443    114      15  1000      0.78974      0.20844   -2.0058e-06      0.78974
_SET1_   5534     2   68405979   68483392    136       7  1000       1.7832     0.033603   -2.0058e-06       1.7832
_SET1_   699      2  111395275  111435684     17       1  1000     -0.65301      0.72435   -2.0058e-06       -0.653
_SET1_   2191     2  163027194  163100045     71       2  1000      -0.4548      0.65243   -2.0058e-06     -0.45479
_SET1_   2335     2  216225177  216300890    207      19  1000        1.536      0.05982   -2.0058e-06        1.536
_SET1_   8452     2  225334867  225450114    225      11  1000      0.79078       0.2024   -2.0058e-06      0.79078
_SET1_   3490     4   57897237   57976551    367      37  1000      0.74944        0.229   -2.0058e-06      0.74944
_SET1_   3600     4  142557749  142655140    130      10  1000     -0.80088      0.77748   -2.0058e-06     -0.80087
_SET1_   4015     5  121398890  121414206     15       3  1000     0.033857      0.46982   -2.0058e-06     0.033859
_SET1_   8581     8  143866298  143868008      5       2  1000       2.5665    0.0046038   -2.0058e-06       2.5665
_SET1_   1474    11   65779462   65780976      2       1  1000       1.6567     0.044769   -2.0058e-06       1.6567
_SET1_   2352    11   71846771   71850934      4       1  1000      0.47314      0.30124   -2.0058e-06      0.47314
_SET1_   5347    16   23690201   23701688     30       4  1000       2.0038     0.020329   -2.0058e-06       2.0038
_SET1_   4313    16   55513081   55540586     81       9  1000       1.2271      0.10363   -2.0058e-06       1.2271
_SET1_   4502    16   56642478   56643409      3       2  1000     -0.32022      0.61279   -2.0058e-06     -0.32022
_SET1_   672     17   41196312   41277500    142       4  1000      0.22213      0.38875   -2.0058e-06      0.22213
_SET1_   332     17   76210277   76221716     55       6  1000      0.28572      0.37236   -2.0058e-06      0.28572
_SET1_   1000    18   25530930   25757445    357      27  1000       1.8437     0.031714   -2.0058e-06       1.8437
