# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BYSTRYKH_HEMATOPOIESIS_STEM_CELL_SCP2_QTL_TRANS (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 4.72279e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10772      1   24292935   24306953      2       1  1000      -0.1541      0.55649   -8.4328e-07      -0.1541
_SET1_   10628      1  145438438  145442635      4       1  1000      0.30948      0.37005   -8.4328e-07      0.30949
_SET1_   55974      1  155107817  155111334      1       1  1000      0.39148       0.3464   -8.4328e-07      0.39148
_SET1_   5087       1  164528597  164821067    600      84  1000      0.52777      0.32739   -8.4328e-07      0.52778
_SET1_   2326       1  171217610  171255113     78      12  1000       1.3073      0.08802   -8.4328e-07       1.3073
_SET1_   4656       1  203052257  203055166      8       2  1000     -0.62068      0.72295   -8.4328e-07     -0.62068
_SET1_   54437      3  122628040  122747452    364      51  1000      0.54782      0.29859   -8.4328e-07      0.54782
_SET1_   6678       5  151040657  151066615     57      10  1000     -0.22487      0.57023   -8.4328e-07     -0.22487
_SET1_   3326       6   44213903   44221625     14       4  1000      0.39247      0.33455   -8.4328e-07      0.39247
_SET1_   6440       8   22014853   22021992     20       8  1000       1.9833     0.022031   -8.4328e-07       1.9833
_SET1_   137814     8   23559964   23564111     11       2  1000     -0.13063      0.53205   -8.4328e-07     -0.13063
_SET1_   57804     11   67118236   67121067      3       1  1000     -0.48802      0.68143   -8.4328e-07     -0.48802
_SET1_   6311      12  111890018  112037480    228      11  1000       1.4025     0.068671   -8.4328e-07       1.4025
_SET1_   540       13   52506805   52586181    122       7  1000      0.27018      0.35831   -8.4328e-07      0.27018
_SET1_   1284      13  110959631  111165374    881      94  1000       1.5133     0.075597   -8.4328e-07       1.5133
_SET1_   7011      14   20833826   20882331    114      27  1000      0.69369      0.24055   -8.4328e-07      0.69369
_SET1_   1511      14   25042724   25045466      7       3  1000      0.93544      0.16759   -8.4328e-07      0.93544
_SET1_   79696     14   75535935   75544799     12       2  1000     -0.14054      0.53262   -8.4328e-07     -0.14054
_SET1_   1775      16    2286253    2288712      4       2  1000       2.7065    0.0032793   -8.4328e-07       2.7065
_SET1_   5709      17   38137021   38154213     55       5  1000       1.7069     0.037203   -8.4328e-07       1.7069
_SET1_   4635      17   45266728   45301045     32       7  1000       0.6953         0.23   -8.4328e-07       0.6953
_SET1_   79665     17   57642886   57685713     43       7  1000     -0.72101      0.75034   -8.4328e-07     -0.72101
_SET1_   1068      18     580369     581524      4       2  1000      -0.3003      0.61115   -8.4328e-07      -0.3003
_SET1_   54760     19    1481427    1490886     17       4  1000       1.4431     0.068468   -8.4328e-07       1.4431
_SET1_   2358      19   52264453   52273779     36       5  1000      0.35624      0.34106   -8.4328e-07      0.35624
_SET1_   3976      22   30636436   30642840      9       3  1000      0.73904      0.21983   -8.4328e-07      0.73904
