# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 3.56906e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7389       1   45477805   45481341      5       2  1000       0.9573      0.17062   -4.0394e-07       0.9573
_SET1_   5498       1  161135832  161148136     10       2  1000      0.57332      0.27848   -4.0394e-07      0.57332
_SET1_   2058       1  220141940  220220000    265      10  1000      0.20102      0.39168   -4.0394e-07      0.20102
_SET1_   54576      2  234526291  234681946    370      19  1000      0.90529      0.16623   -4.0394e-07      0.90529
_SET1_   54575      2  234545123  234681951    345      17  1000      0.89361      0.16864   -4.0394e-07      0.89361
_SET1_   54600      2  234580544  234681951    300      13  1000      0.95064      0.15353   -4.0394e-07      0.95064
_SET1_   54577      2  234590584  234681945    259      13  1000       1.0335      0.13593   -4.0394e-07       1.0335
_SET1_   54578      2  234600321  234681951    218      14  1000       1.1277      0.11819   -4.0394e-07       1.1277
_SET1_   54579      2  234621638  234681945    174      12  1000        1.175      0.10952   -4.0394e-07        1.175
_SET1_   54657      2  234627438  234681945    140      10  1000        1.349     0.080401   -4.0394e-07        1.349
_SET1_   54659      2  234637773  234681945     97       9  1000       1.3437     0.082318   -4.0394e-07       1.3437
_SET1_   54658      2  234668919  234681945     27       6  1000      0.67427      0.24354   -4.0394e-07      0.67428
_SET1_   211        3   52232099   52248343     14       2  1000       1.9236     0.025645   -4.0394e-07       1.9236
_SET1_   1371       3   98296677   98312470     50       9  1000       2.2487     0.011371   -4.0394e-07       2.2487
_SET1_   1356       3  148880197  148939832    127      21  1000       5.4199    3.001e-34   -4.0394e-07       5.4199
_SET1_   7367       4   69402902   69434245     77       7  1000      0.86702       0.1814   -4.0394e-07      0.86702
_SET1_   7366       4   69512315   69536494     79      18  1000       1.4879     0.066161   -4.0394e-07       1.4879
_SET1_   7365       4   69681713   69697741     46       8  1000      0.52524      0.29219   -4.0394e-07      0.52524
_SET1_   79799      4   69794177   69817509     88       8  1000      0.54573       0.2784   -4.0394e-07      0.54573
_SET1_   7364       4   69955190   69978705    111       4  1000     0.030026      0.46061   -4.0394e-07     0.030027
_SET1_   10720      4   70066035   70080449     43       8  1000      -2.2466      0.98694   -4.0394e-07      -2.2466
_SET1_   54490      4   70146217   70160768     47       4  1000     -0.26732      0.58777   -4.0394e-07     -0.26732
_SET1_   7363       4   70345883   70391732    212      11  1000      0.23432      0.38242   -4.0394e-07      0.23432
_SET1_   10941      4   70454135   70518967    297      18  1000     -0.13024      0.52869   -4.0394e-07     -0.13024
_SET1_   644        7   43798272   43846941     75       9  1000       0.3246      0.35824   -4.0394e-07       0.3246
_SET1_   2990       7   65425671   65447301     40       5  1000      0.18287      0.41331   -4.0394e-07      0.18287
_SET1_   210        9  116148592  116163618     30       9  1000      0.59653      0.27035   -4.0394e-07      0.59653
_SET1_   1355      10  101455886  101492423     48       5  1000     -0.23795      0.57913   -4.0394e-07     -0.23795
_SET1_   7390      10  127474091  127511837     59       3  1000      0.39438      0.32632   -4.0394e-07      0.39438
_SET1_   2495      11   61731757   61735132      3       2  1000     -0.35374       0.6455   -4.0394e-07     -0.35374
_SET1_   3145      11  118955587  118964259     18       4  1000       1.8519     0.030513   -4.0394e-07       1.8519
_SET1_   326625    12  109991520  110011358     69       9  1000      0.10291      0.44469   -4.0394e-07      0.10291
_SET1_   3163      16    4524719    4560348     87       5  1000      0.55639      0.27134   -4.0394e-07      0.55639
_SET1_   124454    16   23533334   23568696     71       5  1000      -1.0013      0.83068   -4.0394e-07      -1.0013
_SET1_   1352      17   13972719   14111996    276      25  1000      0.05916      0.46078   -4.0394e-07     0.059161
_SET1_   2235      18   55212073   55253969    101      17  1000    -0.072279      0.51797   -4.0394e-07    -0.072278
_SET1_   645       19   40953691   40971725     53       8  1000      0.97905      0.15569   -4.0394e-07      0.97905
_SET1_   3162      22   35777060   35790207     39       5  1000      0.63775      0.25097   -4.0394e-07      0.63775
