# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = DASU_IL6_SIGNALING_SCAR_UP (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 4.17678e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790     1     955503     991499    104      11  1000       2.3407    0.0082078   -6.5238e-07       2.3407
_SET1_   4052       2   33172221   33624576   1250      65  1000       1.2108      0.11496   -6.5238e-07       1.2108
_SET1_   678        2   43449541   43453745      5       2  1000      0.83398      0.18901   -6.5238e-07      0.83398
_SET1_   3667       2  227596033  227664545    133       9  1000     -0.79854      0.77044   -6.5238e-07     -0.79854
_SET1_   7123       3   45067759   45077563     29       2  1000      0.68613      0.22935   -6.5238e-07      0.68613
_SET1_   25907      3   45265956   45267814      4       1  1000       1.0869      0.12904   -6.5238e-07       1.0869
_SET1_   4311       3  154797436  154901518    179      35  1000       2.1119     0.015106   -6.5238e-07       2.1119
_SET1_   23527      3  194995465  195163817    457      12  1000    -0.016029      0.48992   -6.5238e-07    -0.016028
_SET1_   891        5   68462837   68474072     32       4  1000      -1.3569      0.90297   -6.5238e-07      -1.3569
_SET1_   23367      5  154062224  154197167    119      12  1000    -0.052839      0.49805   -6.5238e-07    -0.052839
_SET1_   4907       6   86159302   86205509     49       7  1000       1.2465     0.095945   -6.5238e-07       1.2465
_SET1_   26002      6  132617194  132722664    246      29  1000      0.12173        0.431   -6.5238e-07      0.12173
_SET1_   5339       8  144989321  145050913    137       6  1000      0.81978      0.18985   -6.5238e-07      0.81978
_SET1_   3371       9  117781854  117880536    265      24  1000       1.0296       0.1393   -6.5238e-07       1.0296
_SET1_   5090       9  128509617  128729656    446      11  1000      0.53991      0.28056   -6.5238e-07      0.53991
_SET1_   1759       9  130965634  131017528     99      15  1000      0.19227      0.40054   -6.5238e-07      0.19227
_SET1_   115       16    4012650    4166186    502      66  1000      0.38005      0.34035   -6.5238e-07      0.38005
_SET1_   23295     16    4674825    4740975    143      18  1000       1.8641     0.027191   -6.5238e-07       1.8641
_SET1_   5493      16    4932508    4987136    180      28  1000       1.0286      0.13922   -6.5238e-07       1.0286
_SET1_   4094      16   79627745   79634622     15       7  1000       1.2487     0.095935   -6.5238e-07       1.2487
_SET1_   6720      17   17714663   17740331     36       4  1000      0.13732      0.42217   -6.5238e-07      0.13732
_SET1_   4642      17   30819628   31203902    688      61  1000      -1.6891      0.95204   -6.5238e-07      -1.6891
_SET1_   23580     17   71279763   71308314     82      16  1000      0.59565      0.25537   -6.5238e-07      0.59565
_SET1_   23149     19   17858527   17899377    128      17  1000      0.77214       0.2026   -6.5238e-07      0.77214
_SET1_   23152     19   42788734   42799949      4       2  1000       1.6227       0.0474   -6.5238e-07       1.6227
_SET1_   27338     19   55912650   55919325     10       4  1000     -0.11411      0.52392   -6.5238e-07     -0.11411
_SET1_   994       20    3767419    3786765     25       4  1000       2.2678    0.0099848   -6.5238e-07       2.2678
_SET1_   22974     20   30326904   30389605     75       5  1000     -0.42336      0.64265   -6.5238e-07     -0.42336
_SET1_   11142     20   43160422   43247678    104       9  1000    -0.030435      0.48945   -6.5238e-07    -0.030434
