# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GOUYER_TATI_TARGETS_DN (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 7.18658e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6275       1  153516095  153518282      3       1  1000     -0.25651      0.57522   -2.9427e-06      -0.2565
_SET1_   2335       2  216225177  216300890    207      19  1000     -0.52037      0.68621   -2.9427e-06     -0.52036
_SET1_   3485       2  217498127  217529159     33      12  1000     -0.38998      0.65412   -2.9427e-06     -0.38998
_SET1_   7079       3   12194568   12200851     12       4  1000     0.065135       0.4608   -2.9427e-06     0.065138
_SET1_   2171       8   82192718   82197012      1       1  1000       0.5966       0.2647   -2.9427e-06       0.5966
_SET1_   11156      8  142402093  142442554     85      11  1000      0.46108      0.31028   -2.9427e-06      0.46109
_SET1_   6623      10   88717504   88723017     16       4  1000    -0.033088      0.49725   -2.9427e-06    -0.033085
_SET1_   84171     10  100007443  100028007     46       6  1000       1.4315     0.069121   -2.9427e-06       1.4315
_SET1_   3481      11    2150346    2179611     66      14  1000     -0.75145      0.77225   -2.9427e-06     -0.75144
_SET1_   6876      11  117070040  117075508     15       4  1000       1.0652      0.13496   -2.9427e-06       1.0652
_SET1_   4162      11  119179234  119189087     12       6  1000       1.9859     0.023007   -2.9427e-06       1.9859
_SET1_   1464      15   75966663   76005189     54       6  1000      0.42332      0.31547   -2.9427e-06      0.42332
_SET1_   3249      19   35531410   35557481     78      13  1000       2.3685    0.0085157   -2.9427e-06       2.3685
_SET1_   655       20   55743809   55841707    262      18  1000      0.77196      0.20341   -2.9427e-06      0.77197
_SET1_   140893    20   60985293   61002629     53      12  1000   -0.0078174      0.49937   -2.9427e-06   -0.0078145
_SET1_   53947     22   43088123   43117307    138      18  1000      0.16641      0.42751   -2.9427e-06      0.16642
_SET1_   6300      22   50691331   50700248     35       5  1000       1.4713     0.063832   -2.9427e-06       1.4713
