# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP (set)
# _SET1_  NGENES = 57
# _SET1_  P-VALUE = 7.17943e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11332         1    6324332    6453826    324      17  1000       5.0232   2.1876e-07   -2.9663e-06       5.0232
_SET1_   1647          1   68150860   68154021      7       2  1000     -0.97177      0.83329   -2.9663e-06     -0.97177
_SET1_   9403          1   87328128   87380107     99       5  1000     -0.25496      0.58888   -2.9663e-06     -0.25495
_SET1_   100527963     1  156182779  156213123     72       7  1000     -0.22462      0.57862   -2.9663e-06     -0.22462
_SET1_   6004          1  182567758  182573548      4       1  1000     -0.33185       0.6307   -2.9663e-06     -0.33184
_SET1_   130814        2   11295498   11319000     78      12  1000     -0.51962      0.69033   -2.9663e-06     -0.51962
_SET1_   822           2   85621871   85641197     54       9  1000      0.46067      0.31447   -2.9663e-06      0.46068
_SET1_   10791         2   85811531   85820511     20       5  1000      0.11916      0.44647   -2.9663e-06      0.11916
_SET1_   9595          2  158271131  158300604     40       9  1000     -0.80899      0.78133   -2.9663e-06     -0.80898
_SET1_   3655          2  173291954  173371181    280      21  1000       1.1367      0.12382   -2.9663e-06       1.1367
_SET1_   25791         2  233743396  233877951    505      37  1000      0.29643      0.38464   -2.9663e-06      0.29644
_SET1_   2817          2  241375115  241407495    118      24  1000       2.1884     0.013837   -2.9663e-06       2.1884
_SET1_   7879          3  128444975  128533641    125      11  1000      0.33486      0.35813   -2.9663e-06      0.33486
_SET1_   25937         3  149235022  149421060    476      59  1000      0.93305      0.18247   -2.9663e-06      0.93306
_SET1_   374           4   75310853   75320726      3       2  1000      0.41173      0.34195   -2.9663e-06      0.41174
_SET1_   6696          4   88896802   88904563     19       5  1000      0.55265      0.28517   -2.9663e-06      0.55265
_SET1_   836           4  185548850  185570629     52       9  1000       1.7743     0.036226   -2.9663e-06       1.7743
_SET1_   9037          5    9035138    9546233   1367     117  1000      -0.8052      0.82377   -2.9663e-06      -0.8052
_SET1_   56172         5   14704909   14871887    343      29  1000      0.93293      0.17306   -2.9663e-06      0.93294
_SET1_   2668          5   37812779   37839782     47       8  1000      0.21381      0.40683   -2.9663e-06      0.21381
_SET1_   5921          5   86564070   86687743     63       6  1000       1.2892     0.094247   -2.9663e-06       1.2892
_SET1_   7045          5  135364584  135399507     67       5  1000       1.8568     0.029778   -2.9663e-06       1.8568
_SET1_   1192          6   31698358   31705095      4       1  1000       1.6708     0.046868   -2.9663e-06       1.6708
_SET1_   1026          6   36644237   36655116     32       7  1000       1.2986     0.093812   -2.9663e-06       1.2986
_SET1_   2697          6  121756745  121770873     26       5  1000      0.58063      0.27401   -2.9663e-06      0.58063
_SET1_   5154          7     536895     559481     92      12  1000      0.47291      0.30955   -2.9663e-06      0.47292
_SET1_   79017         7   30536237   30544457     24       4  1000       0.9241      0.17313   -2.9663e-06      0.92411
_SET1_   7378          7   48128355   48148330     30       5  1000     0.090271      0.45626   -2.9663e-06     0.090274
_SET1_   26136         7  115850547  115898840    134       9  1000       1.1499      0.11928   -2.9663e-06       1.1499
_SET1_   55353         8   98787809   98864830    388      13  1000        1.726     0.039958   -2.9663e-06        1.726
_SET1_   51123         8  102209266  102218292      6       2  1000        0.301      0.38007   -2.9663e-06        0.301
_SET1_   1515          9   99791959   99801925      9       1  1000      0.23993      0.40276   -2.9663e-06      0.23993
_SET1_   23452         9  129849628  129885044     31       4  1000     -0.13907       0.5471   -2.9663e-06     -0.13907
_SET1_   79095         9  130922539  130926207      4       1  1000       1.2015      0.11293   -2.9663e-06       1.2015
_SET1_   8636          9  140083029  140084822      4       1  1000      0.41761      0.33918   -2.9663e-06      0.41762
_SET1_   57804        11   67118236   67121067      3       1  1000      -1.2592      0.89411   -2.9663e-06      -1.2592
_SET1_   595          11   69455873   69469242     19       4  1000     -0.26252       0.5976   -2.9663e-06     -0.26251
_SET1_   928          12    6309482    6347437     51       6  1000       1.0181      0.14856   -2.9663e-06       1.0181
_SET1_   3695         12   53585102   53601065     18       6  1000     -0.16712      0.55786   -2.9663e-06     -0.16712
_SET1_   8091         12   66218240   66360071    149      20  1000     -0.18472      0.56554   -2.9663e-06     -0.18472
_SET1_   1466         12   77252495   77272814     41       6  1000     -0.37676       0.6385   -2.9663e-06     -0.37676
_SET1_   4254         12   88886570   88974250    141       6  1000      -0.5692      0.70432   -2.9663e-06      -0.5692
_SET1_   5693         14   23485752   23504429     21       5  1000     -0.49806      0.68514   -2.9663e-06     -0.49806
_SET1_   171546       14   34902144   34931468     74       8  1000     -0.42243      0.65323   -2.9663e-06     -0.42242
_SET1_   2530         14   65877310   66210839    480      20  1000       1.3805     0.081336   -2.9663e-06       1.3805
_SET1_   1965         14   67827034   67853233     40       4  1000     -0.86887      0.79882   -2.9663e-06     -0.86887
_SET1_   5265         14   94843084   94857029     48      11  1000      0.30566      0.37246   -2.9663e-06      0.30567
_SET1_   5888         15   40987327   41024356     65       5  1000      0.62324      0.25768   -2.9663e-06      0.62325
_SET1_   9768         15   64657193   64679914     28       4  1000      0.13497      0.43767   -2.9663e-06      0.13497
_SET1_   8482         15   74701630   74726299     53      11  1000   -0.0045717      0.49326   -2.9663e-06   -0.0045688
_SET1_   1381         15   78632666   78640572     12       3  1000     -0.89707      0.81229   -2.9663e-06     -0.89707
_SET1_   26471        16   28548662   28550495      2       1  1000     -0.45614      0.67959   -2.9663e-06     -0.45614
_SET1_   2123         17   29643428   29648767     13       2  1000      0.26328      0.39179   -2.9663e-06      0.26329
_SET1_   147495       18   10454625   10488698    104      15  1000      0.18354      0.41847   -2.9663e-06      0.18354
_SET1_   53827        19   35645625   35660788     44      10  1000      0.43849      0.32338   -2.9663e-06      0.43849
_SET1_   3783         19   44270685   44286269     50      12  1000     -0.20785      0.57486   -2.9663e-06     -0.20785
_SET1_   706          22   43547520   43559248     44       7  1000      0.42484      0.32748   -2.9663e-06      0.42484

# _SET2_  VARIABLE = WHITE_NEUROBLASTOMA_WITH_1P36.3_DELETION (set)
# _SET2_  NGENES = 19
# _SET2_  P-VALUE = 4.0649e-08
_SET2_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   55966      1  4715105  4843851    499      76  1000      0.92713      0.18942   -2.9663e-06      0.92714
_SET2_   8514       1  6052358  6161253    240      40  1000     0.051554      0.48015   -2.9663e-06     0.051557
_SET2_   26038      1  6161847  6240194    263      25  1000       1.0854      0.13566   -2.9663e-06       1.0854
_SET2_   6146       1  6245080  6259679     30       5  1000     -0.17615       0.5612   -2.9663e-06     -0.17615
_SET2_   388591     1  6266189  6281359     31       4  1000      0.38895      0.33819   -2.9663e-06      0.38896
_SET2_   23463      1  6281253  6296044     20       4  1000    -0.067884      0.51827   -2.9663e-06    -0.067881
_SET2_   387509     1  6307406  6321035     32       2  1000       1.6562     0.046784   -2.9663e-06       1.6562
_SET2_   11332      1  6324332  6453826    324      17  1000       5.0232   2.1876e-07   -2.9663e-06       5.0232
_SET2_   54626      1  6475292  6484724     25       4  1000       4.4642   3.6123e-06   -2.9663e-06       4.4642
_SET2_   83715      1  6484836  6521004     95      10  1000       4.9932   2.5249e-07   -2.9663e-06       4.9932
_SET2_   8718       1  6520787  6527432     17       5  1000       3.9824   3.1193e-05   -2.9663e-06       3.9824
_SET2_   57449      1  6526152  6580121    128      22  1000       3.6147   0.00014043   -2.9663e-06       3.6147
_SET2_   79707      1  6581407  6614658    106       2  1000       1.2825     0.094408   -2.9663e-06       1.2825
_SET2_   80835      1  6614987  6639817     51       9  1000       1.7939     0.034581   -2.9663e-06       1.7939
_SET2_   3104       1  6640051  6649340      3       1  1000      0.32841      0.37359   -2.9663e-06      0.32842
_SET2_   9903       1  6650784  6662958     16       3  1000     -0.55137      0.70446   -2.9663e-06     -0.55137
_SET2_   148479     1  6673756  6684093     16       3  1000      -0.9131      0.81564   -2.9663e-06      -0.9131
_SET2_   55735      1  6694228  6761966    104       8  1000      0.66653      0.24351   -2.9663e-06      0.66654
_SET2_   23261      1  6845384  7829766   2248     185  1000      0.61337      0.31862   -2.9663e-06      0.61338

# _SET3_  VARIABLE = OKAWA_NEUROBLASTOMA_1P36_31_DELETION (set)
