# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ELLWOOD_MYC_TARGETS_UP (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 1.02823e-08
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1889       1   21543740   21672034    280      34  1000       1.3721     0.080552    -5.181e-06       1.3721
_SET1_   10026      1   77554666   77685132    283      14  1000       1.8207     0.029703    -5.181e-06       1.8207
_SET1_   6700       1  153028596  153029988      1       1  1000      0.88593       0.1835    -5.181e-06      0.88593
_SET1_   7371       1  165796732  165880855    157      24  1000       1.3214      0.08679    -5.181e-06       1.3214
_SET1_   54520      2  118673054  118771739    199      13  1000       1.8145     0.030083    -5.181e-06       1.8145
_SET1_   6168       2  217363520  217366190     12       3  1000     -0.19071      0.56706    -5.181e-06      -0.1907
_SET1_   170954     6   30644166   30655672      7       3  1000       1.2117      0.11132    -5.181e-06       1.2117
_SET1_   9532       6   57037104   57050013      8       1  1000      0.68003      0.23765    -5.181e-06      0.68003
_SET1_   1180       7  143013219  143049097     87      14  1000       1.2068      0.10529    -5.181e-06       1.2068
_SET1_   8581       8  143866298  143868008      5       2  1000      0.16947      0.42076    -5.181e-06      0.16948
_SET1_   29952      9  140004992  140009204      8       2  1000      0.46551      0.30686    -5.181e-06      0.46551
_SET1_   51144     11   43702108   43878169    275      11  1000       4.8672   3.7826e-07    -5.181e-06       4.8672
_SET1_   65244     12   49760688   49921208    201       8  1000       1.0588      0.13066    -5.181e-06       1.0588
_SET1_   10287     20   62704534   62711356      7       2  1000     -0.40004      0.64175    -5.181e-06     -0.40003
