# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_UP (set)
# _SET1_  NGENES = 118
# _SET1_  P-VALUE = 6.30276e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4681       1   19969723   19984949     43      12  1000     -0.26553      0.58619    6.7925e-07     -0.26553
_SET1_   5051       1   26286258   26326366     73       4  1000    -0.086471      0.50897    6.7925e-07    -0.086472
_SET1_   83442      1   26606213   26608013      3       2  1000      0.64623      0.23683    6.7925e-07      0.64623
_SET1_   23673      1   28099694   28150963     83       6  1000       1.3002      0.11157    6.7925e-07       1.3002
_SET1_   4998       1   52838501   52870143     21       4  1000      -1.5314      0.93404    6.7925e-07      -1.5314
_SET1_   4070       1   59041095   59043166      9       3  1000     -0.91892      0.80904    6.7925e-07     -0.91892
_SET1_   51100      1   87170253   87213867     40       5  1000      0.38304      0.33515    6.7925e-07      0.38304
_SET1_   1806       1   97543299   98386615   1460      85  1000      0.43854      0.31803    6.7925e-07      0.43854
_SET1_   1513       1  150768684  150780917      9       3  1000      0.98564      0.14676    6.7925e-07      0.98564
_SET1_   6277       1  153507076  153508717      2       1  1000        1.147      0.11838    6.7925e-07        1.147
_SET1_   81607      1  161040781  161059385     23       5  1000      0.14455      0.42436    6.7925e-07      0.14455
_SET1_   25903      1  161952982  161994172    107      18  1000      0.69459       0.2327    6.7925e-07      0.69459
_SET1_   23432      1  168048780  168106905     93      10  1000      0.37272      0.33731    6.7925e-07      0.37272
_SET1_   8674       1  171669296  171711379     86       7  1000      0.23554       0.3881    6.7925e-07      0.23554
_SET1_   163486     1  197473878  197744623    270      10  1000     -0.66242      0.72944    6.7925e-07     -0.66242
_SET1_   51646      2   30369750   30383399     20       6  1000       1.7518     0.036002    6.7925e-07       1.7518
_SET1_   64682      2  112525214  112641765    216      11  1000      0.38604      0.32922    6.7925e-07      0.38604
_SET1_   1281       2  189839099  189877472     76      12  1000      -0.4182      0.64895    6.7925e-07      -0.4182
_SET1_   1290       2  189896641  190044668    320      10  1000     -0.15843      0.54539    6.7925e-07     -0.15843
_SET1_   10267      2  238768187  238820756    210      41  1000      0.47386      0.30998    6.7925e-07      0.47386
_SET1_   666        2  242498146  242513553     43      11  1000     -0.62873      0.71692    6.7925e-07     -0.62873
_SET1_   55207      3    5163930    5222601    124       8  1000      0.88691      0.17443    6.7925e-07      0.88691
_SET1_   2720       3   33038100   33138694    344      30  1000       1.1176      0.12648    6.7925e-07       1.1176
_SET1_   956        3   40428647   40470110     85       5  1000      0.54771      0.27306    6.7925e-07       0.5477
_SET1_   22906      3   42055294   42267382    479      36  1000      0.54742      0.27816    6.7925e-07      0.54742
_SET1_   51099      3   43732375   43764217     49       3  1000     0.060562      0.46901    6.7925e-07     0.060561
_SET1_   25864      3   52007700   52015216      2       1  1000      -1.2676      0.88593    6.7925e-07      -1.2676
_SET1_   55830      3   52728500   52740099     11       2  1000     -0.29822      0.58837    6.7925e-07     -0.29822
_SET1_   378        3   57557090   57583215     54       6  1000      0.24739      0.38175    6.7925e-07      0.24739
_SET1_   25978      3   87276413   87304698     40       7  1000      0.79345      0.19751    6.7925e-07      0.79344
_SET1_   26996      3  169755735  169803184     88       6  1000      0.40537       0.3204    6.7925e-07      0.40537
_SET1_   200879     3  185225570  185270369    131      11  1000      0.21318      0.39835    6.7925e-07      0.21317
_SET1_   131578     3  194075976  194090472     94       6  1000     -0.51203      0.67835    6.7925e-07     -0.51203
_SET1_   8532       4    8594387    8621488    178      22  1000       0.9961      0.15043    6.7925e-07       0.9961
_SET1_   64151      4   17812436   17846488     50       5  1000      0.46937      0.30589    6.7925e-07      0.46937
_SET1_   256471     4  128838960  128887185     43       3  1000     -0.79547      0.77981    6.7925e-07     -0.79547
_SET1_   7097       4  154605404  154627243      5       3  1000     -0.19527      0.55523    6.7925e-07     -0.19527
_SET1_   114899     5   34017963   34043371     69       6  1000     -0.98568      0.82211    6.7925e-07     -0.98568
_SET1_   84674      5   40841410   40855456     15       3  1000      0.52091      0.27998    6.7925e-07       0.5209
_SET1_   389289     5   43039182   43040447      1       1  1000    -0.048105        0.487    6.7925e-07    -0.048106
_SET1_   4124       5  109025156  109203429    405      17  1000     -0.94917      0.81618    6.7925e-07     -0.94917
_SET1_   28966      5  122181149  122347317    356       9  1000      -1.1203      0.85479    6.7925e-07      -1.1203
_SET1_   5480       5  122359078  122372425     21       4  1000      -0.9328      0.80856    6.7925e-07      -0.9328
_SET1_   995        5  137620959  137674064     85       7  1000       1.2221      0.10063    6.7925e-07       1.2221
_SET1_   55568      5  153570295  153800544    703      49  1000      -0.2629      0.58827    6.7925e-07      -0.2629
_SET1_   285590     5  171752185  171881527    428      22  1000      -1.1835      0.87226    6.7925e-07      -1.1835
_SET1_   8992       5  172410763  172461900     56      10  1000     -0.14735      0.54222    6.7925e-07     -0.14735
_SET1_   80315      5  173315331  173387313    143      12  1000     -0.13435       0.5341    6.7925e-07     -0.13435
_SET1_   9509       5  178537852  178772431    767     102  1000       0.1834      0.41986    6.7925e-07       0.1834
_SET1_   1871       6   20402137   20493945    129      20  1000     -0.18183      0.55836    6.7925e-07     -0.18183
