# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NABA_MATRISOME (set)
# _SET1_  NGENES = 967
# _SET1_  P-VALUE = 6.53585e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     955503     991499    104      11  1000     -0.53769      0.69496   -6.3371e-07     -0.53769
_SET1_   64856         1    1370903    1378262     16       4  1000     -0.45482      0.66947   -6.3371e-07     -0.45482
_SET1_   1953          1    3404506    3528059    391      60  1000     -0.26296      0.61154   -6.3371e-07     -0.26296
_SET1_   10747         1   11086580   11107296     55       6  1000      0.77165      0.21224   -6.3371e-07      0.77165
_SET1_   10218         1   11249346   11256038     11       1  1000       1.8646     0.030289   -6.3371e-07       1.8646
_SET1_   5351          1   11994724   12035599    102      10  1000      0.41255      0.32946   -6.3371e-07      0.41255
_SET1_   63036         1   15783223   15798586     54       7  1000   -0.0089448      0.49239   -6.3371e-07   -0.0089441
_SET1_   51032         1   15802596   15817895     34       4  1000     -0.27958      0.59917   -6.3371e-07     -0.27958
_SET1_   11223         1   17081129   17090975     13       7  1000    -0.023327      0.50289   -6.3371e-07    -0.023327
_SET1_   4237          1   17300997   17308081     14       3  1000       2.6609    0.0036337   -6.3371e-07       2.6609
_SET1_   127731        1   20617412   20681662    163      17  1000       1.8399     0.031043   -6.3371e-07       1.8399
_SET1_   3339          1   22148737   22263750    219      26  1000     -0.11547      0.53956   -6.3371e-07     -0.11547
_SET1_   23436         1   22303418   22315847    165      19  1000     -0.64941      0.73572   -6.3371e-07     -0.64941
_SET1_   10136         1   22328149   22339035     74      12  1000     -0.43634      0.66014   -6.3371e-07     -0.43634
_SET1_   54361         1   22443798   22470474     54       8  1000      0.25981      0.38752   -6.3371e-07      0.25981
_SET1_   712           1   22963118   22966175      3       1  1000      0.46018      0.31969   -6.3371e-07      0.46018
_SET1_   714           1   22969969   22974603     21       4  1000       1.0987      0.13086   -6.3371e-07       1.0987
_SET1_   713           1   22979682   22988130     26       6  1000       1.1762      0.11541   -6.3371e-07       1.1762
_SET1_   8547          1   27695601   27701315      7       3  1000       -2.362      0.99064   -6.3371e-07       -2.362
_SET1_   4146          1   31184124   31196432     34       4  1000    -0.011332      0.49252   -6.3371e-07    -0.011331
_SET1_   9672          1   31342313   31381480     72      18  1000      0.21763      0.40667   -6.3371e-07      0.21763
_SET1_   64129         1   32042086   32053290     13       6  1000     -0.52204      0.69391   -6.3371e-07     -0.52204
_SET1_   1307          1   32117848   32169768     73      12  1000     -0.36391      0.63209   -6.3371e-07     -0.36391
_SET1_   1296          1   36560840   36591305     65      10  1000      -1.1816        0.877   -6.3371e-07      -1.1816
_SET1_   284654        1   38076821   38100595     38       7  1000      0.94785      0.16522   -6.3371e-07      0.94785
_SET1_   353500        1   39957318   39995541     86      16  1000      0.29705      0.37579   -6.3371e-07      0.29705
_SET1_   656           1   40223903   40254533     77      11  1000      -1.5459      0.93556   -6.3371e-07      -1.5459
_SET1_   1298          1   40766162   40782939     49       9  1000      0.69973      0.23605   -6.3371e-07      0.69973
