# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP (set)
# _SET1_  NGENES = 137
# _SET1_  P-VALUE = 5.21175e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   712           1   22963118   22966175      3       1  1000     -0.16076      0.55864    -6.089e-06     -0.16075
_SET1_   714           1   22969969   22974603     21       4  1000      -1.1976      0.87859    -6.089e-06      -1.1976
_SET1_   713           1   22979682   22988130     26       6  1000      -0.9822      0.83195    -6.089e-06      -0.9822
_SET1_   1043          1   26644411   26647014     12       3  1000     -0.23763      0.58675    -6.089e-06     -0.23762
_SET1_   7805          1   31205315   31230683     58      17  1000      0.68894      0.24444    -6.089e-06      0.68895
_SET1_   3932          1   32716840   32751766     25       6  1000       1.0328      0.14881    -6.089e-06       1.0328
_SET1_   1503          1   41445007   41478237     72      14  1000         2.51    0.0058121    -6.089e-06         2.51
_SET1_   22955         1   41492871   41707815    395      16  1000       2.4267    0.0062862    -6.089e-06       2.4267
_SET1_   2634          1   89571815   89591842     47       4  1000      0.78922      0.20056    -6.089e-06      0.78923
_SET1_   115361        1   89646831   89664633     37       6  1000      0.88099      0.18072    -6.089e-06        0.881
_SET1_   7412          1  101185196  101204601     30      13  1000     -0.86707      0.80986    -6.089e-06     -0.86706
_SET1_   963           1  111413821  111442558     72       8  1000     -0.10968      0.52681    -6.089e-06     -0.10968
_SET1_   27159         1  111833474  111863188    180      16  1000     -0.34887      0.62096    -6.089e-06     -0.34886
_SET1_   2209          1  149754232  149764074      4       2  1000      -1.5548      0.94136    -6.089e-06      -1.5548
_SET1_   1520          1  150702672  150738433     42       4  1000      0.52763      0.28163    -6.089e-06      0.52764
_SET1_   6282          1  152004982  152009511      5       1  1000       1.1353      0.12656    -6.089e-06       1.1353
