# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HANSON_HRAS_SIGNALING_VIA_NFKB (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 4.80398e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   127544     1   33402050   33430467     41       4  1000     -0.19125      0.55781   -7.5655e-06     -0.19124
_SET1_   8394       1  151171021  151222007     51       4  1000      0.31908      0.35507   -7.5655e-06      0.31909
_SET1_   5317       1  201252580  201302121    200      17  1000      -0.3502      0.61874   -7.5655e-06     -0.35019
_SET1_   10669      2   27322159   27341995     21       2  1000      0.69279      0.22875   -7.5655e-06       0.6928
_SET1_   152        4    3768296    3770253      3       1  1000       1.5876     0.055219   -7.5655e-06       1.5876
_SET1_   51274      4   38665790   38703129     54      11  1000       2.8661    0.0018105   -7.5655e-06       2.8662
_SET1_   57630      4  170015407  170192249    365      25  1000      -1.2401      0.88361   -7.5655e-06      -1.2401
_SET1_   85480      5  110405778  110413722      9       3  1000       0.2277      0.39702   -7.5655e-06      0.22771
_SET1_   6793       5  171469074  171615346    543      46  1000       1.4326     0.073308   -7.5655e-06       1.4326
_SET1_   150       10  112836790  112840665      7       3  1000      0.46529      0.32232   -7.5655e-06       0.4653
_SET1_   387763    11   43964106   43965433      4       1  1000       2.2737     0.011218   -7.5655e-06       2.2737
_SET1_   23529     11   67131635   67141648     15       3  1000      0.32772      0.37184   -7.5655e-06      0.32772
_SET1_   6660      12   23682438   24715383   1538     160  1000       1.1419      0.14129   -7.5655e-06       1.1419
_SET1_   6404      12  109015671  109027735     31      11  1000      0.89323      0.17539   -7.5655e-06      0.89323
_SET1_   29767     15   52043758   52108560    120       4  1000      0.45021      0.30069   -7.5655e-06      0.45021
_SET1_   220       15  101419897  101456831     70       9  1000       1.2706     0.093191   -7.5655e-06       1.2706
_SET1_   5055      18   61554939   61571124     76       2  1000     -0.27478      0.58793   -7.5655e-06     -0.27478
_SET1_   3963      19   39261608   39264157      3       2  1000      0.30301      0.37436   -7.5655e-06      0.30302
_SET1_   80781     21   46825058   46933634    420      33  1000      0.74248      0.21803   -7.5655e-06      0.74249
