# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_BCELLSURVIVAL_PATHWAY (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 4.0278e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2475      1   11166588   11322614    285       6  1000       1.8805     0.028928   -3.4613e-06       1.8805
_SET1_   10575     2   62095262   62115806     43       6  1000     -0.74042      0.76189   -3.4613e-06     -0.74041
_SET1_   5290      3  178866311  178952500    126       9  1000       1.6626     0.046223   -3.4613e-06       1.6626
_SET1_   836       4  185548850  185570629     52       9  1000      0.29147      0.37673   -3.4613e-06      0.29147
_SET1_   5295      5   67511584   67597649    151      25  1000     -0.08771        0.528   -3.4613e-06    -0.087706
_SET1_   5294      7  106505723  106547592     54      11  1000       1.0075      0.15196   -3.4613e-06       1.0075
_SET1_   3688     10   33189246   33247293    127      14  1000       1.4089     0.076548   -3.4613e-06       1.4089
_SET1_   840      10  115438921  115490668    145      15  1000       2.6314    0.0040234   -3.4613e-06       2.6314
_SET1_   5977     11   65101225   65120451     21       4  1000       1.1232      0.12525   -3.4613e-06       1.1232
_SET1_   2353     14   75745477   75748937      6       2  1000       1.7367     0.038911   -3.4613e-06       1.7367
_SET1_   207      14  105235686  105262080     65      15  1000       2.6384    0.0039444   -3.4613e-06       2.6384
_SET1_   332      17   76210277   76221716     55       6  1000      0.90759      0.17441   -3.4613e-06      0.90759
_SET1_   51341    19    4045216    4066816     28       4  1000       0.5148      0.29525   -3.4613e-06       0.5148
_SET1_   3727     19   18390563   18392432      2       1  1000      -1.3591      0.90753   -3.4613e-06      -1.3591

# _SET2_  VARIABLE = ELVIDGE_HYPOXIA_UP (set)
# _SET2_  NGENES = 163
# _SET2_  P-VALUE = 4.3406e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   1889       1   21543740   21672034    280      34  1000     -0.77614      0.77864   -3.4613e-06     -0.77613
_SET2_   6018       1   40627041   40706593     67       9  1000       1.5971     0.052987   -3.4613e-06       1.5971
_SET2_   6513       1   43391046   43424847    114      14  1000       -1.155      0.87222   -3.4613e-06       -1.155
_SET2_   9048       1   44398992   44402912      9       3  1000       1.9383      0.02501   -3.4613e-06       1.9383
_SET2_   3725       1   59246463   59249785      2       1  1000     -0.67071      0.74063   -3.4613e-06      -0.6707
_SET2_   5236       1   64058947   64125916    184      30  1000       2.2031     0.013309   -3.4613e-06       2.2031
_SET2_   205        1   65613232   65697828    164      13  1000        1.043       0.1443   -3.4613e-06        1.043
_SET2_   3491       1   86046444   86049650      3       1  1000     -0.50496       0.6808   -3.4613e-06     -0.50496
_SET2_   10628      1  145438438  145442635      4       1  1000     -0.81579      0.78703   -3.4613e-06     -0.81578
_SET2_   6277       1  153507076  153508717      2       1  1000      0.13406      0.43846   -3.4613e-06      0.13407
_SET2_   6275       1  153516095  153518282      3       1  1000     -0.97082       0.8293   -3.4613e-06     -0.97082
_SET2_   6273       1  153533584  153538306      4       1  1000      -0.7095      0.75492   -3.4613e-06      -0.7095
_SET2_   1944       1  155051348  155060014     10       3  1000     -0.56731      0.70486   -3.4613e-06     -0.56731
_SET2_   5768       1  180123968  180169430    192      18  1000      0.35607        0.356   -3.4613e-06      0.35607
_SET2_   1999       1  201979647  201986316     12       4  1000       1.9155     0.026142   -3.4613e-06       1.9155
_SET2_   8497       1  202995649  203047864    142      19  1000     -0.59812       0.7182   -3.4613e-06     -0.59812
_SET2_   467        1  212738676  212794119    158      25  1000       0.3139      0.37176   -3.4613e-06       0.3139
_SET2_   54583      1  231499497  231560790    258       6  1000     -0.73375       0.7608   -3.4613e-06     -0.73374
_SET2_   23596      1  241756452  241803701     92      21  1000       1.5209     0.061939   -3.4613e-06       1.5209
_SET2_   7837       2    1635659    1748291    376      44  1000     0.059534      0.47343   -3.4613e-06     0.059538
_SET2_   1545       2   38294746   38303323     15       4  1000     -0.42853      0.65593   -3.4613e-06     -0.42853
_SET2_   3099       2   75059782   75120481    166      24  1000     -0.02655      0.50455   -3.4613e-06    -0.026547
_SET2_   55818      2   86668271   86719839     72       7  1000       2.3045     0.010006   -3.4613e-06       2.3045
_SET2_   51141      2  118846033  118867604     28       8  1000      0.61216      0.26194   -3.4613e-06      0.61216
_SET2_   7852       2  136871919  136875725      5       2  1000     -0.66392      0.73845   -3.4613e-06     -0.66392
_SET2_   5163       2  173420101  173490351    152       8  1000      0.99645      0.15546   -3.4613e-06      0.99645
_SET2_   80055      2  197697728  197791454    115       4  1000       1.5363     0.059983   -3.4613e-06       1.5363
_SET2_   8609       2  207938861  208031970    209      30  1000     -0.43267      0.66178   -3.4613e-06     -0.43267
_SET2_   3488       2  217536828  217560272     42       6  1000     -0.59054      0.71648   -3.4613e-06     -0.59054
_SET2_   55139      2  220094479  220101391     10       2  1000     -0.23811      0.58609   -3.4613e-06     -0.23811
_SET2_   23363      2  220415450  220436357     53      10  1000      0.13672      0.43602   -3.4613e-06      0.13672
